*year,value
"1750",0
"1750.167",0
"1750.333",0
"1750.5",0
"1750.667",0
"1750.833",0
"1751",0
"1751.167",0
"1751.333",0
"1751.5",0
"1751.667",0
"1751.833",0
"1752",0
"1752.167",0
"1752.333",0
"1752.5",0
"1752.667",0
"1752.833",0
"1753",0
"1753.167",0
"1753.333",0
"1753.5",0
"1753.667",0
"1753.833",0
"1754",0
"1754.167",0
"1754.333",0
"1754.5",0
"1754.667",0
"1754.833",0
"1755",0
"1755.167",0
"1755.333",0
"1755.5",0
"1755.667",0
"1755.833",0
"1756",0
"1756.167",0
"1756.333",0
"1756.5",0
"1756.667",0
"1756.833",0
"1757",0
"1757.167",0
"1757.333",0
"1757.5",0
"1757.667",0
"1757.833",0
"1758",0
"1758.167",0
"1758.333",0
"1758.5",0
"1758.667",0
"1758.833",0
"1759",0
"1759.167",0
"1759.333",0
"1759.5",0
"1759.667",0
"1759.833",0
"1760",0
"1760.167",0
"1760.333",0
"1760.5",0
"1760.667",0
"1760.833",0
"1761",0
"1761.167",0
"1761.333",0
"1761.5",0
"1761.667",0
"1761.833",0
"1762",0
"1762.167",0
"1762.333",0
"1762.5",0
"1762.667",0
"1762.833",0
"1763",0
"1763.167",0
"1763.333",0
"1763.5",0
"1763.667",0
"1763.833",0
"1764",0
"1764.167",0
"1764.333",0
"1764.5",0
"1764.667",0
"1764.833",0
"1765",0
"1765.167",0
"1765.333",0
"1765.5",0
"1765.667",0
"1765.833",0
"1766",0
"1766.167",0
"1766.333",0
"1766.5",0
"1766.667",0
"1766.833",0
"1767",0
"1767.167",0
"1767.333",0
"1767.5",0
"1767.667",0
"1767.833",0
"1768",0
"1768.167",0
"1768.333",0
"1768.5",0
"1768.667",0
"1768.833",0
"1769",0
"1769.167",0
"1769.333",0
"1769.5",0
"1769.667",0
"1769.833",0
"1770",0
"1770.167",0
"1770.333",0
"1770.5",0
"1770.667",0
"1770.833",0
"1771",0
"1771.167",0
"1771.333",0
"1771.5",0
"1771.667",0
"1771.833",0
"1772",0
"1772.167",0
"1772.333",0
"1772.5",0
"1772.667",0
"1772.833",0
"1773",0
"1773.167",0
"1773.333",0
"1773.5",0
"1773.667",0
"1773.833",0
"1774",0
"1774.167",0
"1774.333",0
"1774.5",0
"1774.667",0
"1774.833",0
"1775",0
"1775.167",0
"1775.333",0
"1775.5",0
"1775.667",0
"1775.833",0
"1776",0
"1776.167",0
"1776.333",0
"1776.5",0
"1776.667",0
"1776.833",0
"1777",0
"1777.167",0
"1777.333",0
"1777.5",0
"1777.667",0
"1777.833",0
"1778",0
"1778.167",0
"1778.333",0
"1778.5",0
"1778.667",0
"1778.833",0
"1779",0
"1779.167",0
"1779.333",0
"1779.5",0
"1779.667",0
"1779.833",0
"1780",0
"1780.167",0
"1780.333",0
"1780.5",0
"1780.667",0
"1780.833",0
"1781",0
"1781.167",0
"1781.333",0
"1781.5",0
"1781.667",0
"1781.833",0
"1782",0
