year,ssp1,ssp2,ssp3,ssp4,ssp5
1850,0.849768359,0.779788255,0.829773809,0.739799156,0.759793706
1851,0.994722819,0.901673159,0.96795458,0.849311149,0.875417759
1852,1.112804187,1.002142886,1.080892626,0.940224662,0.971063035
1853,1.213477017,1.088394695,1.177366511,1.018611277,1.053344866
1854,1.301739774,1.164372826,1.262055737,1.087852359,1.125930372
1855,1.380638618,1.232505395,1.337830014,1.150079871,1.191088127
1856,1.452179334,1.294435431,1.406572053,1.206735102,1.250360343
1857,1.517666919,1.351324842,1.469557144,1.258843686,1.304843235
1858,1.578304698,1.40402942,1.527892933,1.307172643,1.355345062
1859,1.634813998,1.45320895,1.582278574,1.35231238,1.402491957
1860,1.687811959,1.499384654,1.633302232,1.394729363,1.446775196
1861,1.737792953,1.542973653,1.681419896,1.434795955,1.488592325
1862,1.785144576,1.584318403,1.727032787,1.472833639,1.52826742
1863,1.830216472,1.623711082,1.770460569,1.509088305,1.566081607
1864,1.873288027,1.661381808,1.811970462,1.543768341,1.602250688
1865,1.914579741,1.697524874,1.851772911,1.577060742,1.636961209
1866,1.95433117,1.732320128,1.890081233,1.609130923,1.670384629
1867,1.992684834,1.765924545,1.927065543,1.640115291,1.702670997
1868,2.029698622,1.79850724,1.962780126,1.670131086,1.733943475
1869,2.065731664,1.830024275,1.997520079,1.699289677,1.764307883
1870,2.100776087,1.860796727,2.031329657,1.727674077,1.793878869
1871,2.160165327,1.913155406,2.088686006,1.776100965,1.844244626
1872,2.21996859,1.965861339,2.146436807,1.824899647,1.894975277
1873,2.280147026,2.019010791,2.204544195,1.874080537,1.946148776
1874,2.340923364,2.072513983,2.263247117,1.923727012,1.997754654
1875,2.402233902,2.126612169,2.322463798,1.973724148,2.049741975
1876,2.464135038,2.181227636,2.382270115,2.024309868,2.102340768
1877,2.526688408,2.23643849,2.442686125,2.075428533,2.15547372
1878,2.589811193,2.292247336,2.503755187,2.12712092,2.209222433
1879,2.653738042,2.348699252,2.565436941,2.17943128,2.263591786
1880,2.718483185,2.405757065,2.627973646,2.232407266,2.318649723
1881,2.784059751,2.46363823,2.691315959,2.285953154,2.374318606
1882,2.850503573,2.522337563,2.755521157,2.340324017,2.430799112
1883,2.91787557,2.58182802,2.820605144,2.395454169,2.488128789
1884,2.98621729,2.642215277,2.886656378,2.451404529,2.546284921
1885,3.055627185,2.703541683,2.953719505,2.508258758,2.605351778
1886,3.126116867,2.765798614,3.021809209,2.566074381,2.665319658
1887,3.197683633,2.829047143,3.09099091,2.62469394,2.72624888
1888,3.270422324,2.893309648,3.161265602,2.684287718,2.788161401
1889,3.344358905,2.958654383,3.23272843,2.744760205,2.851101003
1890,3.419544404,3.025128835,3.305382298,2.806361015,2.915136711
1891,3.495907564,3.092735766,3.379302593,2.869048661,2.980270534
1892,3.573746442,3.161523584,3.454415631,2.932846969,3.046549957
1893,3.65299602,3.231440577,3.530972993,2.997778762,3.113900974
