*year,value
"1850",0.0287616729736328
"1850.167",0.0317096710205078
"1850.333",0.0137760162353516
"1850.5",0.0311862945556641
"1850.667",0.00776252746582031
"1850.833",0.0120990753173828
"1851",-0.0155223846435547
"1851.167",0.0446018218994141
"1851.333",0.0000400543212890625
"1851.5",0.0278644561767578
"1851.667",0.0111804962158203
"1851.833",0.0117572784423828
"1852",0.0141498565673828
"1852.167",0.0168949127197266
"1852.333",0.0217655181884766
"1852.5",0.0165424346923828
"1852.667",-0.00682792663574219
"1852.833",0.0128360748291016
"1853",0.00827522277832031
"1853.167",0.0000507354736328125
"1853.333",-0.00521507263183594
"1853.5",0.000777053833007812
"1853.667",-0.00210685729980469
"1853.833",-0.00864372253417969
"1854",-0.00870780944824219
"1854.167",-0.0176372528076172
"1854.333",-0.0177227020263672
"1854.5",-0.0211940765380859
"1854.667",-0.0246227264404297
"1854.833",-0.0319820404052734
"1855",-0.0270793914794922
"1855.167",-0.0240993499755859
"1855.333",-0.0329860687255859
"1855.5",-0.0346096038818359
"1855.667",-0.0393199920654297
"1855.833",-0.0342891693115234
"1856",-0.0376964569091797
"1856.167",-0.0367137908935547
"1856.333",-0.0345668792724609
"1856.5",-0.0372692108154297
"1856.667",-0.0331462860107422
"1856.833",-0.0330715179443359
"1857",-0.0304012298583984
"1857.167",-0.0337337493896484
"1857.333",-0.0314052581787109
"1857.5",-0.0260646820068359
"1857.667",-0.0324306488037109
"1857.833",-0.00820579528808594
"1858",-0.0104488372802734
"1858.167",-0.00864372253417969
"1858.333",-0.0148708343505859
"1858.5",-0.00528984069824219
"1858.667",-0.0129268646240234
"1858.833",0.0290927886962891
"1859",-0.0103313446044922
"1859.167",-0.00197868347167969
"1859.333",0.0266468048095703
"1859.5",0.0139469146728516
"1859.667",0.0268283843994141
"1859.833",0.0372318267822266
"1860",0.0215305328369141
"1860.167",0.0361103057861328
"1860.333",0.00168495178222656
"1860.5",0.0358325958251953
"1860.667",0.0567035675048828
"1860.833",0.0272342681884766
"1861",0.0395709991455078
"1861.167",0.0315494537353516
"1861.333",0.0203556060791016
"1861.5",0.0103794097900391
"1861.667",0.0315067291259766
"1861.833",0.0286228179931641
"1862",0.0224918365478516
"1862.167",0.00596809387207031
"1862.333",0.00391731262207031
"1862.5",0.00520973205566406
"1862.667",0.0250232696533203
"1862.833",-0.0000667572021484375
"1863",0.00412025451660156
"1863.167",0.00293464660644531
"1863.333",0.00243263244628906
"1863.5",-0.00389060974121094
"1863.667",0.00714302062988281
"1863.833",-0.00901756286621094
"1864",0.00183448791503906
"1864.167",-0.00744743347167969
"1864.333",-0.0142406463623047
"1864.5",-0.0233089447021484
"1864.667",0.00267829895019531
"1864.833",-0.0139522552490234
"1865",-0.0206279754638672
"1865.167",-0.0119762420654297
"1865.333",-0.0175518035888672
"1865.5",-0.0210552215576172
"1865.667",-0.0131725311279297
"1865.833",-0.0168361663818359
"1866",-0.0258403778076172
"1866.167",-0.0149562835693359
"1866.333",-0.0189830780029297
"1866.5",-0.0201580047607422
"1866.667",-0.0264385223388672
"1866.833",-0.0189830780029297
"1867",-0.0229137420654297
"1867.167",-0.0276668548583984
"1867.333",-0.0279872894287109
"1867.5",-0.0273571014404297
"1867.667",-0.0269084930419922
"1867.833",-0.0286174774169922
"1868",-0.0199550628662109
"1868.167",-0.0188655853271484
"1868.333",-0.0189403533935547
"1868.5",-0.00872917175292969
"1868.667",-0.0211727142333984
"1868.833",0.00676918029785156
"1869",0.00347938537597656
"1869.167",0.0134662628173828
"1869.333",-0.00653953552246094
"1869.5",0.0342197418212891
"1869.667",0.0124942779541016
"1869.833",0.00811500549316406
"1870",-0.00118827819824219
"1870.167",0.0112659454345703
"1870.333",0.0100269317626953
"1870.5",0.00415229797363281
"1870.667",0.0218402862548828
"1870.833",0.0300220489501953
"1871",0.0111911773681641
"1871.167",0.00813636779785156
"1871.333",0.0456378936767578
"1871.5",0.0268070220947266
"1871.667",0.0532215118408203
"1871.833",0.0197360992431641
"1872",0.0123233795166016
"1872.167",0.00919380187988281
"1872.333",0.0303424835205078
"1872.5",0.0388553619384766
"1872.667",0.000413894653320312
"1872.833",0.0255893707275391
"1873",0.0115650177001953
"1873.167",0.0250232696533203
"1873.333",0.00656623840332031
"1873.5",-0.0117198944091797
"1873.667",0.00729255676269531
"1873.833",0.000467300415039062
"1874",-0.0172527313232422
"1874.167",0.00394935607910156
"1874.333",-0.0103740692138672
"1874.5",-0.0144329071044922
"1874.667",0.0163074493408203
"1874.833",-0.00746879577636719
"1875",-0.0203182220458984
"1875.167",-0.0348018646240234
"1875.333",-0.0180004119873047
"1875.5",-0.0239498138427734
"1875.667",-0.0321743011474609
"1875.833",-0.0286174774169922
"1876",-0.0375789642333984
"1876.167",-0.0297603607177734
"1876.333",-0.0321956634521484
"1876.5",-0.0408367156982422
"1876.667",-0.0385509490966797
"1876.833",-0.0373119354248047
"1877",-0.0409328460693359
"1877.167",-0.0428661346435547
"1877.333",-0.0435070037841797
"1877.5",-0.0382091522216797
"1877.667",-0.0452159881591797
"1877.833",-0.0432613372802734
"1878",-0.0487194061279297
"1878.167",-0.0477901458740234
"1878.333",-0.0507274627685547
"1878.5",-0.0496379852294922
"1878.667",-0.0531734466552734
"1878.833",-0.0518917083740234
"1879",-0.0525753021240234
"1879.167",-0.0536647796630859
"1879.333",-0.0495845794677734
"1879.5",-0.0491252899169922
"1879.667",-0.0444789886474609
"1879.833",-0.0422145843505859
"1880",-0.0473415374755859
"1880.167",-0.0282115936279297
"1880.333",-0.0392131805419922
"1880.5",-0.0322063446044922
"1880.667",-0.0247295379638672
"1880.833",-0.00539665222167969
"1881",-0.0153728485107422
"1881.167",-0.00415763854980469
"1881.333",-0.000259017944335937
"1881.5",-0.00681724548339844
"1881.667",0.00238990783691406
"1881.833",0.00656623840332031
"1882",0.0190525054931641
"1882.167",-0.0311061859130859
"1882.333",-0.00711631774902344
"1882.5",0.00671577453613281
"1882.667",-0.0360836029052734
"1882.833",-0.00354881286621094
"1883",-0.00108146667480469
"1883.167",-0.0171459197998047
"1883.333",-0.0210124969482422
"1883.5",-0.0206600189208984
"1883.667",-0.0245693206787109
"1883.833",0.00783729553222656
"1884",0.0129535675048828
"1884.167",0.0104434967041016
"1884.333",0.0449863433837891
"1884.5",0.0304920196533203
"1884.667",-0.00475578308105469
"1884.833",0.0207508087158203
"1885",0.00923652648925781
"1885.167",-0.00659294128417969
"1885.333",-0.0299633026123047
"1885.5",0.00919380187988281
"1885.667",0.00256080627441406
"1885.833",0.0100269317626953
"1886",-0.0160243988037109
"1886.167",-0.0313091278076172
"1886.333",-0.0195919036865234
"1886.5",-0.0139522552490234
"1886.667",-0.0220165252685547
"1886.833",-0.0349514007568359
"1887",-0.0282756805419922
"1887.167",-0.0343959808349609
"1887.333",-0.0412212371826172
"1887.5",-0.0314052581787109
"1887.667",-0.0352718353271484
"1887.833",-0.0517101287841797
"1888",-0.0344600677490234
"1888.167",-0.0384441375732422
"1888.333",-0.0452693939208984
"1888.5",-0.0420543670654297
"1888.667",-0.0433574676513672
"1888.833",-0.0517635345458984
"1889",-0.0429515838623047
"1889.167",-0.0425243377685547
"1889.333",-0.0537502288818359
"1889.5",-0.0489116668701172
"1889.667",-0.0371730804443359
"1889.833",-0.0417232513427734
"1890",-0.0408901214599609
"1890.167",-0.0434642791748047
"1890.333",-0.0411251068115234
"1890.5",-0.0452587127685547
"1890.667",-0.0370342254638672
"1890.833",-0.0306896209716797
"1891",-0.0208415985107422
"1891.167",-0.0141765594482422
"1891.333",-0.00164756774902344
"1891.5",0.00166358947753906
"1891.667",-0.00641136169433594
"1891.833",0.0114261627197266
"1892",-0.0204143524169922
"1892.167",0.0264759063720703
"1892.333",0.0204624176025391
"1892.5",0.00926856994628906
"1892.667",0.0537982940673828
"1892.833",0.0521213531494141
"1893",0.0224597930908203
"1893.167",0.0580066680908203
"1893.333",0.0661243438720703
"1893.5",0.0319660186767578
"1893.667",0.0590213775634766
"1893.833",0.0397205352783203
"1894",0.075064468383789
