*year,value
"1850",0.0208825429280466
"1851",0.0133202870686716
"1852",0.0125601450602346
"1853",-0.00114377339679663
"1854",-0.020311101277656
"1855",-0.0320639292399221
"1856",-0.0354106903076172
"1857",-0.0270402272542185
"1858",-0.00384788513183594
"1859",0.0153906504313284
"1860",0.0298493703206248
"1861",0.0269975026448435
"1862",0.0104239145914846
"1863",0.000620396931952882
"1864",-0.00907274882000024
"1865",-0.0168699900309377
"1866",-0.0208932240803904
"1867",-0.0269084930419922
"1868",-0.0134822845458984
"1869",0.0108725229899221
"1870",0.0126865386962891
"1871",0.027455012003594
"1872",0.0194530487060547
"1873",0.00653241475421851
"1874",-0.00487861633300781
"1875",-0.0263103485107422
"1876",-0.0360390981038279
"1877",-0.0423320770263672
"1878",-0.0503233591715627
"1879",-0.0486072540283203
"1880",-0.0295164744059377
"1881",-0.00294176737468774
"1882",-0.00868110656738281
"1883",-0.0127719879150391
"1884",0.0191450754801565
"1885",-0.000923029581718993
"1886",-0.0229742685953909
"1887",-0.0370466868082815
"1888",-0.0425581614176565
"1889",-0.0445056915283203
"1890",-0.0397436777750784
"1891",-0.00499788920085962
"1892",0.0236186981201172
"1893",0.0462164560953909
"1894",0.0734978993733591
"1895",0.0479414621989065
"1896",0.0124141693115234
"1897",-0.00984001159667969
"1898",-0.0204285939534373
"1899",-0.0329255421956248
"1900",-0.0402937571207815
"1901",-0.0527123769124216
"1902",-0.0497821807861328
"1903",-0.0245657602946096
"1904",0.0208594004313284
"1905",0.000577672322577882
"1906",0.0340132395426565
"1907",0.0152215321858591
"1908",0.0270331064860159
"1909",0.00415229797363281
"1910",-0.0130016326904297
"1911",-0.0376519521077341
"1912",-0.0471314748128123
"1913",-0.0450237274169922
"1914",-0.0263085683186716
"1915",0.0279819488525391
"1916",0.0720470428466797
"1917",0.100738398234063
"1918",0.106618372599297
"1919",0.0611825307210154
"1920",0.0192340850830078
"1921",-0.00705401102703149
"1922",-0.0311061859130859
"1923",-0.0367298126220703
"1924",-0.0262444814046091
"1925",0.00295422871906226
"1926",0.0417179107666016
"1927",0.0741387685139841
"1928",0.0529135386149221
"1929",0.0421682993571096
"1930",0.0425510406494141
"1931",0.0115632375081248
"1932",-0.0108529408772654
"1933",-0.0205371856689453
"1934",-0.00977414449054663
"1935",0.0265524546305471
"1936",0.105569839477539
"1937",0.110314051310235
"1938",0.0958037058512502
"1939",0.0919567108154297
"1940",0.0654051462809377
"1941",0.043690363566094
"1942",0.0181481679280466
"1943",-0.00738512674968774
"1944",0.0000578562418752426
"1945",0.0483971913655466
"1946",0.0711231231689453
"1947",0.133821487426758
"1948",0.155335108439141
"1949",0.134067153930664
"1950",0.088757413054168
"1951",0.0277956578503108
"1952",0.0250850218892594
"1953",0.0072362246578507
"1954",0.00745628565959464
"1955",0.0447960140280543
"1956",0.127042049136969
"1957",0.203524492864756
"1958",0.21362078627493
"1959",0.170352579404226
"1960",0.140722971014623
"1961",0.0749218384207154
"1962",0.0292136466666591
"1963",0.0133404593271734
"1964",0.00607023603930088
"1965",0.0101363477315033
"1966",0.0451695324623302
"1967",0.088621513680232
"1968",0.111539144463893
"1969",0.115593266944353
"1970",0.118232009051616
"1971",0.0790305411979091
"1972",0.0765779818341969
"1973",0.0371515864542175
"1974",0.0178762911443698
"1975",0.018257242490148
"1976",0.0119155696180883
"1977",0.0531072966693273
"1978",0.116265565009985
"1979",0.169276855677788
"1980",0.158818302258777
"1981",0.162304082374033
"1982",0.103046629396198
"1983",0.100567431515213
"1984",0.0307547876743797
"1985",0.00722820647777098
"1986",0.0101355283554312
"1987",0.0249819789520814
"1988",0.0866330902433276
"1989",0.171207715387197
"1990",0.155572790903602
"1991",0.153163122934836
"1992",0.124870856863544
"1993",0.0580027175276143
"1994",0.0175102056215962
"1995",0.00981819570880589
"1996",-0.00684041716362458
"1997",0.0155528917704657
"1998",0.0797953117056977
"1999",0.126979609450245
"2000",0.161298197345002
"2001",0.146870139135069
"2002",0.154085564809304
"2003",0.0701515479936802
"2004",0.0334763219447609
"2005",-0.00277239551281241
"2006",-0.0109435063192279
"2007",-0.0267075410607674
"2008",-0.0301389871399238
"2009",-0.0302122466204992
"2010",0.000151079778794383
"2011",0.0471545295192698
"2012",0.0668243971027266
"2013",0.0781742932045176
"2014",0.0917065816382774
"2015",0.0968639102047575
"2016",0.0230159717830645
"2017",-0.0212519596047741
"2018",-0.0285069494378035
"2019",-0.0313350259441279
"2020",0.00020984378668345
"2021",0.0397054060844539
"2022",0.130627939929684
"2023",0.215832744500574
"2024",0.1353364308675
"2025",0.105121231079102
"2026",0.0705623626708984
"2027",0.0360177357991404
"2028",0.021943537394219
"2029",-0.00117403666179712
"2030",-0.0136870066325002
"2031",-0.0259489695231252
"2032",-0.0232181549072266
"2033",0.00660896301269531
"2034",0.058848698933906
"2035",0.0649832407633596
"2036",0.0888947804768748
"2037",0.0643299102783203
"2038",0.064283625284844
"2039",0.0308017730712891
"2040",-0.000958633422851562
"2041",-0.0286869049072266
"2042",-0.0363524119059377
"2043",-0.0326869964599609
"2044",-0.0157413482666016
"2045",0.0336020151774221
"2046",0.0673419952392578
"2047",0.104779434204102
"2048",0.109016291300469
"2049",0.0778380076090627
"2050",0.0310741424560547
"2051",0.00771802266437476
"2052",-0.0137884775797659
"2053",-0.0292583465576172
"2054",-0.0233765920003123
"2055",0.00510648091632788
"2056",0.0406444549560547
"2057",0.0417446136474609
"2058",0.0479183197021484
"2059",0.0519095102946096
"2060",0.0227944691975779
"2061",-0.00239524841308594
"2062",-0.0230739593505859
"2063",-0.0302837371826172
"2064",-0.0328970591227346
"2065",-0.0240922292073435
"2066",0.0147747039794922
"2067",0.0496557871500784
"2068",0.069444402058906
"2069",0.0614940643310547
"2070",0.0399697621663279
"2071",0.00909945170085962
"2072",-0.00595563252765601
"2073",-0.0169518788655466
"2074",-0.0330911000569529
"2075",-0.0397045135498047
"2076",-0.0464443206787109
"2077",-0.0376928965250784
"2078",-0.013047917683906
"2079",0.0135303497314453
"2080",0.0322045644124216
"2081",0.0339633941650391
"2082",0.0329486846923828
"2083",0.0133843739827341
"2084",0.00385322570800781
"2085",-0.0256374359130859
"2086",-0.0419457753499216
"2087",-0.043296941121406
"2088",-0.0410093943278127
"2089",-0.0181463877360159
"2090",0.0198268890380859
"2091",0.0475480397542185
"2092",0.0840206146240234
"2093",0.0690723419189453
"2094",0.0387271881103516
"2095",0.0145699818928904
"2096",-0.0140341440836721
"2097",-0.0235083262125784
"2098",-0.032539240519219
"2099",-0.0194922129313284
"2100",0.0101996103922659
"2101",0.0458443959553904
"2102",0.0442155202229685
"2103",0.0423748016357422
"2104",0.0275369008382029
"2105",-0.00172411600750024
"2106",-0.0183920542399221
"2107",-0.0320514678955078
"2108",-0.0334471384684377
"2109",-0.0247170766194529
