*year,value
"1850",0
"1851",-0.00757470505161645
"1852",-0.135617583201609
"1853",-0.00762845176341212
"1854",-0.0000270732031570631
"1855",-0.0000423203204616418
"1856",-0.0000609258794967982
"1857",-0.0000829374325379828
"1858",-0.0001083322768827
"1859",-0.000137101092382214
"1860",-0.000169270977117941
"1861",-0.319204413319786
"1862",-0.426380860071857
"1863",-0.158793377713803
"1864",-0.0379633490490168
"1865",-0.000842232586992897
"1866",-0.000434105321216904
"1867",-0.000489189117372946
"1868",-0.000548421957903444
"1869",-0.000611058694829719
"1870",-0.000677077351880884
"1871",-0.000746452585011687
"1872",-0.0121807331689714
"1873",-0.204353329703066
"1874",-0.0123973499603261
"1875",-0.00105791177275869
"1876",-0.00114423068083294
"1877",-0.00123393904770858
"1878",-0.00132703785173
"1879",-0.00521115297647862
"1880",-0.0731399106888018
"1881",-0.0732650053619583
"1882",-0.00554137592821774
"1883",-0.651102978961806
"1884",-1.8085870289078
"1885",-0.720568469927978
"1886",-0.241358886197369
"1887",-0.189970276135313
"1888",-0.0446986635566527
"1889",-0.00257454030166687
"1890",-0.17729494930318
"1891",-0.327493931892402
"1892",-0.131763964982742
"1893",-0.00312970817036556
"1894",-0.00327697415477446
"1895",-0.00342762182485479
"1896",-0.00358165694279919
"1897",-0.00373906935353033
"1898",-0.00389987657745622
"1899",-0.00406406341189092
"1900",-0.00423162915846248
"1901",-0.00440259227975756
"1902",-0.198529521412402
"1903",-0.78138064582028
"1904",-0.407219978177423
"1905",-0.105654694786454
"1906",-0.0193503696976732
"1907",-0.152822752891007
"1908",-0.0598781685260911
"1909",-0.00589212537607792
"1910",-0.00609354762694084
"1911",-0.00629836305543616
"1912",-0.485564094086806
"1913",-0.409843356274106
"1914",-0.161809311615039
"1915",-0.0285359825797257
"1916",-0.00770546039413456
"1917",-0.00759994112981238
"1918",-0.00782682921017089
"1919",-0.00805874104461002
"1920",-0.00829399950145687
"1921",-0.0085326591397783
"1922",-0.122872094642249
"1923",-0.0699815854785063
"1924",-0.00926895992723864
"1925",-0.00952118581116015
"1926",-0.00977675701427727
"1927",-0.0100357485192972
"1928",-0.0418855655951914
"1929",-0.197107160443642
"1930",-0.010832988278859
"1931",-0.0111054995652921
"1932",-0.163770699449563
"1933",-0.0429986877309399
"1934",-0.0119433713284665
"1935",-0.0122294181720378
"1936",-0.0125188623423196
"1937",-0.0128116872068339
"1938",-0.0131079052726754
"1939",-0.0134075024177641
"1940",-0.0137104881773724
"1941",-0.0140168488771267
"1942",-0.0143266209096917
"1943",-0.0146397619088277
"1944",-0.0149562939243841
"1945",-0.0152761850893963
"1946",-0.0155995024887322
"1947",-0.0159261813334219
"1948",-0.0162562411192685
"1949",-0.0165897003618602
"1950",-0.01692652725534
"1951",-0.0172667581836429
"1952",-0.0176103688758471
"1953",-0.0179573514016888
"1954",-0.0183077426551642
"1955",-0.0186615115861545
"1956",-0.0190186495959542
"1957",-0.0193791990433203
"1958",-0.0197431145677433
"1959",-0.0201104176441627
"1960",-0.0204810954437338
"1961",-0.0300148291418991
"1962",-0.186883953853329
"1963",-0.917743474871183
"1964",-0.714200981997674
"1965",-0.4505894001763
"1966",-0.077366268123104
"1967",-0.291745692542037
"1968",-0.195626519887215
"1969",-0.124534236693871
"1970",-0.127938658276648
"1971",-0.240778014380506
"1972",-0.145757540655999
"1973",-0.0384284462965441
"1974",-0.146894472815482
"1975",-0.350357164575352
"1976",-0.136420797139708
"1977",-0.066780101688074
"1978",-0.0462231854833138
"1979",-0.0597125035311599
"1980",-0.0988554995754631
"1981",-0.127366852528289
"1982",-0.430212239555394
"1983",-0.826354884004882
"1984",-0.407220590712037
"1985",-0.198560212574202
"1986",-0.198379419051147
"1987",-0.131882097858359
"1988",-0.0859201261010755
"1989",-0.0543320097896217
"1990",-0.0588777808521265
"1991",-0.725605843592385
"1992",-1.70711025887751
"1993",-0.906440914896474
"1994",-0.247291769184256
"1995",-0.103075907937702
"1996",-0.0494075795392833
"1997",-0.0301604669106066
"1998",-0.0280490670243066
"1999",-0.0254164584224385
"2000",-0.0246598836770381
"2001",-0.0284305871504804
"2002",-0.021942803758284
"2003",-0.0350996321009408
"2004",-0.0262977972878011
"2005",-0.0546234409093573
"2006",-0.079094100998492
"2007",-0.0771408410756682
"2008",-0.0717418899764961
"2009",-0.0956842362391023
"2010",-0.0627256160032055
"2011",-0.0947472837376984
"2012",-0.0586601592256521
"2013",-0.0416751657389819
"2014",-0.0629190938963588
"2015",-0.103198566695468
"2016",-0.0896103111587747
"2017",-0.0674644429966477
"2018",-0.082354611201564
"2019",-0.149843518137478
"2020",-0.181232128828039
"2021",-0.124668243585217
"2022",-0.186276278790356
