"year","so2i","so2l","noxi","noxl","oci","ocl","bci","bcl"
1765,0,0,0,0,0,0,0,0
1766,-5.7346282e-05,-8.7122736e-05,-2.5855984e-05,-0.00016142611,0,-0.00040540079,0,0.0011541565
1767,-0.00010218512,-0.00025099784,-3.7960353e-05,-0.00038331071,0,-0.00080133846,0,0.0022813188
1768,-0.00013865745,-0.00046255062,-4.5332652e-05,-0.00062190375,0,-0.0011879319,0,0.0033818214
1769,-0.00016926604,-0.00070426491,-5.0527822e-05,-0.00086488763,0,-0.0015652999,0,0.004455999
1770,-0.00019561253,-0.00096498269,-5.454798e-05,-0.001107495,0,-0.0019335614,0,0.0055041862
1771,-0.00028958271,-0.0016375751,-5.9423291e-05,-0.0013836763,-3.3715314e-05,-0.0022928352,0.00012133042,0.0065267178
1772,-0.00030672873,-0.0019415001,-6.2153654e-05,-0.0016206912,-3.3715314e-05,-0.0026432402,0.00012133042,0.0075239283
1773,-0.00032251403,-0.0022443856,-6.4613173e-05,-0.0018532488,-3.3715314e-05,-0.0029848953,0.00012133042,0.0084961523
1774,-0.00033722261,-0.0025443706,-6.6885138e-05,-0.0020810493,-3.3715314e-05,-0.0033179194,0.00012133042,0.0094437246
1775,-0.0003510678,-0.0028400928,-6.9024194e-05,-0.0023039324,-3.3715314e-05,-0.0036424312,0.00012133042,0.01036698
1776,-0.00036421288,-0.003130543,-7.1067729e-05,-0.0025218212,-3.3715314e-05,-0.0039585497,0.00012133042,0.011266253
1777,-0.00037678492,-0.0034149674,-7.3042233e-05,-0.0027346923,-3.3715314e-05,-0.0042663937,0.00012133042,0.012141877
1778,-0.0003888842,-0.0036928012,-7.4967036e-05,-0.0029425568,-3.3715314e-05,-0.004566082,0.00012133042,0.012994189
1779,-0.00040059091,-0.0039636217,-7.6856614e-05,-0.0031454496,-3.3715314e-05,-0.0048577337,0.00012133042,0.013823522
1780,-0.00041196984,-0.0042271144,-7.872205e-05,-0.0033434218,-3.3715314e-05,-0.0051414674,0.00012133042,0.014630211
1781,-0.00047409825,-0.0050229712,-8.1476539e-05,-0.003575855,-6.7430628e-05,-0.0054174022,0.00024266085,0.015414591
1782,-0.00048410474,-0.0052772951,-8.3295087e-05,-0.003764295,-6.7430628e-05,-0.0056856568,0.00024266085,0.016176997
1783,-0.00049402032,-0.0055230485,-8.51137e-05,-0.0039480124,-6.7430628e-05,-0.0059463501,0.00024266085,0.016917762
1784,-0.00050386342,-0.0057602443,-8.6936548e-05,-0.004127092,-6.7430628e-05,-0.0061996009,0.00024266085,0.017637222
1785,-0.00051364948,-0.0059889163,-8.8767124e-05,-0.0043016221,-6.7430628e-05,-0.0064455282,0.00024266085,0.018335711
1786,-0.0005233915,-0.0062091156,-9.0608399e-05,-0.0044716934,-6.7430628e-05,-0.0066842508,0.00024266085,0.019013565
1787,-0.00053310047,-0.0064209076,-9.2462934e-05,-0.0046373987,-6.7430628e-05,-0.0069158876,0.00024266085,0.019671117
1788,-0.00054278569,-0.0066243694,-9.4332971e-05,-0.0047988321,-6.7430628e-05,-0.0071405574,0.00024266085,0.020308702
1789,-0.00055245508,-0.0068195881,-9.6220496e-05,-0.0049560893,-6.7430628e-05,-0.0073583791,0.00024266085,0.020926655
1790,-0.00056211536,-0.0070066591,-9.8127294e-05,-0.0051092667,-6.7430628e-05,-0.0075694716,0.00024266085,0.02152531
1791,-0.00061771528,-0.0077614598,-0.00010083087,-0.0052984055,-0.00010114594,-0.0077739537,0.00036399127,0.022105003
1792,-0.00062718039,-0.0079339125,-0.0001027763,-0.0054437386,-0.00010114594,-0.0079719442,0.00036399127,0.022666068
1793,-0.00063669026,-0.0080982659,-0.00010474647,-0.0055852808,-0.00010114594,-0.0081635622,0.00036399127,0.023208839
1794,-0.00064624559,-0.0082546579,-0.0001067426,-0.0057231315,-0.00010114594,-0.0083489263,0.00036399127,0.023733651
1795,-0.00065584682,-0.0084032283,-0.00010876589,-0.00585739,-0.00010114594,-0.0085281555,0.00036399127,0.024240839
1796,-0.00066549423,-0.008544118,-0.00011081747,-0.005988156,-0.00010114594,-0.0087013687,0.00036399127,0.024730738
1797,-0.00072050555,-0.0092576567,-0.00011365934,-0.0061555459,-0.00013486126,-0.0088686847,0.0004853217,0.025203681
1798,-0.00073024995,-0.0093835808,-0.00011577093,-0.0062796258,-0.00013486126,-0.0090302223,0.0004853217,0.025660004
1799,-0.00074006644,-0.0095020699,-0.00011791471,-0.0064005097,-0.00013486126,-0.0091861005,0.0004853217,0.026100042
