"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,0,0,0,0
1767,-0.000889665533333333,-0.000889665533333333,-0.000889665533333333,-0.000889665533333333
1768,-0.00177945016666667,-0.00177945016666667,-0.00177945016666667,-0.00177945016666667
1769,-0.0026692085,-0.0026692085,-0.0026692085,-0.0026692085
1770,-0.00355895066666667,-0.00355895066666667,-0.00355895066666667,-0.00355895066666667
1771,-0.004448683,-0.004448683,-0.004448683,-0.004448683
1772,-0.00533840916666667,-0.00533840916666667,-0.00533840916666667,-0.00533840916666667
1773,-0.0062281315,-0.0062281315,-0.0062281315,-0.0062281315
1774,-0.0071178515,-0.0071178515,-0.0071178515,-0.0071178515
1775,-0.00800757,-0.00800757,-0.00800757,-0.00800757
1776,-0.00889728783333333,-0.00889728783333333,-0.00889728783333333,-0.00889728783333333
1777,-0.00978700483333333,-0.00978700483333333,-0.00978700483333333,-0.00978700483333333
1778,-0.0106767216666667,-0.0106767216666667,-0.0106767216666667,-0.0106767216666667
1779,-0.0115664381666667,-0.0115664381666667,-0.0115664381666667,-0.0115664381666667
1780,-0.0124561546666667,-0.0124561546666667,-0.0124561546666667,-0.0124561546666667
1781,-0.013345871,-0.013345871,-0.013345871,-0.013345871
1782,-0.0142355873333333,-0.0142355873333333,-0.0142355873333333,-0.0142355873333333
1783,-0.0151253036666667,-0.0151253036666667,-0.0151253036666667,-0.0151253036666667
1784,-0.01601502,-0.01601502,-0.01601502,-0.01601502
1785,-0.0169047366666667,-0.0169047366666667,-0.0169047366666667,-0.0169047366666667
1786,-0.0177944516666667,-0.0177944516666667,-0.0177944516666667,-0.0177944516666667
1787,-0.0186841683333333,-0.0186841683333333,-0.0186841683333333,-0.0186841683333333
1788,-0.019573885,-0.019573885,-0.019573885,-0.019573885
1789,-0.0204636016666667,-0.0204636016666667,-0.0204636016666667,-0.0204636016666667
1790,-0.0213533166666667,-0.0213533166666667,-0.0213533166666667,-0.0213533166666667
1791,-0.0222430333333333,-0.0222430333333333,-0.0222430333333333,-0.0222430333333333
1792,-0.02313275,-0.02313275,-0.02313275,-0.02313275
1793,-0.0240224666666667,-0.0240224666666667,-0.0240224666666667,-0.0240224666666667
1794,-0.0249121816666667,-0.0249121816666667,-0.0249121816666667,-0.0249121816666667
1795,-0.0258018983333333,-0.0258018983333333,-0.0258018983333333,-0.0258018983333333
1796,-0.026691615,-0.026691615,-0.026691615,-0.026691615
