"year","rcp26","rcp45","rcp60","rcp85"
1765,590.53522,590.53522,590.53522,590.53522
1766,590.53522,590.53522,590.53522,590.53522
1767,590.78857,590.78857,590.78857,590.78857
1768,591.05603,591.05603,591.05603,591.05603
1769,591.33007,591.33007,591.33007,591.33007
1770,591.60751,591.60751,591.60751,591.60751
1771,591.89174,591.89174,591.89174,591.89174
1772,592.18524,592.18524,592.18524,592.18524
1773,592.48728,592.48728,592.48728,592.48728
1774,592.79712,592.79712,592.79712,592.79712
1775,593.11831,593.11831,593.11831,593.11831
1776,593.45527,593.45527,593.45527,593.45527
1777,593.8031,593.8031,593.8031,593.8031
1778,594.15093,594.15093,594.15093,594.15093
1779,594.48789,594.48789,594.48789,594.48789
1780,594.80567,594.80567,594.80567,594.80567
1781,595.10526,595.10526,595.10526,595.10526
1782,595.39535,595.39535,595.39535,595.39535
1783,595.68544,595.68544,595.68544,595.68544
1784,595.98503,595.98503,595.98503,595.98503
1785,596.30281,596.30281,596.30281,596.30281
1786,596.63977,596.63977,596.63977,596.63977
1787,596.9876,596.9876,596.9876,596.9876
1788,597.33543,597.33543,597.33543,597.33543
1789,597.67239,597.67239,597.67239,597.67239
1790,597.99358,597.99358,597.99358,597.99358
1791,598.30342,598.30342,598.30342,598.30342
1792,598.60546,598.60546,598.60546,598.60546
1793,598.89896,598.89896,598.89896,598.89896
1794,599.18319,599.18319,599.18319,599.18319
1795,599.4584,599.4584,599.4584,599.4584
1796,599.72578,599.72578,599.72578,599.72578
1797,599.98545,599.98545,599.98545,599.98545
1798,600.23658,600.23658,600.23658,600.23658
1799,600.4783,600.4783,600.4783,600.4783
1800,600.71091,600.71091,600.71091,600.71091
1801,600.93582,600.93582,600.93582,600.93582
1802,601.15319,601.15319,601.15319,601.15319
1803,601.36197,601.36197,601.36197,601.36197
1804,601.56114,601.56114,601.56114,601.56114
1805,601.75369,601.75369,601.75369,601.75369
1806,601.94391,601.94391,601.94391,601.94391
1807,602.12809,602.12809,602.12809,602.12809
