"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,0.00021541523,0.00021541523,0.00021541523,0.00021541523
1767,0.00042576382,0.00042576382,0.00042576382,0.00042576382
1768,0.00063110624,0.00063110624,0.00063110624,0.00063110624
1769,0.00083150292,0.00083150292,0.00083150292,0.00083150292
1770,0.0010270143,0.0010270143,0.0010270143,0.0010270143
1771,0.0012589517,0.0012589517,0.0012589517,0.0012589517
1772,0.001444874,0.001444874,0.001444874,0.001444874
1773,0.0016260923,0.0016260923,0.0016260923,0.0016260923
1774,0.0018026673,0.0018026673,0.0018026673,0.0018026673
1775,0.0019746593,0.0019746593,0.0019746593,0.0019746593
1776,0.0021421287,0.0021421287,0.0021421287,0.0021421287
1777,0.0023051361,0.0023051361,0.0023051361,0.0023051361
1778,0.0024637419,0.0024637419,0.0024637419,0.0024637419
1779,0.0026180066,0.0026180066,0.0026180066,0.0026180066
1780,0.0027679906,0.0027679906,0.0027679906,0.0027679906
1781,0.0029550051,0.0029550051,0.0029550051,0.0029550051
1782,0.0030966091,0.0030966091,0.0030966091,0.0030966091
1783,0.0032341139,0.0032341139,0.0032341139,0.0032341139
1784,0.0033675797,0.0033675797,0.0033675797,0.0033675797
1785,0.0034970672,0.0034970672,0.0034970672,0.0034970672
1786,0.0036226368,0.0036226368,0.0036226368,0.0036226368
1787,0.0037443489,0.0037443489,0.0037443489,0.0037443489
1788,0.0038622639,0.0038622639,0.0038622639,0.0038622639
1789,0.0039764425,0.0039764425,0.0039764425,0.0039764425
1790,0.0040869449,0.0040869449,0.0040869449,0.0040869449
1791,0.0042350825,0.0042350825,0.0042350825,0.0042350825
1792,0.0043384141,0.0043384141,0.0043384141,0.0043384141
1793,0.004438251,0.004438251,0.004438251,0.004438251
1794,0.0045346537,0.0045346537,0.0045346537,0.0045346537
1795,0.0046276826,0.0046276826,0.0046276826,0.0046276826
1796,0.0047173981,0.0047173981,0.0047173981,0.0047173981
1797,0.0048451115,0.0048451115,0.0048451115,0.0048451115
1798,0.0049283817,0.0049283817,0.0049283817,0.0049283817
1799,0.0050085199,0.0050085199,0.0050085199,0.0050085199
1800,0.0051268374,0.0051268374,0.0051268374,0.0051268374
1801,0.0052008932,0.0052008932,0.0052008932,0.0052008932
1802,0.0053544998,0.0053544998,0.0053544998,0.0053544998
1803,0.005381464,0.005381464,0.005381464,0.005381464
1804,0.0054468493,0.0054468493,0.0054468493,0.0054468493
1805,0.0055094654,0.0055094654,0.0055094654,0.0055094654
1806,0.0056106235,0.0056106235,0.0056106235,0.0056106235
1807,0.0056678826,0.0056678826,0.0056678826,0.0056678826
1808,0.0057225538,0.0057225538,0.0057225538,0.0057225538
1809,0.0057746977,0.0057746977,0.0057746977,0.0057746977
1810,0.0058243746,0.0058243746,0.0058243746,0.0058243746
1811,0.0059128958,0.0059128958,0.0059128958,0.0059128958
1812,0.0059578203,0.0059578203,0.0059578203,0.0059578203
1813,0.0060004592,0.0060004592,0.0060004592,0.0060004592
1814,0.0060408731,0.0060408731,0.0060408731,0.0060408731
1815,0.006120373,0.006120373,0.006120373,0.006120373
1816,0.0061977688,0.0061977688,0.0061977688,0.0061977688
1817,0.0062731209,0.0062731209,0.0062731209,0.0062731209
1818,0.006305239,0.006305239,0.006305239,0.006305239
1819,0.0063354343,0.0063354343,0.0063354343,0.0063354343
1820,0.0063637673,0.0063637673,0.0063637673,0.0063637673
1821,0.0063902984,0.0063902984,0.0063902984,0.0063902984
1822,0.0064563388,0.0064563388,0.0064563388,0.0064563388
1823,0.0065206983,0.0065206983,0.0065206983,0.0065206983
1824,0.0065421866,0.0065421866,0.0065421866,0.0065421866
1825,0.0066033655,0.0066033655,0.0066033655,0.0066033655
1826,0.0066217941,0.0066217941,0.0066217941,0.0066217941
1827,0.0066800344,0.0066800344,0.0066800344,0.0066800344
1828,0.0066956452,0.0066956452,0.0066956452,0.0066956452
1829,0.0067099378,0.0067099378,0.0067099378,0.0067099378
1830,0.0069704772,0.0069704772,0.0069704772,0.0069704772
1831,0.006941064,0.006941064,0.006941064,0.006941064
1832,0.0069517648,0.0069517648,0.0069517648,0.0069517648
1833,0.00700264,0.00700264,0.00700264,0.00700264
1834,0.0070112485,0.0070112485,0.0070112485,0.0070112485
1835,0.0070601523,0.0070601523,0.0070601523,0.0070601523
1836,0.0072319133,0.0072319133,0.0072319133,0.0072319133
1837,0.0072378368,0.0072378368,0.0072378368,0.0072378368
1838,0.007284237,0.007284237,0.007284237,0.007284237
1839,0.0073299236,0.0073299236,0.0073299236,0.0073299236
1840,0.0074162078,0.0074162078,0.0074162078,0.0074162078
1841,0.0074606485,0.0074606485,0.0074606485,0.0074606485
1842,0.0075458077,0.0075458077,0.0075458077,0.0075458077
1843,0.0075892444,0.0075892444,0.0075892444,0.0075892444
1844,0.0076735205,0.0076735205,0.0076735205,0.0076735205
1845,0.0078399472,0.0078399472,0.0078399472,0.0078399472
1846,0.0078410806,0.0078410806,0.0078410806,0.0078410806
1847,0.0079657362,0.0079657362,0.0079657362,0.0079657362
1848,0.0080077209,0.0080077209,0.0080077209,0.0080077209
1849,0.008132098,0.008132098,0.008132098,0.008132098
1850,0.0082976773,0.0082976773,0.0082976773,0.0082976773
1851,0.0080891599,0.0080891599,0.0080891599,0.0080891599
1852,0.0095925191,0.0095925191,0.0095925191,0.0095925191
1853,0.0096227637,0.0096227637,0.0096227637,0.0096227637
1854,0.0099727865,0.0099727865,0.0099727865,0.0099727865
1855,0.009981436,0.009981436,0.009981436,0.009981436
1856,0.010316301,0.010316301,0.010316301,0.010316301
1857,0.010488611,0.010488611,0.010488611,0.010488611
1858,0.010658628,0.010658628,0.010658628,0.010658628
1859,0.010993945,0.010993945,0.010993945,0.010993945
1860,0.011508349,0.011508349,0.011508349,0.011508349
1861,0.011989834,0.011989834,0.011989834,0.011989834
1862,0.010572565,0.010572565,0.010572565,0.010572565
1863,0.010863421,0.010863421,0.010863421,0.010863421
1864,0.011165278,0.011165278,0.011165278,0.011165278
1865,0.011486691,0.011486691,0.011486691,0.011486691
1866,0.011659349,0.011659349,0.011659349,0.011659349
1867,0.011978538,0.011978538,0.011978538,0.011978538
1868,0.012100493,0.012100493,0.012100493,0.012100493
1869,0.012317028,0.012317028,0.012317028,0.012317028
1870,0.012473337,0.012473337,0.012473337,0.012473337
1871,0.013222906,0.013222906,0.013222906,0.013222906
1872,0.016027425,0.016027425,0.016027425,0.016027425
1873,0.016720951,0.016720951,0.016720951,0.016720951
1874,0.016437632,0.016437632,0.016437632,0.016437632
1875,0.017147078,0.017147078,0.017147078,0.017147078
1876,0.017338044,0.017338044,0.017338044,0.017338044
1877,0.017653797,0.017653797,0.017653797,0.017653797
1878,0.018042646,0.018042646,0.018042646,0.018042646
1879,0.018323114,0.018323114,0.018323114,0.018323114
1880,0.018718024,0.018718024,0.018718024,0.018718024
1881,0.019726194,0.019726194,0.019726194,0.019726194
1882,0.018727085,0.018727085,0.018727085,0.018727085
1883,0.019074946,0.019074946,0.019074946,0.019074946
1884,0.019469292,0.019469292,0.019469292,0.019469292
1885,0.019758254,0.019758254,0.019758254,0.019758254
1886,0.020149965,0.020149965,0.020149965,0.020149965
1887,0.020560456,0.020560456,0.020560456,0.020560456
1888,0.020867403,0.020867403,0.020867403,0.020867403
1889,0.021505506,0.021505506,0.021505506,0.021505506
1890,0.02185666,0.02185666,0.02185666,0.02185666
1891,0.022034781,0.022034781,0.022034781,0.022034781
1892,0.02265446,0.02265446,0.02265446,0.02265446
1893,0.023158139,0.023158139,0.023158139,0.023158139
1894,0.024082631,0.024082631,0.024082631,0.024082631
1895,0.024570873,0.024570873,0.024570873,0.024570873
1896,0.025709262,0.025709262,0.025709262,0.025709262
1897,0.027045823,0.027045823,0.027045823,0.027045823
1898,0.028431494,0.028431494,0.028431494,0.028431494
1899,0.029347302,0.029347302,0.029347302,0.029347302
1900,0.030322006,0.030322006,0.030322006,0.030322006
1901,0.032300923,0.032300923,0.032300923,0.032300923
