"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,0,0,0,0
1767,-0.000333062083333333,-0.000333062083333333,-0.000333062083333333,-0.000333062083333333
1768,-0.0005687024,-0.0005687024,-0.0005687024,-0.0005687024
1769,-0.000737517133333333,-0.000737517133333333,-0.000737517133333333,-0.000737517133333333
1770,-0.000858444383333333,-0.000858444383333333,-0.000858444383333333,-0.000858444383333333
1771,-0.00094402005,-0.00094402005,-0.00094402005,-0.00094402005
1772,-0.0010031049,-0.0010031049,-0.0010031049,-0.0010031049
1773,-0.00104221016666667,-0.00104221016666667,-0.00104221016666667,-0.00104221016666667
1774,-0.00106617783333333,-0.00106617783333333,-0.00106617783333333,-0.00106617783333333
1775,-0.00107867285,-0.00107867285,-0.00107867285,-0.00107867285
1776,-0.00108250586666667,-0.00108250586666667,-0.00108250586666667,-0.00108250586666667
1777,-0.00107985293333333,-0.00107985293333333,-0.00107985293333333,-0.00107985293333333
1778,-0.00107241063333333,-0.00107241063333333,-0.00107241063333333,-0.00107241063333333
1779,-0.00106150443333333,-0.00106150443333333,-0.00106150443333333,-0.00106150443333333
1780,-0.00104823845,-0.00104823845,-0.00104823845,-0.00104823845
1781,-0.00103351308333333,-0.00103351308333333,-0.00103351308333333,-0.00103351308333333
1782,-0.00101792473333333,-0.00101792473333333,-0.00101792473333333,-0.00101792473333333
1783,-0.00100185441666667,-0.00100185441666667,-0.00100185441666667,-0.00100185441666667
1784,-0.000985582316666666,-0.000985582316666666,-0.000985582316666666,-0.000985582316666666
1785,-0.00096930835,-0.00096930835,-0.00096930835,-0.00096930835
1786,-0.000953168233333333,-0.000953168233333333,-0.000953168233333333,-0.000953168233333333
1787,-0.000937246283333333,-0.000937246283333333,-0.000937246283333333,-0.000937246283333333
1788,-0.000921585516666667,-0.000921585516666667,-0.000921585516666667,-0.000921585516666667
1789,-0.000906193366666667,-0.000906193366666667,-0.000906193366666667,-0.000906193366666667
1790,-0.000891086616666667,-0.000891086616666667,-0.000891086616666667,-0.000891086616666667
1791,-0.00087634315,-0.00087634315,-0.00087634315,-0.00087634315
1792,-0.000862047616666667,-0.000862047616666667,-0.000862047616666667,-0.000862047616666667
1793,-0.000848249616666667,-0.000848249616666667,-0.000848249616666667,-0.000848249616666667
1794,-0.000834985266666667,-0.000834985266666667,-0.000834985266666667,-0.000834985266666667
1795,-0.00082228015,-0.00082228015,-0.00082228015,-0.00082228015
