"year","rcp26","rcp45","rcp60","rcp85"
1765,721.89411,721.89411,721.89411,721.89411
1766,722.61728,722.61728,722.61728,722.61728
1767,723.32436,723.32436,723.32436,723.32436
1768,724.01148,724.01148,724.01148,724.01148
1769,724.67478,724.67478,724.67478,724.67478
1770,725.31573,725.31573,725.31573,725.31573
1771,725.94197,725.94197,725.94197,725.94197
1772,726.55716,726.55716,726.55716,726.55716
1773,727.16009,727.16009,727.16009,727.16009
1774,727.74958,727.74958,727.74958,727.74958
1775,728.3244,728.3244,728.3244,728.3244
1776,728.88335,728.88335,728.88335,728.88335
1777,729.42523,729.42523,729.42523,729.42523
1778,729.94884,729.94884,729.94884,729.94884
1779,730.45296,730.45296,730.45296,730.45296
1780,730.93144,730.93144,730.93144,730.93144
1781,731.37675,731.37675,731.37675,731.37675
1782,731.79174,731.79174,731.79174,731.79174
1783,732.18601,732.18601,732.18601,732.18601
1784,732.56915,732.56915,732.56915,732.56915
1785,732.95075,732.95075,732.95075,732.95075
1786,733.34043,733.34043,733.34043,733.34043
1787,733.74777,733.74777,733.74777,733.74777
1788,734.18238,734.18238,734.18238,734.18238
1789,734.65385,734.65385,734.65385,734.65385
1790,735.16802,735.16802,735.16802,735.16802
1791,735.72282,735.72282,735.72282,735.72282
1792,736.31367,736.31367,736.31367,736.31367
1793,736.93766,736.93766,736.93766,736.93766
1794,737.59191,737.59191,737.59191,737.59191
1795,738.2735,738.2735,738.2735,738.2735
1796,738.97955,738.97955,738.97955,738.97955
1797,739.70716,739.70716,739.70716,739.70716
1798,740.45341,740.45341,740.45341,740.45341
1799,741.21542,741.21542,741.21542,741.21542
1800,742.00075,742.00075,742.00075,742.00075
1801,742.82581,742.82581,742.82581,742.82581
1802,743.69409,743.69409,743.69409,743.69409
1803,744.59779,744.59779,744.59779,744.59779
1804,745.52913,745.52913,745.52913,745.52913
1805,746.48031,746.48031,746.48031,746.48031
1806,747.44353,747.44353,747.44353,747.44353
1807,748.411,748.411,748.411,748.411
1808,749.37492,749.37492,749.37492,749.37492
1809,750.32751,750.32751,750.32751,750.32751
1810,751.26883,751.26883,751.26883,751.26883
1811,752.20907,752.20907,752.20907,752.20907
1812,753.15404,753.15404,753.15404,753.15404
1813,754.10283,754.10283,754.10283,754.10283
1814,755.0545,755.0545,755.0545,755.0545
1815,756.00816,756.00816,756.00816,756.00816
1816,756.96288,756.96288,756.96288,756.96288
1817,757.91776,757.91776,757.91776,757.91776
1818,758.87188,758.87188,758.87188,758.87188
1819,759.82431,759.82431,759.82431,759.82431
1820,760.77478,760.77478,760.77478,760.77478
1821,761.72398,761.72398,761.72398,761.72398
1822,762.67264,762.67264,762.67264,762.67264
1823,763.62105,763.62105,763.62105,763.62105
1824,764.5695,764.5695,764.5695,764.5695
1825,765.51831,765.51831,765.51831,765.51831
1826,766.46776,766.46776,766.46776,766.46776
1827,767.41816,767.41816,767.41816,767.41816
1828,768.3698,768.3698,768.3698,768.3698
1829,769.32299,769.32299,769.32299,769.32299
1830,770.27389,770.27389,770.27389,770.27389
