"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,0.0071515401,0.0071515401,0.0071515401,0.0071515401
1767,0.007569936,0.007569936,0.007569936,0.007569936
1768,0.0079763184,0.0079763184,0.0079763184,0.0079763184
1769,0.0083684278,0.0083684278,0.0083684278,0.0083684278
1770,0.0087471435,0.0087471435,0.0087471435,0.0087471435
1771,0.0091170005,0.0091170005,0.0091170005,0.0091170005
1772,0.0094801713,0.0094801713,0.0094801713,0.0094801713
1773,0.0098359545,0.0098359545,0.0098359545,0.0098359545
1774,0.01018365,0.01018365,0.01018365,0.01018365
1775,0.010522556,0.010522556,0.010522556,0.010522556
1776,0.010851975,0.010851975,0.010851975,0.010851975
1777,0.011171206,0.011171206,0.011171206,0.011171206
1778,0.011479555,0.011479555,0.011479555,0.011479555
1779,0.011776322,0.011776322,0.011776322,0.011776322
1780,0.012057893,0.012057893,0.012057893,0.012057893
1781,0.012319864,0.012319864,0.012319864,0.012319864
1782,0.01256392,0.01256392,0.01256392,0.01256392
1783,0.012795722,0.012795722,0.012795722,0.012795722
1784,0.013020919,0.013020919,0.013020919,0.013020919
1785,0.013245157,0.013245157,0.013245157,0.013245157
1786,0.013474072,0.013474072,0.013474072,0.013474072
1787,0.013713299,0.013713299,0.013713299,0.013713299
1788,0.013968462,0.013968462,0.013968462,0.013968462
1789,0.014245179,0.014245179,0.014245179,0.014245179
1790,0.014546854,0.014546854,0.014546854,0.014546854
1791,0.01487224,0.01487224,0.01487224,0.01487224
1792,0.01521863,0.01521863,0.01521863,0.01521863
1793,0.015584298,0.015584298,0.015584298,0.015584298
1794,0.01596752,0.01596752,0.01596752,0.01596752
1795,0.016366576,0.016366576,0.016366576,0.016366576
1796,0.016779746,0.016779746,0.016779746,0.016779746
1797,0.017205315,0.017205315,0.017205315,0.017205315
1798,0.017641567,0.017641567,0.017641567,0.017641567
1799,0.018086794,0.018086794,0.018086794,0.018086794
1800,0.018545399,0.018545399,0.018545399,0.018545399
1801,0.019026933,0.019026933,0.019026933,0.019026933
1802,0.019533392,0.019533392,0.019533392,0.019533392
1803,0.020060188,0.020060188,0.020060188,0.020060188
1804,0.020602746,0.020602746,0.020602746,0.020602746
1805,0.021156497,0.021156497,0.021156497,0.021156497
1806,0.021716888,0.021716888,0.021716888,0.021716888
1807,0.022279374,0.022279374,0.022279374,0.022279374
1808,0.022839425,0.022839425,0.022839425,0.022839425
1809,0.023392523,0.023392523,0.023392523,0.023392523
1810,0.023938717,0.023938717,0.023938717,0.023938717
1811,0.024483935,0.024483935,0.024483935,0.024483935
1812,0.025031537,0.025031537,0.025031537,0.025031537
1813,0.025580989,0.025580989,0.025580989,0.025580989
1814,0.026131757,0.026131757,0.026131757,0.026131757
1815,0.026683312,0.026683312,0.026683312,0.026683312
1816,0.027235121,0.027235121,0.027235121,0.027235121
1817,0.027786658,0.027786658,0.027786658,0.027786658
1818,0.028337395,0.028337395,0.028337395,0.028337395
1819,0.028886806,0.028886806,0.028886806,0.028886806
1820,0.029434721,0.029434721,0.029434721,0.029434721
1821,0.029981556,0.029981556,0.029981556,0.029981556
1822,0.030527724,0.030527724,0.030527724,0.030527724
1823,0.031073396,0.031073396,0.031073396,0.031073396
1824,0.031618745,0.031618745,0.031618745,0.031618745
1825,0.032163944,0.032163944,0.032163944,0.032163944
1826,0.032709163,0.032709163,0.032709163,0.032709163
1827,0.033254574,0.033254574,0.033254574,0.033254574
1828,0.033800348,0.033800348,0.033800348,0.033800348
1829,0.034346655,0.034346655,0.034346655,0.034346655
1830,0.034891305,0.034891305,0.034891305,0.034891305
1831,0.03543068,0.03543068,0.03543068,0.03543068
1832,0.035964907,0.035964907,0.035964907,0.035964907
1833,0.036496929,0.036496929,0.036496929,0.036496929
1834,0.037029682,0.037029682,0.037029682,0.037029682
1835,0.037566093,0.037566093,0.037566093,0.037566093
1836,0.038109084,0.038109084,0.038109084,0.038109084
1837,0.038661568,0.038661568,0.038661568,0.038661568
1838,0.03922645,0.03922645,0.03922645,0.03922645
1839,0.039806628,0.039806628,0.039806628,0.039806628
1840,0.040408396,0.040408396,0.040408396,0.040408396
1841,0.041037998,0.041037998,0.041037998,0.041037998
1842,0.041693105,0.041693105,0.041693105,0.041693105
1843,0.042366284,0.042366284,0.042366284,0.042366284
1844,0.043050118,0.043050118,0.043050118,0.043050118
1845,0.043737218,0.043737218,0.043737218,0.043737218
1846,0.044420216,0.044420216,0.044420216,0.044420216
1847,0.045091767,0.045091767,0.045091767,0.045091767
1848,0.045744549,0.045744549,0.045744549,0.045744549
1849,0.046371262,0.046371262,0.046371262,0.046371262
1850,0.046959472,0.046959472,0.046959472,0.046959472
1851,0.047805915,0.047805915,0.047805915,0.047805915
1852,0.048651529,0.048651529,0.048651529,0.048651529
1853,0.049496316,0.049496316,0.049496316,0.049496316
1854,0.050340277,0.050340277,0.050340277,0.050340277
1855,0.050902461,0.050902461,0.050902461,0.050902461
1856,0.051745053,0.051745053,0.051745053,0.051745053
1857,0.052586826,0.052586826,0.052586826,0.052586826
1858,0.053427782,0.053427782,0.053427782,0.053427782
1859,0.054267925,0.054267925,0.054267925,0.054267925
1860,0.055107256,0.055107256,0.055107256,0.055107256
1861,0.055945777,0.055945777,0.055945777,0.055945777
1862,0.056783491,0.056783491,0.056783491,0.056783491
1863,0.0576204,0.0576204,0.0576204,0.0576204
1864,0.058456507,0.058456507,0.058456507,0.058456507
1865,0.059570071,0.059570071,0.059570071,0.059570071
1866,0.060404314,0.060404314,0.060404314,0.060404314
1867,0.061237761,0.061237761,0.061237761,0.061237761
1868,0.062070416,0.062070416,0.062070416,0.062070416
1869,0.06290228,0.06290228,0.06290228,0.06290228
1870,0.064010206,0.064010206,0.064010206,0.064010206
1871,0.064840234,0.064840234,0.064840234,0.064840234
1872,0.065669478,0.065669478,0.065669478,0.065669478
1873,0.066497941,0.066497941,0.066497941,0.066497941
1874,0.067325625,0.067325625,0.067325625,0.067325625
1875,0.068427996,0.068427996,0.068427996,0.068427996
1876,0.069253871,0.069253871,0.069253871,0.069253871
1877,0.070078974,0.070078974,0.070078974,0.070078974
1878,0.070903307,0.070903307,0.070903307,0.070903307
1879,0.071726873,0.071726873,0.071726873,0.071726873
1880,0.07282377,0.07282377,0.07282377,0.07282377
1881,0.073919311,0.073919311,0.073919311,0.073919311
1882,0.075013501,0.075013501,0.075013501,0.075013501
