"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-0.0016029013,-0.0016029013,-0.0016029013,-0.0016029013
1767,-0.0031593386,-0.0031593386,-0.0031593386,-0.0031593386
1768,-0.0046705331,-0.0046705331,-0.0046705331,-0.0046705331
1769,-0.0061376628,-0.0061376628,-0.0061376628,-0.0061376628
1770,-0.0075618646,-0.0075618646,-0.0075618646,-0.0075618646
1771,-0.0093314686,-0.0093314686,-0.0093314686,-0.0093314686
1772,-0.010671228,-0.010671228,-0.010671228,-0.010671228
1773,-0.011971313,-0.011971313,-0.011971313,-0.011971313
1774,-0.013232716,-0.013232716,-0.013232716,-0.013232716
1775,-0.014456397,-0.014456397,-0.014456397,-0.014456397
1776,-0.015643291,-0.015643291,-0.015643291,-0.015643291
1777,-0.0167943,-0.0167943,-0.0167943,-0.0167943
1778,-0.017910302,-0.017910302,-0.017910302,-0.017910302
1779,-0.018992152,-0.018992152,-0.018992152,-0.018992152
1780,-0.020040677,-0.020040677,-0.020040677,-0.020040677
1781,-0.021427705,-0.021427705,-0.021427705,-0.021427705
1782,-0.022410708,-0.022410708,-0.022410708,-0.022410708
1783,-0.023362791,-0.023362791,-0.023362791,-0.023362791
1784,-0.0242847,-0.0242847,-0.0242847,-0.0242847
1785,-0.025177159,-0.025177159,-0.025177159,-0.025177159
1786,-0.026040879,-0.026040879,-0.026040879,-0.026040879
1787,-0.02687655,-0.02687655,-0.02687655,-0.02687655
1788,-0.027684849,-0.027684849,-0.027684849,-0.027684849
1789,-0.028466438,-0.028466438,-0.028466438,-0.028466438
1790,-0.029221964,-0.029221964,-0.029221964,-0.029221964
1791,-0.030311816,-0.030311816,-0.030311816,-0.030311816
1792,-0.031016236,-0.031016236,-0.031016236,-0.031016236
1793,-0.031696489,-0.031696489,-0.031696489,-0.031696489
1794,-0.03235317,-0.03235317,-0.03235317,-0.03235317
1795,-0.032986865,-0.032986865,-0.032986865,-0.032986865
1796,-0.033598147,-0.033598147,-0.033598147,-0.033598147
1797,-0.034542193,-0.034542193,-0.034542193,-0.034542193
1798,-0.035109655,-0.035109655,-0.035109655,-0.035109655
1799,-0.035656395,-0.035656395,-0.035656395,-0.035656395
1800,-0.036535195,-0.036535195,-0.036535195,-0.036535195
1801,-0.037041499,-0.037041499,-0.037041499,-0.037041499
1802,-0.038229607,-0.038229607,-0.038229607,-0.038229607
1803,-0.038347407,-0.038347407,-0.038347407,-0.038347407
1804,-0.038797383,-0.038797383,-0.038797383,-0.038797383
1805,-0.039229783,-0.039229783,-0.039229783,-0.039229783
1806,-0.039993337,-0.039993337,-0.039993337,-0.039993337
1807,-0.040391605,-0.040391605,-0.040391605,-0.040391605
1808,-0.040773772,-0.040773772,-0.040773772,-0.040773772
1809,-0.041140311,-0.041140311,-0.041140311,-0.041140311
1810,-0.04149169,-0.04149169,-0.04149169,-0.04149169
1811,-0.042174186,-0.042174186,-0.042174186,-0.042174186
1812,-0.042496286,-0.042496286,-0.042496286,-0.042496286
1813,-0.042804619,-0.042804619,-0.042804619,-0.042804619
1814,-0.043099636,-0.043099636,-0.043099636,-0.043099636
1815,-0.043725926,-0.043725926,-0.043725926,-0.043725926
1816,-0.04433884,-0.04433884,-0.04433884,-0.04433884
1817,-0.044938868,-0.044938868,-0.044938868,-0.044938868
1818,-0.045184314,-0.045184314,-0.045184314,-0.045184314
1819,-0.045418682,-0.045418682,-0.045418682,-0.045418682
1820,-0.0456424,-0.0456424,-0.0456424,-0.0456424
1821,-0.045855892,-0.045855892,-0.045855892,-0.045855892
1822,-0.046400947,-0.046400947,-0.046400947,-0.046400947
1823,-0.046935887,-0.046935887,-0.046935887,-0.046935887
1824,-0.047120915,-0.047120915,-0.047120915,-0.047120915
1825,-0.047637528,-0.047637528,-0.047637528,-0.047637528
1826,-0.047805791,-0.047805791,-0.047805791,-0.047805791
1827,-0.048305827,-0.048305827,-0.048305827,-0.048305827
1828,-0.048459013,-0.048459013,-0.048459013,-0.048459013
1829,-0.048605341,-0.048605341,-0.048605341,-0.048605341
1830,-0.050772009,-0.050772009,-0.050772009,-0.050772009
1831,-0.050568584,-0.050568584,-0.050568584,-0.050568584
1832,-0.050696396,-0.050696396,-0.050696396,-0.050696396
1833,-0.051155622,-0.051155622,-0.051155622,-0.051155622
1834,-0.051273379,-0.051273379,-0.051273379,-0.051273379
1835,-0.051722863,-0.051722863,-0.051722863,-0.051722863
1836,-0.05317269,-0.05317269,-0.05317269,-0.05317269
1837,-0.053278268,-0.053278268,-0.053278268,-0.053278268
1838,-0.053714786,-0.053714786,-0.053714786,-0.053714786
1839,-0.054148095,-0.054148095,-0.054148095,-0.054148095
1840,-0.054911539,-0.054911539,-0.054911539,-0.054911539
1841,-0.055339266,-0.055339266,-0.055339266,-0.055339266
1842,-0.056096796,-0.056096796,-0.056096796,-0.056096796
1843,-0.056520579,-0.056520579,-0.056520579,-0.056520579
1844,-0.057273847,-0.057273847,-0.057273847,-0.057273847
1845,-0.058683973,-0.058683973,-0.058683973,-0.058683973
1846,-0.058775123,-0.058775123,-0.058775123,-0.058775123
1847,-0.059852044,-0.059852044,-0.059852044,-0.059852044
1848,-0.060272094,-0.060272094,-0.060272094,-0.060272094
1849,-0.061346628,-0.061346628,-0.061346628,-0.061346628
1850,-0.062744738,-0.062744738,-0.062744738,-0.062744738
1851,-0.062130854,-0.062130854,-0.062130854,-0.062130854
1852,-0.071429524,-0.071429524,-0.071429524,-0.071429524
1853,-0.071816121,-0.071816121,-0.071816121,-0.071816121
1854,-0.074658829,-0.074658829,-0.074658829,-0.074658829
1855,-0.074893853,-0.074893853,-0.074893853,-0.074893853
1856,-0.077220405,-0.077220405,-0.077220405,-0.077220405
1857,-0.07830004,-0.07830004,-0.07830004,-0.07830004
1858,-0.079355122,-0.079355122,-0.079355122,-0.079355122
1859,-0.08164292,-0.08164292,-0.08164292,-0.08164292
1860,-0.092142887,-0.092142887,-0.092142887,-0.092142887
1861,-0.10146023,-0.10146023,-0.10146023,-0.10146023
1862,-0.090136863,-0.090136863,-0.090136863,-0.090136863
1863,-0.093579687,-0.093579687,-0.093579687,-0.093579687
1864,-0.092813864,-0.092813864,-0.092813864,-0.092813864
1865,-0.09900339,-0.09900339,-0.09900339,-0.09900339
1866,-0.10668634,-0.10668634,-0.10668634,-0.10668634
1867,-0.11353516,-0.11353516,-0.11353516,-0.11353516
1868,-0.11120137,-0.11120137,-0.11120137,-0.11120137
1869,-0.11072508,-0.11072508,-0.11072508,-0.11072508
1870,-0.11127196,-0.11127196,-0.11127196,-0.11127196
1871,-0.1225405,-0.1225405,-0.1225405,-0.1225405
1872,-0.14010187,-0.14010187,-0.14010187,-0.14010187
1873,-0.14907318,-0.14907318,-0.14907318,-0.14907318
1874,-0.14810761,-0.14810761,-0.14810761,-0.14810761
1875,-0.1514766,-0.1514766,-0.1514766,-0.1514766
1876,-0.14585844,-0.14585844,-0.14585844,-0.14585844
1877,-0.14452476,-0.14452476,-0.14452476,-0.14452476
1878,-0.14506261,-0.14506261,-0.14506261,-0.14506261
1879,-0.15063033,-0.15063033,-0.15063033,-0.15063033
1880,-0.15945804,-0.15945804,-0.15945804,-0.15945804
1881,-0.16162446,-0.16162446,-0.16162446,-0.16162446
1882,-0.15864192,-0.15864192,-0.15864192,-0.15864192
1883,-0.16288783,-0.16288783,-0.16288783,-0.16288783
1884,-0.16349554,-0.16349554,-0.16349554,-0.16349554
1885,-0.16413117,-0.16413117,-0.16413117,-0.16413117
1886,-0.16510186,-0.16510186,-0.16510186,-0.16510186
1887,-0.16996195,-0.16996195,-0.16996195,-0.16996195
1888,-0.17655596,-0.17655596,-0.17655596,-0.17655596
1889,-0.17714591,-0.17714591,-0.17714591,-0.17714591
1890,-0.18224119,-0.18224119,-0.18224119,-0.18224119
1891,-0.18536062,-0.18536062,-0.18536062,-0.18536062
1892,-0.18944819,-0.18944819,-0.18944819,-0.18944819
1893,-0.19236044,-0.19236044,-0.19236044,-0.19236044
1894,-0.19787313,-0.19787313,-0.19787313,-0.19787313
1895,-0.20325211,-0.20325211,-0.20325211,-0.20325211
1896,-0.20684421,-0.20684421,-0.20684421,-0.20684421
1897,-0.21130535,-0.21130535,-0.21130535,-0.21130535
1898,-0.21694795,-0.21694795,-0.21694795,-0.21694795
1899,-0.22189556,-0.22189556,-0.22189556,-0.22189556
1900,-0.22628415,-0.22628415,-0.22628415,-0.22628415
1901,-0.23664447,-0.23664447,-0.23664447,-0.23664447
1902,-0.23896813,-0.23896813,-0.23896813,-0.23896813
1903,-0.24625812,-0.24625812,-0.24625812,-0.24625812
1904,-0.25018163,-0.25018163,-0.25018163,-0.25018163
1905,-0.25617491,-0.25617491,-0.25617491,-0.25617491
1906,-0.26441587,-0.26441587,-0.26441587,-0.26441587
1907,-0.27063284,-0.27063284,-0.27063284,-0.27063284
1908,-0.27111337,-0.27111337,-0.27111337,-0.27111337
1909,-0.27350614,-0.27350614,-0.27350614,-0.27350614
1910,-0.27791197,-0.27791197,-0.27791197,-0.27791197
1911,-0.27694646,-0.27694646,-0.27694646,-0.27694646
1912,-0.27738665,-0.27738665,-0.27738665,-0.27738665
1913,-0.27885602,-0.27885602,-0.27885602,-0.27885602
1914,-0.2728356,-0.2728356,-0.2728356,-0.2728356
1915,-0.26978703,-0.26978703,-0.26978703,-0.26978703
1916,-0.27240066,-0.27240066,-0.27240066,-0.27240066
1917,-0.27492346,-0.27492346,-0.27492346,-0.27492346
1918,-0.27385155,-0.27385155,-0.27385155,-0.27385155
1919,-0.2686724,-0.2686724,-0.2686724,-0.2686724
1920,-0.27637417,-0.27637417,-0.27637417,-0.27637417
1921,-0.2756084,-0.2756084,-0.2756084,-0.2756084
1922,-0.27713355,-0.27713355,-0.27713355,-0.27713355
1923,-0.28433894,-0.28433894,-0.28433894,-0.28433894
1924,-0.28661613,-0.28661613,-0.28661613,-0.28661613
1925,-0.28871177,-0.28871177,-0.28871177,-0.28871177
1926,-0.28995381,-0.28995381,-0.28995381,-0.28995381
1927,-0.2963458,-0.2963458,-0.2963458,-0.2963458
1928,-0.29667797,-0.29667797,-0.29667797,-0.29667797
1929,-0.29972256,-0.29972256,-0.29972256,-0.29972256
1930,-0.29610813,-0.29610813,-0.29610813,-0.29610813
1931,-0.29351772,-0.29351772,-0.29351772,-0.29351772
1932,-0.29018749,-0.29018749,-0.29018749,-0.29018749
1933,-0.29302639,-0.29302639,-0.29302639,-0.29302639
1934,-0.29554277,-0.29554277,-0.29554277,-0.29554277
1935,-0.29792679,-0.29792679,-0.29792679,-0.29792679
1936,-0.30236051,-0.30236051,-0.30236051,-0.30236051
1937,-0.30464581,-0.30464581,-0.30464581,-0.30464581
1938,-0.30449005,-0.30449005,-0.30449005,-0.30449005
1939,-0.3067163,-0.3067163,-0.3067163,-0.3067163
1940,-0.30942036,-0.30942036,-0.30942036,-0.30942036
1941,-0.31550023,-0.31550023,-0.31550023,-0.31550023
1942,-0.31851784,-0.31851784,-0.31851784,-0.31851784
1943,-0.32222897,-0.32222897,-0.32222897,-0.32222897
1944,-0.32476696,-0.32476696,-0.32476696,-0.32476696
1945,-0.3213661,-0.3213661,-0.3213661,-0.3213661
1946,-0.33083698,-0.33083698,-0.33083698,-0.33083698
1947,-0.33882562,-0.33882562,-0.33882562,-0.33882562
1948,-0.34423507,-0.34423507,-0.34423507,-0.34423507
1949,-0.34761489,-0.34761489,-0.34761489,-0.34761489
1950,-0.35804606,-0.35804606,-0.35804606,-0.35804606
1951,-0.38644028,-0.38644028,-0.38644028,-0.38644028
1952,-0.39587496,-0.39587496,-0.39587496,-0.39587496
1953,-0.40134918,-0.40134918,-0.40134918,-0.40134918
1954,-0.40984082,-0.40984082,-0.40984082,-0.40984082
1955,-0.42088151,-0.42088151,-0.42088151,-0.42088151
1956,-0.43102884,-0.43102884,-0.43102884,-0.43102884
1957,-0.4387251,-0.4387251,-0.4387251,-0.4387251
1958,-0.44608758,-0.44608758,-0.44608758,-0.44608758
1959,-0.44854812,-0.44854812,-0.44854812,-0.44854812
1960,-0.45459289,-0.45459289,-0.45459289,-0.45459289
1961,-0.46862107,-0.46862107,-0.46862107,-0.46862107
1962,-0.47506044,-0.47506044,-0.47506044,-0.47506044
1963,-0.48205655,-0.48205655,-0.48205655,-0.48205655
1964,-0.49010377,-0.49010377,-0.49010377,-0.49010377
