"year","rcp26","rcp45","rcp60","rcp85"
1765,278.05158,278.05158,278.05158,278.05158
1766,278.16073,278.16073,278.16073,278.16073
1767,278.28006,278.28006,278.28006,278.28006
1768,278.40604,278.40604,278.40604,278.40604
1769,278.53513,278.53513,278.53513,278.53513
1770,278.66581,278.66581,278.66581,278.66581
1771,278.79969,278.79969,278.79969,278.79969
1772,278.93794,278.93794,278.93794,278.93794
1773,279.08021,279.08021,279.08021,279.08021
1774,279.22615,279.22615,279.22615,279.22615
1775,279.37744,279.37744,279.37744,279.37744
1776,279.53616,279.53616,279.53616,279.53616
1777,279.7,279.7,279.7,279.7
1778,279.86384,279.86384,279.86384,279.86384
1779,280.02256,280.02256,280.02256,280.02256
1780,280.17224,280.17224,280.17224,280.17224
1781,280.31336,280.31336,280.31336,280.31336
1782,280.45,280.45,280.45,280.45
1783,280.58664,280.58664,280.58664,280.58664
1784,280.72776,280.72776,280.72776,280.72776
1785,280.87744,280.87744,280.87744,280.87744
1786,281.03616,281.03616,281.03616,281.03616
1787,281.2,281.2,281.2,281.2
1788,281.36384,281.36384,281.36384,281.36384
1789,281.52256,281.52256,281.52256,281.52256
1790,281.67385,281.67385,281.67385,281.67385
1791,281.81979,281.81979,281.81979,281.81979
1792,281.96206,281.96206,281.96206,281.96206
1793,282.10031,282.10031,282.10031,282.10031
1794,282.23419,282.23419,282.23419,282.23419
1795,282.36383,282.36383,282.36383,282.36383
1796,282.48977,282.48977,282.48977,282.48977
1797,282.61208,282.61208,282.61208,282.61208
1798,282.73037,282.73037,282.73037,282.73037
1799,282.84423,282.84423,282.84423,282.84423
1800,282.9538,282.9538,282.9538,282.9538
1801,283.05974,283.05974,283.05974,283.05974
1802,283.16212,283.16212,283.16212,283.16212
1803,283.26047,283.26047,283.26047,283.26047
1804,283.35428,283.35428,283.35428,283.35428
1805,283.44498,283.44498,283.44498,283.44498
1806,283.53458,283.53458,283.53458,283.53458
1807,283.62133,283.62133,283.62133,283.62133
1808,283.70098,283.70098,283.70098,283.70098
1809,283.76925,283.76925,283.76925,283.76925
1810,283.82427,283.82427,283.82427,283.82427
1811,283.86907,283.86907,283.86907,283.86907
1812,283.908,283.908,283.908,283.908
1813,283.94427,283.94427,283.94427,283.94427
1814,283.98107,283.98107,283.98107,283.98107
1815,284.02107,284.02107,284.02107,284.02107
1816,284.06427,284.06427,284.06427,284.06427
1817,284.108,284.108,284.108,284.108
1818,284.14907,284.14907,284.14907,284.14907
1819,284.18427,284.18427,284.18427,284.18427
1820,284.21213,284.21213,284.21213,284.21213
1821,284.23453,284.23453,284.23453,284.23453
1822,284.254,284.254,284.254,284.254
1823,284.27213,284.27213,284.27213,284.27213
1824,284.29053,284.29053,284.29053,284.29053
1825,284.31,284.31,284.31,284.31
1826,284.33,284.33,284.33,284.33
1827,284.35,284.35,284.35,284.35
1828,284.37,284.37,284.37,284.37
1829,284.39,284.39,284.39,284.39
1830,284.41,284.41,284.41,284.41
1831,284.36,284.36,284.36,284.36
1832,284.2,284.2,284.2,284.2
1833,284.05,284.05,284.05,284.05
1834,283.9,283.9,283.9,283.9
1835,283.75,283.75,283.75,283.75
1836,283.6,283.6,283.6,283.6
1837,283.45,283.45,283.45,283.45
1838,283.4,283.4,283.4,283.4
1839,283.4,283.4,283.4,283.4
1840,283.4,283.4,283.4,283.4
1841,283.45,283.45,283.45,283.45
1842,283.55,283.55,283.55,283.55
1843,283.65,283.65,283.65,283.65
1844,283.8,283.8,283.8,283.8
1845,284,284,284,284
1846,284.15,284.15,284.15,284.15
1847,284.3,284.3,284.3,284.3
1848,284.5,284.5,284.5,284.5
1849,284.65,284.65,284.65,284.65
1850,284.8,284.8,284.8,284.8
1851,284.95,284.95,284.95,284.95
1852,285.05,285.05,285.05,285.05
1853,285.2,285.2,285.2,285.2
1854,285.35,285.35,285.35,285.35
1855,285.5,285.5,285.5,285.5
1856,285.65,285.65,285.65,285.65
1857,285.8,285.8,285.8,285.8
1858,286,286,286,286
1859,286.15,286.15,286.15,286.15
1860,286.3,286.3,286.3,286.3
1861,286.45,286.45,286.45,286.45
1862,286.55,286.55,286.55,286.55
1863,286.7,286.7,286.7,286.7
1864,286.85,286.85,286.85,286.85
1865,286.95,286.95,286.95,286.95
1866,287.05,287.05,287.05,287.05
1867,287.15,287.15,287.15,287.15
1868,287.3,287.3,287.3,287.3
1869,287.45,287.45,287.45,287.45
1870,287.6,287.6,287.6,287.6
1871,287.8,287.8,287.8,287.8
1872,288,288,288,288
1873,288.25,288.25,288.25,288.25
1874,288.55,288.55,288.55,288.55
1875,288.85,288.85,288.85,288.85
1876,289.2,289.2,289.2,289.2
1877,289.6,289.6,289.6,289.6
1878,290,290,290,290
1879,290.45,290.45,290.45,290.45
1880,290.95,290.95,290.95,290.95
1881,291.45,291.45,291.45,291.45
1882,291.9,291.9,291.9,291.9
1883,292.35,292.35,292.35,292.35
1884,292.8,292.8,292.8,292.8
1885,293.15,293.15,293.15,293.15
1886,293.45,293.45,293.45,293.45
1887,293.7,293.7,293.7,293.7
1888,293.9,293.9,293.9,293.9
1889,294.1,294.1,294.1,294.1
1890,294.25,294.25,294.25,294.25
1891,294.4,294.4,294.4,294.4
