"year","rcp26","rcp45","rcp60","rcp85"
1765,92.7738,92.7738,92.7738,92.7738
1766,92.7738,92.7738,92.7738,92.7738
1767,92.773584,92.773584,92.773584,92.773584
1768,92.773153,92.773153,92.773153,92.773153
1769,92.772505,92.772505,92.772505,92.772505
1770,92.771641,92.771641,92.771641,92.771641
1771,92.770561,92.770561,92.770561,92.770561
1772,92.769266,92.769266,92.769266,92.769266
1773,92.767754,92.767754,92.767754,92.767754
1774,92.766027,92.766027,92.766027,92.766027
1775,92.764084,92.764084,92.764084,92.764084
1776,92.761925,92.761925,92.761925,92.761925
1777,92.75955,92.75955,92.75955,92.75955
1778,92.756959,92.756959,92.756959,92.756959
1779,92.754153,92.754153,92.754153,92.754153
1780,92.751131,92.751131,92.751131,92.751131
1781,92.747893,92.747893,92.747893,92.747893
1782,92.744439,92.744439,92.744439,92.744439
1783,92.740769,92.740769,92.740769,92.740769
1784,92.736884,92.736884,92.736884,92.736884
1785,92.732783,92.732783,92.732783,92.732783
1786,92.728466,92.728466,92.728466,92.728466
1787,92.723933,92.723933,92.723933,92.723933
1788,92.719184,92.719184,92.719184,92.719184
1789,92.71422,92.71422,92.71422,92.71422
1790,92.70904,92.70904,92.70904,92.70904
1791,92.703644,92.703644,92.703644,92.703644
1792,92.698032,92.698032,92.698032,92.698032
1793,92.692205,92.692205,92.692205,92.692205
1794,92.686162,92.686162,92.686162,92.686162
1795,92.679903,92.679903,92.679903,92.679903
1796,92.673428,92.673428,92.673428,92.673428
1797,92.666738,92.666738,92.666738,92.666738
1798,92.659832,92.659832,92.659832,92.659832
1799,92.65271,92.65271,92.65271,92.65271
1800,92.645372,92.645372,92.645372,92.645372
1801,92.637819,92.637819,92.637819,92.637819
1802,92.63005,92.63005,92.63005,92.63005
1803,92.622065,92.622065,92.622065,92.622065
1804,92.613865,92.613865,92.613865,92.613865
1805,92.605449,92.605449,92.605449,92.605449
1806,92.596817,92.596817,92.596817,92.596817
1807,92.587969,92.587969,92.587969,92.587969
1808,92.578906,92.578906,92.578906,92.578906
