"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,600.21,600.21,600.21,600.21
1767,600.21,600.21,600.21,600.21
1768,600.21,600.21,600.21,600.21
1769,600.21,600.21,600.21,600.21
1770,600.21,600.21,600.21,600.21
1771,600.21,600.21,600.21,600.21
1772,600.21,600.21,600.21,600.21
1773,600.21,600.21,600.21,600.21
1774,600.21,600.21,600.21,600.21
1775,600.21,600.21,600.21,600.21
1776,600.21,600.21,600.21,600.21
1777,600.21,600.21,600.21,600.21
1778,600.21,600.21,600.21,600.21
1779,600.21,600.21,600.21,600.21
1780,600.21,600.21,600.21,600.21
1781,600.21,600.21,600.21,600.21
1782,600.21,600.21,600.21,600.21
1783,600.21,600.21,600.21,600.21
1784,600.21,600.21,600.21,600.21
1785,600.21,600.21,600.21,600.21
1786,600.21,600.21,600.21,600.21
1787,600.21,600.21,600.21,600.21
1788,600.21,600.21,600.21,600.21
1789,600.21,600.21,600.21,600.21
1790,600.21,600.21,600.21,600.21
1791,600.21,600.21,600.21,600.21
1792,600.21,600.21,600.21,600.21
1793,600.21,600.21,600.21,600.21
1794,600.21,600.21,600.21,600.21
1795,600.21,600.21,600.21,600.21
1796,600.21,600.21,600.21,600.21
1797,600.21,600.21,600.21,600.21
1798,600.21,600.21,600.21,600.21
1799,600.21,600.21,600.21,600.21
1800,600.21,600.21,600.21,600.21
1801,600.21,600.21,600.21,600.21
1802,600.21,600.21,600.21,600.21
1803,600.21,600.21,600.21,600.21
1804,600.21,600.21,600.21,600.21
1805,600.21,600.21,600.21,600.21
1806,600.21,600.21,600.21,600.21
1807,600.21,600.21,600.21,600.21
1808,600.21,600.21,600.21,600.21
1809,600.21,600.21,600.21,600.21
1810,600.21,600.21,600.21,600.21
1811,600.21,600.21,600.21,600.21
1812,600.21,600.21,600.21,600.21
1813,600.21,600.21,600.21,600.21
1814,600.21,600.21,600.21,600.21
1815,600.21,600.21,600.21,600.21
1816,600.21,600.21,600.21,600.21
1817,600.21,600.21,600.21,600.21
1818,600.21,600.21,600.21,600.21
1819,600.21,600.21,600.21,600.21
1820,600.21,600.21,600.21,600.21
1821,600.21,600.21,600.21,600.21
1822,600.21,600.21,600.21,600.21
1823,600.21,600.21,600.21,600.21
1824,600.21,600.21,600.21,600.21
1825,600.21,600.21,600.21,600.21
1826,600.21,600.21,600.21,600.21
1827,600.21,600.21,600.21,600.21
1828,600.21,600.21,600.21,600.21
1829,600.21,600.21,600.21,600.21
1830,600.21,600.21,600.21,600.21
1831,600.21,600.21,600.21,600.21
1832,600.21,600.21,600.21,600.21
1833,600.21,600.21,600.21,600.21
1834,600.21,600.21,600.21,600.21
1835,600.21,600.21,600.21,600.21
1836,600.21,600.21,600.21,600.21
1837,600.21,600.21,600.21,600.21
1838,600.21,600.21,600.21,600.21
1839,600.21,600.21,600.21,600.21
1840,600.21,600.21,600.21,600.21
1841,600.21,600.21,600.21,600.21
1842,600.21,600.21,600.21,600.21
1843,600.21,600.21,600.21,600.21
1844,600.21,600.21,600.21,600.21
1845,600.21,600.21,600.21,600.21
1846,600.21,600.21,600.21,600.21
1847,600.21,600.21,600.21,600.21
1848,600.21,600.21,600.21,600.21
1849,600.21,600.21,600.21,600.21
1850,600.21,600.21,600.21,600.21
1851,600.21,600.21,600.21,600.21
1852,600.21,600.21,600.21,600.21
1853,600.21,600.21,600.21,600.21
1854,600.37495,600.37495,600.37495,600.37495
1855,600.53977,600.53977,600.53977,600.53977
1856,600.70481,600.70481,600.70481,600.70481
1857,600.86985,600.86985,600.86985,600.86985
1858,601.03489,601.03489,601.03489,601.03489
1859,601.19962,601.19962,601.19962,601.19962
1860,601.36466,601.36466,601.36466,601.36466
1861,601.5297,601.5297,601.5297,601.5297
1862,601.69442,601.69442,601.69442,601.69442
1863,601.85947,601.85947,601.85947,601.85947
1864,602.02451,602.02451,602.02451,602.02451
1865,602.18923,602.18923,602.18923,602.18923
1866,602.35427,602.35427,602.35427,602.35427
1867,602.51932,602.51932,602.51932,602.51932
1868,602.68436,602.68436,602.68436,602.68436
1869,602.84908,602.84908,602.84908,602.84908
1870,603.01412,603.01412,603.01412,603.01412
1871,603.17917,603.17917,603.17917,603.17917
1872,603.34389,603.34389,603.34389,603.34389
1873,603.50766,603.50766,603.50766,603.50766
1874,603.67302,603.67302,603.67302,603.67302
1875,603.83838,603.83838,603.83838,603.83838
1876,604.00374,604.00374,604.00374,604.00374
1877,604.1691,604.1691,604.1691,604.1691
1878,604.33446,604.33446,604.33446,604.33446
1879,604.51572,604.51572,604.51572,604.51572
1880,604.70652,604.70652,604.70652,604.70652
1881,604.90686,604.90686,604.90686,604.90686
1882,605.11674,605.11674,605.11674,605.11674
1883,605.33298,605.33298,605.33298,605.33298
1884,605.56194,605.56194,605.56194,605.56194
1885,605.80044,605.80044,605.80044,605.80044
1886,606.04848,606.04848,606.04848,606.04848
1887,606.30606,606.30606,606.30606,606.30606
1888,606.57636,606.57636,606.57636,606.57636
1889,606.85938,606.85938,606.85938,606.85938
1890,607.15512,607.15512,607.15512,607.15512
1891,607.46358,607.46358,607.46358,607.46358
1892,607.78476,607.78476,607.78476,607.78476
1893,608.12184,608.12184,608.12184,608.12184
1894,608.47164,608.47164,608.47164,608.47164
1895,608.83734,608.83734,608.83734,608.83734
1896,609.22212,609.22212,609.22212,609.22212
1897,609.6228,609.6228,609.6228,609.6228
1898,610.03938,610.03938,610.03938,610.03938
1899,610.47504,610.47504,610.47504,610.47504
1900,610.93296,610.93296,610.93296,610.93296
1901,611.40678,611.40678,611.40678,611.40678
1902,611.90604,611.90604,611.90604,611.90604
1903,612.42438,612.42438,612.42438,612.42438
1904,612.96498,612.96498,612.96498,612.96498
1905,613.49922,613.49922,613.49922,613.49922
1906,614.03346,614.03346,614.03346,614.03346
1907,614.56452,614.56452,614.56452,614.56452
1908,615.09876,615.09876,615.09876,615.09876
1909,615.67434,615.67434,615.67434,615.67434
1910,616.52022,616.52022,616.52022,616.52022
1911,617.3661,617.3661,617.3661,617.3661
1912,618.21198,618.21198,618.21198,618.21198
1913,619.05786,619.05786,619.05786,619.05786
1914,619.90056,619.90056,619.90056,619.90056
1915,620.81322,620.81322,620.81322,620.81322
1916,623.37147,623.37147,623.37147,623.37147
1917,625.80399,625.80399,625.80399,625.80399
1918,627.24435,627.24435,627.24435,627.24435
1919,628.72116,628.72116,628.72116,628.72116
1920,631.05657,631.05657,631.05657,631.05657
1921,633.76086,633.76086,633.76086,633.76086
1922,636.46833,636.46833,636.46833,636.46833
1923,639.17262,639.17262,639.17262,639.17262
1924,641.88645,641.88645,641.88645,641.88645
1925,644.5971,644.5971,644.5971,644.5971
1926,647.3124,647.3124,647.3124,647.3124
1927,650.0595,650.0595,650.0595,650.0595
1928,652.77015,652.77015,652.77015,652.77015
1929,655.80345,655.80345,655.80345,655.80345
1930,658.83675,658.83675,658.83675,658.83675
1931,661.9065,661.9065,661.9065,661.9065
1932,664.9398,664.9398,664.9398,664.9398
1933,668.04135,668.04135,668.04135,668.04135
1934,671.07465,671.07465,671.07465,671.07465
1935,674.14877,674.14877,674.14877,674.14877
1936,677.31824,677.31824,677.31824,677.31824
1937,681.34627,681.34627,681.34627,681.34627
1938,685.41975,685.41975,685.41975,685.41975
1939,689.46103,689.46103,689.46103,689.46103
1940,693.54737,693.54737,693.54737,693.54737
1941,697.65399,697.65399,697.65399,697.65399
1942,701.79638,701.79638,701.79638,701.79638
1943,705.96685,705.96685,705.96685,705.96685
1944,710.45576,710.45576,710.45576,710.45576
1945,715.07635,715.07635,715.07635,715.07635
1946,719.80559,719.80559,719.80559,719.80559
1947,724.56811,724.56811,724.56811,724.56811
1948,729.37709,729.37709,729.37709,729.37709
1949,734.51575,734.51575,734.51575,734.51575
1950,740.37538,740.37538,740.37538,740.37538
1951,747.52398,747.52398,747.52398,747.52398
1952,755.00079,755.00079,755.00079,755.00079
1953,766.1615,766.1615,766.1615,766.1615
1954,773.95991,773.95991,773.95991,773.95991
1955,781.32874,781.32874,781.32874,781.32874
1956,789.50715,789.50715,789.50715,789.50715
1957,798.73537,798.73537,798.73537,798.73537
1958,810.41329,810.41329,810.41329,810.41329
1959,824.65016,824.65016,824.65016,824.65016
1960,840.73313,840.73313,840.73313,840.73313
1961,858.35823,858.35823,858.35823,858.35823
1962,876.29659,876.29659,876.29659,876.29659
1963,895.364,895.364,895.364,895.364
1964,916.6852,916.6852,916.6852,916.6852
1965,939.82741,939.82741,939.82741,939.82741
1966,965.91676,965.91676,965.91676,965.91676
1967,994.36792,994.36792,994.36792,994.36792
1968,1025.5978,1025.5978,1025.5978,1025.5978
1969,1059.4393,1059.4393,1059.4393,1059.4393
1970,1096.8134,1096.8134,1096.8134,1096.8134
1971,1138.3122,1138.3122,1138.3122,1138.3122
1972,1183.4679,1183.4679,1183.4679,1183.4679
1973,1232.9164,1232.9164,1232.9164,1232.9164
1974,1284.915,1284.915,1284.915,1284.915
1975,1341.4465,1341.4465,1341.4465,1341.4465
1976,1405.1042,1405.1042,1405.1042,1405.1042
1977,1477.3476,1477.3476,1477.3476,1477.3476
1978,1555.3418,1555.3418,1555.3418,1555.3418
1979,1629.2141,1629.2141,1629.2141,1629.2141
1980,1708.357,1708.357,1708.357,1708.357
1981,1790.4255,1790.4255,1790.4255,1790.4255
1982,1884.4421,1884.4421,1884.4421,1884.4421
1983,1951.9601,1951.9601,1951.9601,1951.9601
1984,2029.2781,2029.2781,2029.2781,2029.2781
1985,2094.0358,2094.0358,2094.0358,2094.0358
1986,2156.1973,2156.1973,2156.1973,2156.1973
1987,2229.1396,2229.1396,2229.1396,2229.1396
1988,2307.3497,2307.3497,2307.3497,2307.3497
1989,2375.4088,2375.4088,2375.4088,2375.4088
1990,2460.9352,2460.9352,2460.9352,2460.9352
1991,2556.0815,2556.0815,2556.0815,2556.0815
1992,2644.9011,2644.9011,2644.9011,2644.9011
1993,2713.3243,2713.3243,2713.3243,2713.3243
1994,2795.453,2795.453,2795.453,2795.453
1995,2836.3919,2836.3919,2836.3919,2836.3919
1996,2869.4311,2869.4311,2869.4311,2869.4311
1997,2873.7632,2873.7632,2873.7632,2873.7632
1998,2865.7905,2865.7905,2865.7905,2865.7905
1999,2837.8378,2837.8378,2837.8378,2837.8378
2000,2812.5456,2812.5456,2812.5456,2812.5456
2001,2793.6107,2793.6107,2793.6107,2793.6107
2002,2771.6966,2771.6966,2771.6966,2771.6966
2003,2736.6829,2736.6829,2736.6829,2736.6829
2004,2702.6126,2702.6126,2702.6126,2702.6126
2005,2673.3826,2673.3826,2673.3826,2673.3826
2006,2653.5174,2653.5174,2653.5174,2653.5174
2007,2630.8242,2630.8242,2630.8242,2630.8242
2008,2608.3701,2608.3701,2608.3701,2608.3701
2009,2580.4885,2580.4885,2580.4885,2580.4885
2010,2557.4344,2557.4344,2557.4344,2557.4344
2011,2536.4164,2536.4164,2536.4164,2536.4164
2012,2501.7768,2501.9634,2502.243,2501.7237
2013,2474.5337,2474.8201,2475.2975,2474.443
2014,2448.5913,2448.9771,2449.6343,2448.5291
2015,2422.8705,2423.2568,2424.1358,2422.8149
2016,2396.8228,2397.2293,2398.3413,2396.8237
2017,2370.3477,2370.8215,2372.1704,2370.4734
2018,2343.4218,2344.0151,2345.6027,2343.7429
2019,2301.1807,2301.9287,2303.7247,2301.7414
2020,2270.3956,2271.3403,2273.3481,2271.2446
2021,2242.5008,2243.6884,2245.9257,2243.6933
2022,2215.5451,2217.017,2219.4948,2217.1293
2023,2189.07,2190.8634,2193.5893,2191.0873
2024,2162.9838,2165.1274,2168.0907,2165.4481
2025,2137.3099,2139.8379,2142.9782,2140.2009
2026,2112.1819,2114.9268,2118.2425,2115.3231
2027,2087.5599,2090.3811,2093.8801,2090.8025
2028,2063.3546,2066.1945,2069.8859,2066.6311
2029,2039.5464,2042.3654,2046.2582,2042.8071
2030,2016.1288,2018.8914,2022.9943,2019.3279
2031,1993.1017,1995.7737,2000.0951,1996.1945
2032,1970.4661,1973.0141,1977.5617,1973.4084
2033,1948.2191,1950.6099,1955.3911,1950.967
2034,1926.3763,1928.5603,1933.6194,1928.8554
2035,1904.7186,1906.7246,1912.1072,1907.0334
2036,1883.2019,1885.02,1890.7452,1885.3675
2037,1861.7646,1863.3689,1869.4533,1863.7628
2038,1840.3538,1841.7134,1848.1733,1842.1541
2039,1818.9251,1820.0082,1826.8582,1820.4919
2040,1797.4453,1798.22,1805.4719,1798.7385
2041,1775.8921,1776.3264,1783.9894,1776.8677
2042,1754.2508,1754.3127,1762.3936,1754.8604
2043,1732.5125,1732.17,1740.6729,1732.7034
2044,1710.6851,1709.891,1718.8008,1710.3917
2045,1688.873,1687.5893,1696.9026,1688.026
2046,1667.1897,1665.3829,1675.0909,1665.7209
2047,1645.7204,1643.357,1653.447,1643.5616
2048,1624.5338,1621.5801,1632.0367,1621.6159
2049,1603.6853,1600.1091,1610.9147,1599.9385
2050,1583.2162,1578.987,1590.1226,1578.5709
2051,1563.1582,1558.2474,1569.693,1557.5457
2052,1543.5373,1537.9182,1549.6528,1536.89
2053,1524.3703,1518.0177,1530.0202,1516.6224
2054,1505.6741,1498.5686,1510.8194,1496.7664
2055,1487.4916,1479.5733,1492.0326,1477.2887
2056,1469.7943,1461.0342,1473.6732,1458.2102
2057,1452.5753,1442.955,1455.7472,1439.5421
2058,1435.8273,1425.3328,1438.2522,1421.2856
2059,1419.5442,1408.1643,1421.185,1403.4398
2060,1403.7184,1391.4446,1404.5407,1386.0023
2061,1388.339,1375.165,1388.3108,1368.9671
2062,1373.3975,1359.3192,1372.489,1352.3302
2063,1358.8803,1343.8955,1357.0639,1336.0826
2064,1344.7708,1328.8887,1341.9961,1320.2223
2065,1331.0626,1314.2682,1327.3066,1304.7416
2066,1317.7453,1300.0372,1312.9808,1289.6266
2067,1304.8031,1286.187,1299.003,1274.8676
2068,1292.2229,1272.7074,1285.3603,1260.457
2069,1279.9937,1259.5892,1272.0437,1246.3878
2070,1268.1018,1246.8198,1259.0414,1232.6501
2071,1256.537,1234.39,1246.3454,1219.2371
2072,1245.2873,1222.2888,1233.9456,1206.1401
2073,1234.3409,1210.505,1221.832,1193.35
2074,1223.6841,1199.0317,1210.0112,1180.8614
2075,1213.3357,1187.8435,1198.4517,1168.6719
2076,1203.2619,1176.9392,1187.1482,1156.7683
2077,1193.4506,1166.3142,1176.0972,1145.1444
2078,1183.8911,1155.9599,1165.292,1133.7923
2079,1174.5748,1145.8687,1154.7267,1122.7052
2080,1165.4924,1136.0662,1144.3939,1111.8751
2081,1156.6354,1126.5769,1134.2866,1101.2949
2082,1147.9968,1117.3426,1124.3995,1090.9586
2083,1139.5684,1108.3445,1114.7255,1080.8585
2084,1131.3469,1099.5843,1105.2751,1070.981
2085,1123.3123,1091.0553,1096.0194,1061.3219
2086,1115.464,1082.7339,1086.9498,1051.8803
2087,1107.7984,1074.6122,1078.0644,1042.6511
2088,1100.3102,1066.6841,1069.3606,1033.6271
2089,1092.9947,1058.9442,1060.8363,1024.8036
2090,1085.846,1051.3853,1052.4874,1016.1749
2091,1078.8587,1044.0014,1044.3106,1007.7356
2092,1072.0273,1036.7862,1036.3017,999.48026
2093,1065.3471,1029.7342,1028.4574,991.4043
2094,1058.8143,1022.8409,1020.774,983.51137
2095,1052.4406,1016.1011,1013.2464,975.79204
2096,1046.2086,1009.5099,1005.8838,968.23766
2097,1040.1109,1003.0626,998.68305,960.84332
2098,1034.1419,996.75366,991.63906,953.60433
2099,1028.2983,990.57968,984.74807,946.51835
2100,1022.5766,984.53667,978.0643,939.58264
2101,1016.9741,978.62166,971.65114,932.79389
2102,1011.4877,972.83124,965.3988,926.1489
2103,1006.1127,967.16035,959.28188,919.64362
2104,1000.8568,961.60913,953.29981,913.28138
2105,995.67691,956.19568,947.44122,907.06228
2106,990.59235,950.8997,941.7039,900.97544
2107,985.60578,945.71322,936.08444,895.01592
2108,980.71824,940.63438,930.58215,889.18165
2109,975.92703,935.65997,925.19376,883.46946
2110,971.22996,930.78766,919.9168,877.87793
2111,966.62543,926.01582,914.74941,872.40443
2112,962.10869,921.33962,909.68661,867.04423
2113,957.6788,916.75809,904.72724,861.79669
2114,953.3346,912.26996,899.86992,856.65971
2115,949.0726,907.87168,895.11094,851.62948
2116,944.89099,903.56087,890.44825,846.70452
2117,940.78891,899.33643,885.88079,841.8831
2118,936.76329,895.19517,881.40526,837.1617
2119,932.81331,891.13615,877.02063,832.53909
2120,928.9359,887.15616,872.7236,828.01183
2121,925.12958,883.2536,868.51247,823.57849
2122,921.39378,879.42778,864.38647,819.23746
2123,917.72676,875.67684,860.34363,814.98714
2124,914.12605,871.9982,856.38127,810.82411
2125,910.59102,868.39111,852.49854,806.74723
2126,907.12028,864.85338,848.69383,802.75527
2127,903.71108,861.38191,844.96418,798.84449
2128,900.36231,857.97546,841.30826,795.01333
2129,897.07376,854.63358,837.72561,791.26167
2130,893.84415,851.35479,834.21467,787.58705
2131,890.67182,848.13769,830.77392,783.98775
2132,887.55545,844.98096,827.40192,780.46292
2133,884.49271,841.88216,824.09614,777.00929
2134,881.48352,838.84112,820.85633,773.62624
2135,878.52672,835.85656,817.68111,770.31201
2136,875.62125,832.92723,814.56925,767.0657
2137,872.76589,830.05177,811.51933,763.88576
2138,869.95959,827.22904,808.5301,760.77023
2139,867.20031,824.45691,805.59934,757.71673
2140,864.48816,821.73537,802.72696,754.72536
