"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-0.00076294047,-0.00076294047,-0.00076294047,-0.00076294047
1767,-0.0015079921,-0.0015079921,-0.0015079921,-0.0015079921
1768,-0.0022353728,-0.0022353728,-0.0022353728,-0.0022353728
1769,-0.0029453009,-0.0029453009,-0.0029453009,-0.0029453009
1770,-0.0036379942,-0.0036379942,-0.0036379942,-0.0036379942
1771,-0.0043136709,-0.0043136709,-0.0043136709,-0.0043136709
1772,-0.004972549,-0.004972549,-0.004972549,-0.004972549
1773,-0.0056148467,-0.0056148467,-0.0056148467,-0.0056148467
1774,-0.0062407819,-0.0062407819,-0.0062407819,-0.0062407819
1775,-0.0068505726,-0.0068505726,-0.0068505726,-0.0068505726
1776,-0.0074444371,-0.0074444371,-0.0074444371,-0.0074444371
1777,-0.0080225933,-0.0080225933,-0.0080225933,-0.0080225933
1778,-0.0085852594,-0.0085852594,-0.0085852594,-0.0085852594
1779,-0.0091326532,-0.0091326532,-0.0091326532,-0.0091326532
1780,-0.0096649931,-0.0096649931,-0.0096649931,-0.0096649931
1781,-0.010182497,-0.010182497,-0.010182497,-0.010182497
1782,-0.010685383,-0.010685383,-0.010685383,-0.010685383
1783,-0.011173869,-0.011173869,-0.011173869,-0.011173869
1784,-0.011648173,-0.011648173,-0.011648173,-0.011648173
1785,-0.012108513,-0.012108513,-0.012108513,-0.012108513
1786,-0.012555108,-0.012555108,-0.012555108,-0.012555108
1787,-0.012988175,-0.012988175,-0.012988175,-0.012988175
1788,-0.013407932,-0.013407932,-0.013407932,-0.013407932
1789,-0.013814598,-0.013814598,-0.013814598,-0.013814598
1790,-0.014208391,-0.014208391,-0.014208391,-0.014208391
1791,-0.014589528,-0.014589528,-0.014589528,-0.014589528
1792,-0.014958227,-0.014958227,-0.014958227,-0.014958227
1793,-0.015314708,-0.015314708,-0.015314708,-0.015314708
1794,-0.015659187,-0.015659187,-0.015659187,-0.015659187
1795,-0.015991883,-0.015991883,-0.015991883,-0.015991883
1796,-0.016313014,-0.016313014,-0.016313014,-0.016313014
1797,-0.016622798,-0.016622798,-0.016622798,-0.016622798
1798,-0.016921453,-0.016921453,-0.016921453,-0.016921453
1799,-0.017209197,-0.017209197,-0.017209197,-0.017209197
1800,-0.017486248,-0.017486248,-0.017486248,-0.017486248
1801,-0.017752825,-0.017752825,-0.017752825,-0.017752825
1802,-0.018009145,-0.018009145,-0.018009145,-0.018009145
1803,-0.018255426,-0.018255426,-0.018255426,-0.018255426
1804,-0.018491886,-0.018491886,-0.018491886,-0.018491886
1805,-0.018718744,-0.018718744,-0.018718744,-0.018718744
1806,-0.018936218,-0.018936218,-0.018936218,-0.018936218
1807,-0.019144525,-0.019144525,-0.019144525,-0.019144525
1808,-0.019343884,-0.019343884,-0.019343884,-0.019343884
1809,-0.019534512,-0.019534512,-0.019534512,-0.019534512
1810,-0.019716628,-0.019716628,-0.019716628,-0.019716628
1811,-0.01989045,-0.01989045,-0.01989045,-0.01989045
1812,-0.020056196,-0.020056196,-0.020056196,-0.020056196
1813,-0.020214084,-0.020214084,-0.020214084,-0.020214084
1814,-0.020364332,-0.020364332,-0.020364332,-0.020364332
1815,-0.020507158,-0.020507158,-0.020507158,-0.020507158
1816,-0.02064278,-0.02064278,-0.02064278,-0.02064278
1817,-0.020771417,-0.020771417,-0.020771417,-0.020771417
1818,-0.020893285,-0.020893285,-0.020893285,-0.020893285
1819,-0.021008604,-0.021008604,-0.021008604,-0.021008604
1820,-0.021117592,-0.021117592,-0.021117592,-0.021117592
1821,-0.021220466,-0.021220466,-0.021220466,-0.021220466
1822,-0.021317444,-0.021317444,-0.021317444,-0.021317444
1823,-0.021408745,-0.021408745,-0.021408745,-0.021408745
1824,-0.021494587,-0.021494587,-0.021494587,-0.021494587
1825,-0.021575187,-0.021575187,-0.021575187,-0.021575187
1826,-0.021650764,-0.021650764,-0.021650764,-0.021650764
1827,-0.021721536,-0.021721536,-0.021721536,-0.021721536
1828,-0.02178772,-0.02178772,-0.02178772,-0.02178772
1829,-0.021849536,-0.021849536,-0.021849536,-0.021849536
1830,-0.021907201,-0.021907201,-0.021907201,-0.021907201
1831,-0.021960933,-0.021960933,-0.021960933,-0.021960933
1832,-0.02201095,-0.02201095,-0.02201095,-0.02201095
1833,-0.02205747,-0.02205747,-0.02205747,-0.02205747
1834,-0.022100711,-0.022100711,-0.022100711,-0.022100711
1835,-0.022140892,-0.022140892,-0.022140892,-0.022140892
1836,-0.02217823,-0.02217823,-0.02217823,-0.02217823
1837,-0.022212943,-0.022212943,-0.022212943,-0.022212943
1838,-0.02224525,-0.02224525,-0.02224525,-0.02224525
1839,-0.022275369,-0.022275369,-0.022275369,-0.022275369
1840,-0.022303517,-0.022303517,-0.022303517,-0.022303517
1841,-0.022329913,-0.022329913,-0.022329913,-0.022329913
1842,-0.022354774,-0.022354774,-0.022354774,-0.022354774
1843,-0.02237832,-0.02237832,-0.02237832,-0.02237832
1844,-0.022400767,-0.022400767,-0.022400767,-0.022400767
1845,-0.022422334,-0.022422334,-0.022422334,-0.022422334
1846,-0.02244324,-0.02244324,-0.02244324,-0.02244324
1847,-0.022463701,-0.022463701,-0.022463701,-0.022463701
1848,-0.022483936,-0.022483936,-0.022483936,-0.022483936
1849,-0.022504164,-0.022504164,-0.022504164,-0.022504164
1850,-0.022524602,-0.022524602,-0.022524602,-0.022524602
1851,-0.021916687,-0.021916687,-0.021916687,-0.021916687
1852,-0.02682267,-0.02682267,-0.02682267,-0.02682267
1853,-0.026649886,-0.026649886,-0.026649886,-0.026649886
1854,-0.02644088,-0.02644088,-0.02644088,-0.02644088
1855,-0.026187006,-0.026187006,-0.026187006,-0.026187006
1856,-0.026647105,-0.026647105,-0.026647105,-0.026647105
1857,-0.027114336,-0.027114336,-0.027114336,-0.027114336
1858,-0.027571911,-0.027571911,-0.027571911,-0.027571911
1859,-0.028032074,-0.028032074,-0.028032074,-0.028032074
1860,-0.028488766,-0.028488766,-0.028488766,-0.028488766
1861,-0.029626396,-0.029626396,-0.029626396,-0.029626396
1862,-0.024462617,-0.024462617,-0.024462617,-0.024462617
1863,-0.024476052,-0.024476052,-0.024476052,-0.024476052
1864,-0.024505516,-0.024505516,-0.024505516,-0.024505516
1865,-0.024543942,-0.024543942,-0.024543942,-0.024543942
1866,-0.024552519,-0.024552519,-0.024552519,-0.024552519
1867,-0.024403902,-0.024403902,-0.024403902,-0.024403902
1868,-0.024235975,-0.024235975,-0.024235975,-0.024235975
1869,-0.024074169,-0.024074169,-0.024074169,-0.024074169
1870,-0.023941645,-0.023941645,-0.023941645,-0.023941645
1871,-0.026243168,-0.026243168,-0.026243168,-0.026243168
1872,-0.033998425,-0.033998425,-0.033998425,-0.033998425
1873,-0.035000679,-0.035000679,-0.035000679,-0.035000679
1874,-0.035540589,-0.035540589,-0.035540589,-0.035540589
1875,-0.036139632,-0.036139632,-0.036139632,-0.036139632
1876,-0.036873631,-0.036873631,-0.036873631,-0.036873631
1877,-0.037416825,-0.037416825,-0.037416825,-0.037416825
1878,-0.037941216,-0.037941216,-0.037941216,-0.037941216
1879,-0.038441251,-0.038441251,-0.038441251,-0.038441251
1880,-0.038956494,-0.038956494,-0.038956494,-0.038956494
1881,-0.041977583,-0.041977583,-0.041977583,-0.041977583
1882,-0.037791429,-0.037791429,-0.037791429,-0.037791429
1883,-0.038065865,-0.038065865,-0.038065865,-0.038065865
1884,-0.038231633,-0.038231633,-0.038231633,-0.038231633
1885,-0.038371845,-0.038371845,-0.038371845,-0.038371845
1886,-0.038585224,-0.038585224,-0.038585224,-0.038585224
1887,-0.038491122,-0.038491122,-0.038491122,-0.038491122
1888,-0.038326658,-0.038326658,-0.038326658,-0.038326658
1889,-0.038229845,-0.038229845,-0.038229845,-0.038229845
1890,-0.038122557,-0.038122557,-0.038122557,-0.038122557
1891,-0.037839775,-0.037839775,-0.037839775,-0.037839775
1892,-0.039088178,-0.039088178,-0.039088178,-0.039088178
1893,-0.03922877,-0.03922877,-0.03922877,-0.03922877
1894,-0.040822737,-0.040822737,-0.040822737,-0.040822737
1895,-0.04120376,-0.04120376,-0.04120376,-0.04120376
1896,-0.041392186,-0.041392186,-0.041392186,-0.041392186
1897,-0.041691992,-0.041691992,-0.041691992,-0.041691992
1898,-0.041814284,-0.041814284,-0.041814284,-0.041814284
1899,-0.041935693,-0.041935693,-0.041935693,-0.041935693
1900,-0.041841598,-0.041841598,-0.041841598,-0.041841598
1901,-0.047675523,-0.047675523,-0.047675523,-0.047675523
1902,-0.047759054,-0.047759054,-0.047759054,-0.047759054
1903,-0.050001669,-0.050001669,-0.050001669,-0.050001669
1904,-0.0519434,-0.0519434,-0.0519434,-0.0519434
1905,-0.053780315,-0.053780315,-0.053780315,-0.053780315
1906,-0.056071906,-0.056071906,-0.056071906,-0.056071906
1907,-0.056438599,-0.056438599,-0.056438599,-0.056438599
1908,-0.056832807,-0.056832807,-0.056832807,-0.056832807
1909,-0.057063699,-0.057063699,-0.057063699,-0.057063699
1910,-0.057174502,-0.057174502,-0.057174502,-0.057174502
1911,-0.052889665,-0.052889665,-0.052889665,-0.052889665
1912,-0.049648495,-0.049648495,-0.049648495,-0.049648495
1913,-0.046945617,-0.046945617,-0.046945617,-0.046945617
1914,-0.045862905,-0.045862905,-0.045862905,-0.045862905
1915,-0.044411345,-0.044411345,-0.044411345,-0.044411345
1916,-0.04415784,-0.04415784,-0.04415784,-0.04415784
1917,-0.043901056,-0.043901056,-0.043901056,-0.043901056
1918,-0.043778812,-0.043778812,-0.043778812,-0.043778812
1919,-0.044126703,-0.044126703,-0.044126703,-0.044126703
1920,-0.044115147,-0.044115147,-0.044115147,-0.044115147
1921,-0.048732683,-0.048732683,-0.048732683,-0.048732683
1922,-0.047972431,-0.047972431,-0.047972431,-0.047972431
1923,-0.048576518,-0.048576518,-0.048576518,-0.048576518
1924,-0.048995079,-0.048995079,-0.048995079,-0.048995079
1925,-0.049165955,-0.049165955,-0.049165955,-0.049165955
1926,-0.049522047,-0.049522047,-0.049522047,-0.049522047
1927,-0.052947449,-0.052947449,-0.052947449,-0.052947449
1928,-0.053148303,-0.053148303,-0.053148303,-0.053148303
1929,-0.053093961,-0.053093961,-0.053093961,-0.053093961
1930,-0.053357731,-0.053357731,-0.053357731,-0.053357731
1931,-0.055170559,-0.055170559,-0.055170559,-0.055170559
1932,-0.055055935,-0.055055935,-0.055055935,-0.055055935
1933,-0.054786014,-0.054786014,-0.054786014,-0.054786014
1934,-0.053644802,-0.053644802,-0.053644802,-0.053644802
1935,-0.053337149,-0.053337149,-0.053337149,-0.053337149
1936,-0.053983776,-0.053983776,-0.053983776,-0.053983776
1937,-0.051872393,-0.051872393,-0.051872393,-0.051872393
1938,-0.052029957,-0.052029957,-0.052029957,-0.052029957
1939,-0.051704451,-0.051704451,-0.051704451,-0.051704451
1940,-0.050416024,-0.050416024,-0.050416024,-0.050416024
1941,-0.051535739,-0.051535739,-0.051535739,-0.051535739
1942,-0.053869177,-0.053869177,-0.053869177,-0.053869177
1943,-0.053824449,-0.053824449,-0.053824449,-0.053824449
1944,-0.05468144,-0.05468144,-0.05468144,-0.05468144
1945,-0.055182336,-0.055182336,-0.055182336,-0.055182336
1946,-0.062612762,-0.062612762,-0.062612762,-0.062612762
1947,-0.064575253,-0.064575253,-0.064575253,-0.064575253
1948,-0.066045337,-0.066045337,-0.066045337,-0.066045337
1949,-0.066786936,-0.066786936,-0.066786936,-0.066786936
1950,-0.067939667,-0.067939667,-0.067939667,-0.067939667
1951,-0.091732973,-0.091732973,-0.091732973,-0.091732973
1952,-0.098009964,-0.098009964,-0.098009964,-0.098009964
1953,-0.098745379,-0.098745379,-0.098745379,-0.098745379
1954,-0.10375128,-0.10375128,-0.10375128,-0.10375128
1955,-0.10817229,-0.10817229,-0.10817229,-0.10817229
1956,-0.11339603,-0.11339603,-0.11339603,-0.11339603
1957,-0.11577027,-0.11577027,-0.11577027,-0.11577027
1958,-0.1180479,-0.1180479,-0.1180479,-0.1180479
1959,-0.1092112,-0.1092112,-0.1092112,-0.1092112
1960,-0.10763438,-0.10763438,-0.10763438,-0.10763438
1961,-0.11997275,-0.11997275,-0.11997275,-0.11997275
1962,-0.12171684,-0.12171684,-0.12171684,-0.12171684
1963,-0.12383449,-0.12383449,-0.12383449,-0.12383449
1964,-0.12634146,-0.12634146,-0.12634146,-0.12634146
1965,-0.12832202,-0.12832202,-0.12832202,-0.12832202
1966,-0.13177662,-0.13177662,-0.13177662,-0.13177662
1967,-0.13211427,-0.13211427,-0.13211427,-0.13211427
1968,-0.13346932,-0.13346932,-0.13346932,-0.13346932
1969,-0.13446808,-0.13446808,-0.13446808,-0.13446808
1970,-0.13265197,-0.13265197,-0.13265197,-0.13265197
1971,-0.12214777,-0.12214777,-0.12214777,-0.12214777
1972,-0.11868294,-0.11868294,-0.11868294,-0.11868294
1973,-0.1211633,-0.1211633,-0.1211633,-0.1211633
1974,-0.12142627,-0.12142627,-0.12142627,-0.12142627
1975,-0.12210264,-0.12210264,-0.12210264,-0.12210264
1976,-0.13474275,-0.13474275,-0.13474275,-0.13474275
1977,-0.13790391,-0.13790391,-0.13790391,-0.13790391
1978,-0.13818033,-0.13818033,-0.13818033,-0.13818033
1979,-0.14199063,-0.14199063,-0.14199063,-0.14199063
1980,-0.14019937,-0.14019937,-0.14019937,-0.14019937
1981,-0.15088105,-0.15088105,-0.15088105,-0.15088105
1982,-0.17081125,-0.17081125,-0.17081125,-0.17081125
1983,-0.1765017,-0.1765017,-0.1765017,-0.1765017
1984,-0.18159176,-0.18159176,-0.18159176,-0.18159176
1985,-0.18419822,-0.18419822,-0.18419822,-0.18419822
1986,-0.18823782,-0.18823782,-0.18823782,-0.18823782
1987,-0.19005317,-0.19005317,-0.19005317,-0.19005317
1988,-0.19168381,-0.19168381,-0.19168381,-0.19168381
1989,-0.19188323,-0.19188323,-0.19188323,-0.19188323
1990,-0.19227979,-0.19227979,-0.19227979,-0.19227979
1991,-0.21156768,-0.21156768,-0.21156768,-0.21156768
1992,-0.20438231,-0.20438231,-0.20438231,-0.20438231
1993,-0.20370949,-0.20370949,-0.20370949,-0.20370949
1994,-0.20237621,-0.20237621,-0.20237621,-0.20237621
1995,-0.19973689,-0.19973689,-0.19973689,-0.19973689
1996,-0.19735644,-0.19735644,-0.19735644,-0.19735644
1997,-0.1953567,-0.1953567,-0.1953567,-0.1953567
1998,-0.19330693,-0.19330693,-0.19330693,-0.19330693
1999,-0.19165681,-0.19165681,-0.19165681,-0.19165681
2000,-0.19309255,-0.19309255,-0.19309255,-0.19309255
2001,-0.19478179,-0.19478179,-0.19478179,-0.19478179
2002,-0.19652572,-0.19652572,-0.19652572,-0.19652572
2003,-0.19827268,-0.19827268,-0.19827268,-0.19827268
2004,-0.2,-0.2,-0.2,-0.2
2005,-0.20167775,-0.20165634,-0.20164976,-0.20167687
2006,-0.20331638,-0.20323055,-0.20320423,-0.20331294
2007,-0.20491593,-0.20472268,-0.20466338,-0.2049083
2008,-0.20647625,-0.20613274,-0.2060272,-0.20646272
2009,-0.20799733,-0.20746075,-0.20729569,-0.20797621
2010,-0.20949263,-0.20870667,-0.20848325,-0.20946106
2011,-0.21097563,-0.20987051,-0.20960427,-0.21092957
2012,-0.21244632,-0.21095225,-0.21065876,-0.21238174
2013,-0.21390471,-0.21195189,-0.21164672,-0.21381757
2014,-0.21535078,-0.21286944,-0.21256815,-0.21523706
2015,-0.21678454,-0.2137049,-0.21342304,-0.21664021
2016,-0.218206,-0.21445826,-0.2142114,-0.21802702
2017,-0.21961515,-0.21512953,-0.21493323,-0.21939749
2018,-0.22101198,-0.2157187,-0.21558852,-0.22075162
2019,-0.22239651,-0.21622578,-0.21617728,-0.22208941
2020,-0.22376236,-0.21668222,-0.21666385,-0.22340674
2021,-0.22510316,-0.21711948,-0.21701257,-0.22469946
2022,-0.22641891,-0.21753756,-0.21722343,-0.22596758
2023,-0.2277096,-0.21793645,-0.21729645,-0.2272111
2024,-0.22897524,-0.21831616,-0.21723162,-0.22843002
2025,-0.23021582,-0.21867669,-0.21702894,-0.22962433
2026,-0.23143136,-0.21901803,-0.21668841,-0.23079405
2027,-0.23262184,-0.21934019,-0.21621003,-0.23193917
2028,-0.23378727,-0.21964317,-0.2155938,-0.23305968
2029,-0.23492764,-0.21992697,-0.21483972,-0.2341556
2030,-0.23603353,-0.22020035,-0.21400362,-0.23523364
2031,-0.2370955,-0.2204721,-0.21314134,-0.23630051
2032,-0.23811354,-0.22074221,-0.21225288,-0.23735622
2033,-0.23908766,-0.22101068,-0.21133824,-0.23840077
2034,-0.24001786,-0.22127752,-0.21039742,-0.23943416
2035,-0.24090413,-0.22154271,-0.20943042,-0.24045639
2036,-0.24174648,-0.22180627,-0.20843724,-0.24146746
2037,-0.24254491,-0.2220682,-0.20741788,-0.24246737
2038,-0.24329942,-0.22232848,-0.20637233,-0.24345612
2039,-0.24401,-0.22258713,-0.20530061,-0.2444337
2040,-0.24467757,-0.22284889,-0.20423326,-0.24540029
2041,-0.24530302,-0.22311851,-0.20320086,-0.24635603
2042,-0.24588635,-0.223396,-0.2022034,-0.24730093
2043,-0.24642756,-0.22368136,-0.20124088,-0.24823498
2044,-0.24692666,-0.22397457,-0.2003133,-0.24915819
2045,-0.24738365,-0.22427566,-0.19942066,-0.25007056
2046,-0.24779851,-0.2245846,-0.19856296,-0.25097209
2047,-0.24817127,-0.22490141,-0.19774021,-0.25186277
2048,-0.2485019,-0.22522609,-0.1969524,-0.25274261
2049,-0.24879042,-0.22555863,-0.19619953,-0.2536116
2050,-0.24908614,-0.22589071,-0.19547922,-0.2544693
2051,-0.24943838,-0.22621399,-0.19478909,-0.25531523
2052,-0.24984715,-0.22652847,-0.19412915,-0.25614939
2053,-0.25031243,-0.22683417,-0.19349938,-0.25697179
2054,-0.25083423,-0.22713107,-0.1928998,-0.25778243
2055,-0.25141255,-0.22741917,-0.1923304,-0.2585813
2056,-0.2520474,-0.22769848,-0.19179118,-0.25936841
2057,-0.25273876,-0.227969,-0.19128214,-0.26014376
2058,-0.25348665,-0.22823072,-0.19080328,-0.26090734
2059,-0.25429105,-0.22848365,-0.1903546,-0.26165916
2060,-0.25511831,-0.22872672,-0.18993904,-0.26239813
2061,-0.25593476,-0.22895889,-0.18955955,-0.26312318
2062,-0.2567404,-0.22918016,-0.18921611,-0.26383429
2063,-0.25753524,-0.22939052,-0.18890872,-0.26453148
2064,-0.25831926,-0.22958997,-0.1886374,-0.26521474
2065,-0.25909247,-0.22977851,-0.18840214,-0.26588407
2066,-0.25985488,-0.22995615,-0.18820293,-0.26653947
2067,-0.26060647,-0.23012289,-0.18803979,-0.26718094
2068,-0.26134726,-0.23027871,-0.1879127,-0.26780848
2069,-0.26207723,-0.23042363,-0.18782167,-0.2684221
2070,-0.26280224,-0.2305566,-0.1877703,-0.26902068
2071,-0.26352813,-0.23067656,-0.18776219,-0.26960311
2072,-0.26425489,-0.23078351,-0.18779733,-0.27016941
2073,-0.26498252,-0.23087745,-0.18787574,-0.27071956
2074,-0.26571103,-0.23095839,-0.18799741,-0.27125357
2075,-0.26644041,-0.23102632,-0.18816233,-0.27177143
2076,-0.26717067,-0.23108125,-0.18837051,-0.27227316
2077,-0.2679018,-0.23112317,-0.18862195,-0.27275874
2078,-0.26863381,-0.23115208,-0.18891665,-0.27322818
2079,-0.2693667,-0.23116799,-0.18925461,-0.27368147
2080,-0.27010396,-0.23117876,-0.1896149,-0.27411772
2081,-0.27084911,-0.23119227,-0.18997661,-0.274536
2082,-0.27160214,-0.23120852,-0.19033973,-0.27493633
2083,-0.27236305,-0.2312275,-0.19070426,-0.27531869
2084,-0.27313185,-0.23124922,-0.1910702,-0.2756831
2085,-0.27390854,-0.23127368,-0.19143756,-0.27602955
2086,-0.2746931,-0.23130088,-0.19180633,-0.27635804
2087,-0.27548555,-0.23133081,-0.19217652,-0.27666856
2088,-0.27628589,-0.23136348,-0.19254811,-0.27696113
2089,-0.27709411,-0.23139889,-0.19292112,-0.27723574
2090,-0.27789941,-0.23143696,-0.19329096,-0.27749217
2091,-0.27869101,-0.23147764,-0.19365303,-0.27773019
2092,-0.27946891,-0.23152092,-0.19400734,-0.2779498
2093,-0.28023309,-0.2315668,-0.19435388,-0.27815101
2094,-0.28098357,-0.23161529,-0.19469266,-0.27833381
2095,-0.28172035,-0.23166637,-0.19502368,-0.27849821
2096,-0.28244342,-0.23172006,-0.19534693,-0.2786442
2097,-0.28315278,-0.23177635,-0.19566242,-0.27877178
2098,-0.28384843,-0.23183524,-0.19597015,-0.27888096
2099,-0.28453038,-0.23189673,-0.19627011,-0.27897173
2100,-0.28519197,-0.23195827,-0.19656027,-0.27905167
2101,-0.28582656,-0.2320173,-0.19683859,-0.27912835
2102,-0.28643415,-0.23207383,-0.19710506,-0.27920176
2103,-0.28701473,-0.23212786,-0.19735969,-0.27927191
2104,-0.28756831,-0.23217937,-0.19760248,-0.27933879
2105,-0.28809488,-0.23222838,-0.19783342,-0.27940242
2106,-0.28859445,-0.23227489,-0.19805252,-0.27946278
2107,-0.28906702,-0.23231889,-0.19825978,-0.27951987
2108,-0.28951258,-0.23236038,-0.19845519,-0.27957371
2109,-0.28993114,-0.23239937,-0.19863876,-0.27962428
2110,-0.29032269,-0.23243584,-0.19881049,-0.27967159
2111,-0.29068725,-0.23246979,-0.19897037,-0.27971564
2112,-0.29102479,-0.23250121,-0.19911841,-0.27975642
2113,-0.29133534,-0.23253011,-0.19925461,-0.27979395
2114,-0.29161888,-0.23255648,-0.19937896,-0.2798282
2115,-0.29187541,-0.23258033,-0.19949148,-0.2798592
2116,-0.29210495,-0.23260166,-0.19959214,-0.27988693
2117,-0.29230747,-0.23262046,-0.19968097,-0.2799114
2118,-0.292483,-0.23263674,-0.19975795,-0.27993261
2119,-0.29263152,-0.23265049,-0.19982309,-0.27995056
2120,-0.29275304,-0.23266235,-0.19987638,-0.27996524
2121,-0.29284755,-0.23267297,-0.19991783,-0.27997666
2122,-0.29291506,-0.23268234,-0.19994744,-0.27998482
2123,-0.29295556,-0.23269045,-0.19996521,-0.27998971
2124,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2125,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2126,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2127,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2128,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2129,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2130,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2131,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2132,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2133,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2134,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2135,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2136,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2137,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2138,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2139,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2140,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2141,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2142,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2143,-0.29296907,-0.23269732,-0.19997113,-0.27999134
2144,-0.29296907,-0.23269732,-0.19997113,-0.27999134
