"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-0.00038147024,-0.00038147024,-0.00038147024,-0.00038147024
1767,-0.00075399603,-0.00075399603,-0.00075399603,-0.00075399603
1768,-0.0011176864,-0.0011176864,-0.0011176864,-0.0011176864
1769,-0.0014726504,-0.0014726504,-0.0014726504,-0.0014726504
1770,-0.0018189971,-0.0018189971,-0.0018189971,-0.0018189971
1771,-0.0021568354,-0.0021568354,-0.0021568354,-0.0021568354
1772,-0.0024862745,-0.0024862745,-0.0024862745,-0.0024862745
1773,-0.0028074233,-0.0028074233,-0.0028074233,-0.0028074233
1774,-0.0031203909,-0.0031203909,-0.0031203909,-0.0031203909
1775,-0.0034252863,-0.0034252863,-0.0034252863,-0.0034252863
1776,-0.0037222186,-0.0037222186,-0.0037222186,-0.0037222186
1777,-0.0040112967,-0.0040112967,-0.0040112967,-0.0040112967
1778,-0.0042926297,-0.0042926297,-0.0042926297,-0.0042926297
1779,-0.0045663266,-0.0045663266,-0.0045663266,-0.0045663266
1780,-0.0048324965,-0.0048324965,-0.0048324965,-0.0048324965
1781,-0.0050912484,-0.0050912484,-0.0050912484,-0.0050912484
1782,-0.0053426913,-0.0053426913,-0.0053426913,-0.0053426913
1783,-0.0055869343,-0.0055869343,-0.0055869343,-0.0055869343
1784,-0.0058240864,-0.0058240864,-0.0058240864,-0.0058240864
1785,-0.0060542566,-0.0060542566,-0.0060542566,-0.0060542566
1786,-0.0062775539,-0.0062775539,-0.0062775539,-0.0062775539
1787,-0.0064940874,-0.0064940874,-0.0064940874,-0.0064940874
1788,-0.0067039661,-0.0067039661,-0.0067039661,-0.0067039661
1789,-0.0069072991,-0.0069072991,-0.0069072991,-0.0069072991
1790,-0.0071041953,-0.0071041953,-0.0071041953,-0.0071041953
1791,-0.0072947638,-0.0072947638,-0.0072947638,-0.0072947638
1792,-0.0074791136,-0.0074791136,-0.0074791136,-0.0074791136
1793,-0.0076573539,-0.0076573539,-0.0076573539,-0.0076573539
1794,-0.0078295935,-0.0078295935,-0.0078295935,-0.0078295935
1795,-0.0079959415,-0.0079959415,-0.0079959415,-0.0079959415
1796,-0.008156507,-0.008156507,-0.008156507,-0.008156507
1797,-0.008311399,-0.008311399,-0.008311399,-0.008311399
1798,-0.0084607265,-0.0084607265,-0.0084607265,-0.0084607265
1799,-0.0086045986,-0.0086045986,-0.0086045986,-0.0086045986
1800,-0.0087431242,-0.0087431242,-0.0087431242,-0.0087431242
1801,-0.0088764124,-0.0088764124,-0.0088764124,-0.0088764124
1802,-0.0090045723,-0.0090045723,-0.0090045723,-0.0090045723
1803,-0.0091277129,-0.0091277129,-0.0091277129,-0.0091277129
1804,-0.0092459431,-0.0092459431,-0.0092459431,-0.0092459431
1805,-0.0093593721,-0.0093593721,-0.0093593721,-0.0093593721
1806,-0.0094681088,-0.0094681088,-0.0094681088,-0.0094681088
1807,-0.0095722624,-0.0095722624,-0.0095722624,-0.0095722624
1808,-0.0096719418,-0.0096719418,-0.0096719418,-0.0096719418
1809,-0.009767256,-0.009767256,-0.009767256,-0.009767256
1810,-0.0098583141,-0.0098583141,-0.0098583141,-0.0098583141
1811,-0.0099452252,-0.0099452252,-0.0099452252,-0.0099452252
1812,-0.010028098,-0.010028098,-0.010028098,-0.010028098
1813,-0.010107042,-0.010107042,-0.010107042,-0.010107042
1814,-0.010182166,-0.010182166,-0.010182166,-0.010182166
