"year","rcp26","rcp45","rcp60","rcp85"
1765,272.95961,272.95961,272.95961,272.95961
1766,272.98281,272.98281,272.98281,272.98281
1767,273.00558,273.00558,273.00558,273.00558
1768,273.02799,273.02799,273.02799,273.02799
1769,273.05007,273.05007,273.05007,273.05007
1770,273.07184,273.07184,273.07184,273.07184
1771,273.09329,273.09329,273.09329,273.09329
1772,273.11442,273.11442,273.11442,273.11442
1773,273.13529,273.13529,273.13529,273.13529
1774,273.15596,273.15596,273.15596,273.15596
1775,273.17645,273.17645,273.17645,273.17645
1776,273.19674,273.19674,273.19674,273.19674
1777,273.2168,273.2168,273.2168,273.2168
1778,273.23672,273.23672,273.23672,273.23672
1779,273.25657,273.25657,273.25657,273.25657
1780,273.27636,273.27636,273.27636,273.27636
1781,273.29605,273.29605,273.29605,273.29605
1782,273.31565,273.31565,273.31565,273.31565
1783,273.33521,273.33521,273.33521,273.33521
1784,273.3548,273.3548,273.3548,273.3548
1785,273.37447,273.37447,273.37447,273.37447
1786,273.39416,273.39416,273.39416,273.39416
1787,273.41388,273.41388,273.41388,273.41388
1788,273.43367,273.43367,273.43367,273.43367
1789,273.4536,273.4536,273.4536,273.4536
1790,273.4737,273.4737,273.4737,273.4737
1791,273.49394,273.49394,273.49394,273.49394
1792,273.5143,273.5143,273.5143,273.5143
1793,273.53484,273.53484,273.53484,273.53484
1794,273.55562,273.55562,273.55562,273.55562
1795,273.57668,273.57668,273.57668,273.57668
1796,273.59799,273.59799,273.59799,273.59799
1797,273.61954,273.61954,273.61954,273.61954
1798,273.64138,273.64138,273.64138,273.64138
1799,273.66356,273.66356,273.66356,273.66356
1800,273.68614,273.68614,273.68614,273.68614
1801,273.7091,273.7091,273.7091,273.7091
1802,273.73242,273.73242,273.73242,273.73242
1803,273.75616,273.75616,273.75616,273.75616
1804,273.78034,273.78034,273.78034,273.78034
1805,273.805,273.805,273.805,273.805
1806,273.83015,273.83015,273.83015,273.83015
1807,273.85579,273.85579,273.85579,273.85579
1808,273.88194,273.88194,273.88194,273.88194
1809,273.90863,273.90863,273.90863,273.90863
1810,273.93589,273.93589,273.93589,273.93589
1811,273.96372,273.96372,273.96372,273.96372
1812,273.99216,273.99216,273.99216,273.99216
1813,274.02121,274.02121,274.02121,274.02121
1814,274.05089,274.05089,274.05089,274.05089
1815,274.08123,274.08123,274.08123,274.08123
1816,274.11226,274.11226,274.11226,274.11226
1817,274.14401,274.14401,274.14401,274.14401
1818,274.17647,274.17647,274.17647,274.17647
1819,274.20966,274.20966,274.20966,274.20966
1820,274.24356,274.24356,274.24356,274.24356
1821,274.27823,274.27823,274.27823,274.27823
1822,274.31369,274.31369,274.31369,274.31369
1823,274.34996,274.34996,274.34996,274.34996
1824,274.38704,274.38704,274.38704,274.38704
1825,274.42493,274.42493,274.42493,274.42493
1826,274.46368,274.46368,274.46368,274.46368
1827,274.50333,274.50333,274.50333,274.50333
1828,274.54388,274.54388,274.54388,274.54388
1829,274.58533,274.58533,274.58533,274.58533
1830,274.62766,274.62766,274.62766,274.62766
1831,274.67093,274.67093,274.67093,274.67093
1832,274.71517,274.71517,274.71517,274.71517
1833,274.76041,274.76041,274.76041,274.76041
1834,274.80662,274.80662,274.80662,274.80662
1835,274.85381,274.85381,274.85381,274.85381
1836,274.90204,274.90204,274.90204,274.90204
1837,274.95135,274.95135,274.95135,274.95135
1838,275.00175,275.00175,275.00175,275.00175
1839,275.05321,275.05321,275.05321,275.05321
1840,275.10611,275.10611,275.10611,275.10611
1841,275.16673,275.16673,275.16673,275.16673
1842,275.23766,275.23766,275.23766,275.23766
1843,275.3086,275.3086,275.3086,275.3086
1844,275.36561,275.36561,275.36561,275.36561
1845,275.39529,275.39529,275.39529,275.39529
1846,275.40152,275.40152,275.40152,275.40152
1847,275.40107,275.40107,275.40107,275.40107
1848,275.40051,275.40051,275.40051,275.40051
1849,275.40012,275.40012,275.40012,275.40012
1850,275.45,275.45,275.45,275.45
1851,275.55,275.55,275.55,275.55
