"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-0.00016142611,-0.00016142611,-0.00016142611,-0.00016142611
1767,-0.00038331071,-0.00038331071,-0.00038331071,-0.00038331071
1768,-0.00062190375,-0.00062190375,-0.00062190375,-0.00062190375
1769,-0.00086488763,-0.00086488763,-0.00086488763,-0.00086488763
1770,-0.001107495,-0.001107495,-0.001107495,-0.001107495
1771,-0.0013836763,-0.0013836763,-0.0013836763,-0.0013836763
1772,-0.0016206912,-0.0016206912,-0.0016206912,-0.0016206912
1773,-0.0018532488,-0.0018532488,-0.0018532488,-0.0018532488
1774,-0.0020810493,-0.0020810493,-0.0020810493,-0.0020810493
1775,-0.0023039324,-0.0023039324,-0.0023039324,-0.0023039324
1776,-0.0025218212,-0.0025218212,-0.0025218212,-0.0025218212
1777,-0.0027346923,-0.0027346923,-0.0027346923,-0.0027346923
1778,-0.0029425568,-0.0029425568,-0.0029425568,-0.0029425568
1779,-0.0031454496,-0.0031454496,-0.0031454496,-0.0031454496
1780,-0.0033434218,-0.0033434218,-0.0033434218,-0.0033434218
1781,-0.003575855,-0.003575855,-0.003575855,-0.003575855
1782,-0.003764295,-0.003764295,-0.003764295,-0.003764295
1783,-0.0039480124,-0.0039480124,-0.0039480124,-0.0039480124
1784,-0.004127092,-0.004127092,-0.004127092,-0.004127092
1785,-0.0043016221,-0.0043016221,-0.0043016221,-0.0043016221
1786,-0.0044716934,-0.0044716934,-0.0044716934,-0.0044716934
1787,-0.0046373987,-0.0046373987,-0.0046373987,-0.0046373987
1788,-0.0047988321,-0.0047988321,-0.0047988321,-0.0047988321
1789,-0.0049560893,-0.0049560893,-0.0049560893,-0.0049560893
1790,-0.0051092667,-0.0051092667,-0.0051092667,-0.0051092667
1791,-0.0052984055,-0.0052984055,-0.0052984055,-0.0052984055
1792,-0.0054437386,-0.0054437386,-0.0054437386,-0.0054437386
1793,-0.0055852808,-0.0055852808,-0.0055852808,-0.0055852808
1794,-0.0057231315,-0.0057231315,-0.0057231315,-0.0057231315
1795,-0.00585739,-0.00585739,-0.00585739,-0.00585739
1796,-0.005988156,-0.005988156,-0.005988156,-0.005988156
1797,-0.0061555459,-0.0061555459,-0.0061555459,-0.0061555459
1798,-0.0062796258,-0.0062796258,-0.0062796258,-0.0062796258
1799,-0.0064005097,-0.0064005097,-0.0064005097,-0.0064005097
1800,-0.006558304,-0.006558304,-0.006558304,-0.006558304
1801,-0.0066730871,-0.0066730871,-0.0066730871,-0.0066730871
1802,-0.0068649429,-0.0068649429,-0.0068649429,-0.0068649429
1803,-0.0069340299,-0.0069340299,-0.0069340299,-0.0069340299
1804,-0.0070404017,-0.0070404017,-0.0070404017,-0.0070404017
1805,-0.0071441727,-0.0071441727,-0.0071441727,-0.0071441727
1806,-0.0072853577,-0.0072853577,-0.0072853577,-0.0072853577
1807,-0.0073842033,-0.0073842033,-0.0073842033,-0.0073842033
1808,-0.0074807447,-0.0074807447,-0.0074807447,-0.0074807447
1809,-0.0075750813,-0.0075750813,-0.0075750813,-0.0075750813
1810,-0.0076673121,-0.0076673121,-0.0076673121,-0.0076673121
1811,-0.0077973149,-0.0077973149,-0.0077973149,-0.0077973149
1812,-0.0078855971,-0.0078855971,-0.0078855971,-0.0078855971
1813,-0.0079720672,-0.0079720672,-0.0079720672,-0.0079720672
1814,-0.0080568231,-0.0080568231,-0.0080568231,-0.0080568231
1815,-0.0081795985,-0.0081795985,-0.0081795985,-0.0081795985
1816,-0.0083007741,-0.0083007741,-0.0083007741,-0.0083007741
1817,-0.0084204415,-0.0084204415,-0.0084204415,-0.0084204415
1818,-0.0084991826,-0.0084991826,-0.0084991826,-0.0084991826
1819,-0.0085766891,-0.0085766891,-0.0085766891,-0.0085766891
1820,-0.008653057,-0.008653057,-0.008653057,-0.008653057
1821,-0.0087283818,-0.0087283818,-0.0087283818,-0.0087283818
1822,-0.0088420751,-0.0088420751,-0.0088420751,-0.0088420751
1823,-0.0089548097,-0.0089548097,-0.0089548097,-0.0089548097
1824,-0.0090274645,-0.0090274645,-0.0090274645,-0.0090274645
1825,-0.0091386036,-0.0091386036,-0.0091386036,-0.0091386036
1826,-0.0092099546,-0.0092099546,-0.0092099546,-0.0092099546
1827,-0.0093198563,-0.0093198563,-0.0093198563,-0.0093198563
1828,-0.0093902662,-0.0093902662,-0.0093902662,-0.0093902662
1829,-0.0094603716,-0.0094603716,-0.0094603716,-0.0094603716
1830,-0.0097633465,-0.0097633465,-0.0097633465,-0.0097633465
1831,-0.0097939336,-0.0097939336,-0.0097939336,-0.0097939336
1832,-0.0098633241,-0.0098633241,-0.0098633241,-0.0098633241
1833,-0.0099714012,-0.0099714012,-0.0099714012,-0.0099714012
1834,-0.010040897,-0.010040897,-0.010040897,-0.010040897
1835,-0.010149105,-0.010149105,-0.010149105,-0.010149105
1836,-0.010372726,-0.010372726,-0.010372726,-0.010372726
1837,-0.010442742,-0.010442742,-0.010442742,-0.010442742
1838,-0.010551485,-0.010551485,-0.010551485,-0.010551485
1839,-0.010660611,-0.010660611,-0.010660611,-0.010660611
1840,-0.010808296,-0.010808296,-0.010808296,-0.010808296
1841,-0.010918332,-0.010918332,-0.010918332,-0.010918332
1842,-0.011066903,-0.011066903,-0.011066903,-0.011066903
1843,-0.011178139,-0.011178139,-0.011178139,-0.011178139
1844,-0.011327871,-0.011327871,-0.011327871,-0.011327871
1845,-0.011553543,-0.011553543,-0.011553543,-0.011553543
1846,-0.011629303,-0.011629303,-0.011629303,-0.011629303
1847,-0.011818587,-0.011818587,-0.011818587,-0.011818587
1848,-0.011933772,-0.011933772,-0.011933772,-0.011933772
1849,-0.012124554,-0.012124554,-0.012124554,-0.012124554
1850,-0.012339653,-0.012339653,-0.012339653,-0.012339653
1851,-0.012812319,-0.012812319,-0.012812319,-0.012812319
1852,-0.014525798,-0.014525798,-0.014525798,-0.014525798
1853,-0.014548017,-0.014548017,-0.014548017,-0.014548017
1854,-0.014849416,-0.014849416,-0.014849416,-0.014849416
1855,-0.014820149,-0.014820149,-0.014820149,-0.014820149
1856,-0.015102684,-0.015102684,-0.015102684,-0.015102684
1857,-0.01523335,-0.01523335,-0.01523335,-0.01523335
1858,-0.015351341,-0.015351341,-0.015351341,-0.015351341
1859,-0.015618446,-0.015618446,-0.015618446,-0.015618446
1860,-0.015989505,-0.015989505,-0.015989505,-0.015989505
1861,-0.017355755,-0.017355755,-0.017355755,-0.017355755
1862,-0.015980504,-0.015980504,-0.015980504,-0.015980504
1863,-0.016337388,-0.016337388,-0.016337388,-0.016337388
1864,-0.016693361,-0.016693361,-0.016693361,-0.016693361
1865,-0.017028934,-0.017028934,-0.017028934,-0.017028934
1866,-0.017206855,-0.017206855,-0.017206855,-0.017206855
1867,-0.017487801,-0.017487801,-0.017487801,-0.017487801
1868,-0.017608344,-0.017608344,-0.017608344,-0.017608344
1869,-0.01780889,-0.01780889,-0.01780889,-0.01780889
1870,-0.017934904,-0.017934904,-0.017934904,-0.017934904
1871,-0.024191372,-0.024191372,-0.024191372,-0.024191372
1872,-0.028398794,-0.028398794,-0.028398794,-0.028398794
1873,-0.030289219,-0.030289219,-0.030289219,-0.030289219
1874,-0.030504762,-0.030504762,-0.030504762,-0.030504762
1875,-0.031367161,-0.031367161,-0.031367161,-0.031367161
1876,-0.032746784,-0.032746784,-0.032746784,-0.032746784
1877,-0.033285152,-0.033285152,-0.033285152,-0.033285152
1878,-0.033717948,-0.033717948,-0.033717948,-0.033717948
1879,-0.034493817,-0.034493817,-0.034493817,-0.034493817
1880,-0.03560724,-0.03560724,-0.03560724,-0.03560724
1881,-0.0365914,-0.0365914,-0.0365914,-0.0365914
1882,-0.035981571,-0.035981571,-0.035981571,-0.035981571
1883,-0.036608934,-0.036608934,-0.036608934,-0.036608934
1884,-0.036807004,-0.036807004,-0.036807004,-0.036807004
1885,-0.036973417,-0.036973417,-0.036973417,-0.036973417
1886,-0.038172271,-0.038172271,-0.038172271,-0.038172271
1887,-0.038834117,-0.038834117,-0.038834117,-0.038834117
1888,-0.039847778,-0.039847778,-0.039847778,-0.039847778
1889,-0.039955246,-0.039955246,-0.039955246,-0.039955246
1890,-0.040705785,-0.040705785,-0.040705785,-0.040705785
1891,-0.041129548,-0.041129548,-0.041129548,-0.041129548
1892,-0.041475991,-0.041475991,-0.041475991,-0.041475991
1893,-0.041763808,-0.041763808,-0.041763808,-0.041763808
1894,-0.04201089,-0.04201089,-0.04201089,-0.04201089
1895,-0.042234362,-0.042234362,-0.042234362,-0.042234362
1896,-0.042450633,-0.042450633,-0.042450633,-0.042450633
1897,-0.042675433,-0.042675433,-0.042675433,-0.042675433
1898,-0.04292385,-0.04292385,-0.04292385,-0.04292385
1899,-0.043210367,-0.043210367,-0.043210367,-0.043210367
1900,-0.043437376,-0.043437376,-0.043437376,-0.043437376
1901,-0.0436266,-0.0436266,-0.0436266,-0.0436266
1902,-0.043879063,-0.043879063,-0.043879063,-0.043879063
1903,-0.044175027,-0.044175027,-0.044175027,-0.044175027
1904,-0.044496045,-0.044496045,-0.044496045,-0.044496045
1905,-0.044824869,-0.044824869,-0.044824869,-0.044824869
1906,-0.045145372,-0.045145372,-0.045145372,-0.045145372
1907,-0.045442468,-0.045442468,-0.045442468,-0.045442468
1908,-0.045702042,-0.045702042,-0.045702042,-0.045702042
1909,-0.045910891,-0.045910891,-0.045910891,-0.045910891
1910,-0.046029689,-0.046029689,-0.046029689,-0.046029689
1911,-0.04605873,-0.04605873,-0.04605873,-0.04605873
1912,-0.046043705,-0.046043705,-0.046043705,-0.046043705
1913,-0.045994745,-0.045994745,-0.045994745,-0.045994745
1914,-0.045921298,-0.045921298,-0.045921298,-0.045921298
1915,-0.045832158,-0.045832158,-0.045832158,-0.045832158
1916,-0.045735481,-0.045735481,-0.045735481,-0.045735481
1917,-0.04563881,-0.04563881,-0.04563881,-0.04563881
1918,-0.045549095,-0.045549095,-0.045549095,-0.045549095
1919,-0.04547271,-0.04547271,-0.04547271,-0.04547271
1920,-0.045595958,-0.045595958,-0.045595958,-0.045595958
1921,-0.045935781,-0.045935781,-0.045935781,-0.045935781
1922,-0.046313957,-0.046313957,-0.046313957,-0.046313957
1923,-0.046720295,-0.046720295,-0.046720295,-0.046720295
1924,-0.047144872,-0.047144872,-0.047144872,-0.047144872
1925,-0.047578024,-0.047578024,-0.047578024,-0.047578024
1926,-0.047997672,-0.047997672,-0.047997672,-0.047997672
1927,-0.048407409,-0.048407409,-0.048407409,-0.048407409
1928,-0.048798305,-0.048798305,-0.048798305,-0.048798305
1929,-0.049161677,-0.049161677,-0.049161677,-0.049161677
1930,-0.049467649,-0.049467649,-0.049467649,-0.049467649
1931,-0.049706898,-0.049706898,-0.049706898,-0.049706898
1932,-0.049907446,-0.049907446,-0.049907446,-0.049907446
1933,-0.050083201,-0.050083201,-0.050083201,-0.050083201
1934,-0.050247575,-0.050247575,-0.050247575,-0.050247575
1935,-0.050413501,-0.050413501,-0.050413501,-0.050413501
1936,-0.050593446,-0.050593446,-0.050593446,-0.050593446
1937,-0.050799428,-0.050799428,-0.050799428,-0.050799428
1938,-0.051043023,-0.051043023,-0.051043023,-0.051043023
1939,-0.051335384,-0.051335384,-0.051335384,-0.051335384
1940,-0.051324914,-0.051324914,-0.051324914,-0.051324914
1941,-0.051064878,-0.051064878,-0.051064878,-0.051064878
1942,-0.050935504,-0.050935504,-0.050935504,-0.050935504
1943,-0.05092209,-0.05092209,-0.05092209,-0.05092209
1944,-0.051011648,-0.051011648,-0.051011648,-0.051011648
1945,-0.051192654,-0.051192654,-0.051192654,-0.051192654
1946,-0.051454835,-0.051454835,-0.051454835,-0.051454835
1947,-0.051789003,-0.051789003,-0.051789003,-0.051789003
1948,-0.052186898,-0.052186898,-0.052186898,-0.052186898
1949,-0.052641075,-0.052641075,-0.052641075,-0.052641075
1950,-0.052705914,-0.052705914,-0.052705914,-0.052705914
1951,-0.052477902,-0.052477902,-0.052477902,-0.052477902
1952,-0.052461384,-0.052461384,-0.052461384,-0.052461384
1953,-0.052605214,-0.052605214,-0.052605214,-0.052605214
1954,-0.052863966,-0.052863966,-0.052863966,-0.052863966
1955,-0.053197208,-0.053197208,-0.053197208,-0.053197208
1956,-0.053568882,-0.053568882,-0.053568882,-0.053568882
1957,-0.05394678,-0.05394678,-0.05394678,-0.05394678
1958,-0.054302092,-0.054302092,-0.054302092,-0.054302092
1959,-0.054609017,-0.054609017,-0.054609017,-0.054609017
1960,-0.055477012,-0.055477012,-0.055477012,-0.055477012
1961,-0.05697282,-0.05697282,-0.05697282,-0.05697282
1962,-0.058523684,-0.058523684,-0.058523684,-0.058523684
1963,-0.060124988,-0.060124988,-0.060124988,-0.060124988
1964,-0.061772162,-0.061772162,-0.061772162,-0.061772162
