"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-2.5855984e-05,-2.5855984e-05,-2.5855984e-05,-2.5855984e-05
1767,-3.7960353e-05,-3.7960353e-05,-3.7960353e-05,-3.7960353e-05
1768,-4.5332652e-05,-4.5332652e-05,-4.5332652e-05,-4.5332652e-05
1769,-5.0527822e-05,-5.0527822e-05,-5.0527822e-05,-5.0527822e-05
1770,-5.454798e-05,-5.454798e-05,-5.454798e-05,-5.454798e-05
1771,-5.9423291e-05,-5.9423291e-05,-5.9423291e-05,-5.9423291e-05
1772,-6.2153654e-05,-6.2153654e-05,-6.2153654e-05,-6.2153654e-05
1773,-6.4613173e-05,-6.4613173e-05,-6.4613173e-05,-6.4613173e-05
1774,-6.6885138e-05,-6.6885138e-05,-6.6885138e-05,-6.6885138e-05
1775,-6.9024194e-05,-6.9024194e-05,-6.9024194e-05,-6.9024194e-05
1776,-7.1067729e-05,-7.1067729e-05,-7.1067729e-05,-7.1067729e-05
1777,-7.3042233e-05,-7.3042233e-05,-7.3042233e-05,-7.3042233e-05
1778,-7.4967036e-05,-7.4967036e-05,-7.4967036e-05,-7.4967036e-05
1779,-7.6856614e-05,-7.6856614e-05,-7.6856614e-05,-7.6856614e-05
1780,-7.872205e-05,-7.872205e-05,-7.872205e-05,-7.872205e-05
1781,-8.1476539e-05,-8.1476539e-05,-8.1476539e-05,-8.1476539e-05
1782,-8.3295087e-05,-8.3295087e-05,-8.3295087e-05,-8.3295087e-05
1783,-8.51137e-05,-8.51137e-05,-8.51137e-05,-8.51137e-05
1784,-8.6936548e-05,-8.6936548e-05,-8.6936548e-05,-8.6936548e-05
1785,-8.8767124e-05,-8.8767124e-05,-8.8767124e-05,-8.8767124e-05
1786,-9.0608399e-05,-9.0608399e-05,-9.0608399e-05,-9.0608399e-05
1787,-9.2462934e-05,-9.2462934e-05,-9.2462934e-05,-9.2462934e-05
1788,-9.4332971e-05,-9.4332971e-05,-9.4332971e-05,-9.4332971e-05
1789,-9.6220496e-05,-9.6220496e-05,-9.6220496e-05,-9.6220496e-05
1790,-9.8127294e-05,-9.8127294e-05,-9.8127294e-05,-9.8127294e-05
1791,-0.00010083087,-0.00010083087,-0.00010083087,-0.00010083087
1792,-0.0001027763,-0.0001027763,-0.0001027763,-0.0001027763
1793,-0.00010474647,-0.00010474647,-0.00010474647,-0.00010474647
1794,-0.0001067426,-0.0001067426,-0.0001067426,-0.0001067426
1795,-0.00010876589,-0.00010876589,-0.00010876589,-0.00010876589
1796,-0.00011081747,-0.00011081747,-0.00011081747,-0.00011081747
