"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-0.00040540079,-0.00040540079,-0.00040540079,-0.00040540079
1767,-0.00080133846,-0.00080133846,-0.00080133846,-0.00080133846
1768,-0.0011879319,-0.0011879319,-0.0011879319,-0.0011879319
1769,-0.0015652999,-0.0015652999,-0.0015652999,-0.0015652999
1770,-0.0019335614,-0.0019335614,-0.0019335614,-0.0019335614
1771,-0.0022928352,-0.0022928352,-0.0022928352,-0.0022928352
1772,-0.0026432402,-0.0026432402,-0.0026432402,-0.0026432402
1773,-0.0029848953,-0.0029848953,-0.0029848953,-0.0029848953
1774,-0.0033179194,-0.0033179194,-0.0033179194,-0.0033179194
1775,-0.0036424312,-0.0036424312,-0.0036424312,-0.0036424312
1776,-0.0039585497,-0.0039585497,-0.0039585497,-0.0039585497
1777,-0.0042663937,-0.0042663937,-0.0042663937,-0.0042663937
1778,-0.004566082,-0.004566082,-0.004566082,-0.004566082
1779,-0.0048577337,-0.0048577337,-0.0048577337,-0.0048577337
1780,-0.0051414674,-0.0051414674,-0.0051414674,-0.0051414674
1781,-0.0054174022,-0.0054174022,-0.0054174022,-0.0054174022
1782,-0.0056856568,-0.0056856568,-0.0056856568,-0.0056856568
1783,-0.0059463501,-0.0059463501,-0.0059463501,-0.0059463501
1784,-0.0061996009,-0.0061996009,-0.0061996009,-0.0061996009
1785,-0.0064455282,-0.0064455282,-0.0064455282,-0.0064455282
1786,-0.0066842508,-0.0066842508,-0.0066842508,-0.0066842508
1787,-0.0069158876,-0.0069158876,-0.0069158876,-0.0069158876
1788,-0.0071405574,-0.0071405574,-0.0071405574,-0.0071405574
1789,-0.0073583791,-0.0073583791,-0.0073583791,-0.0073583791
1790,-0.0075694716,-0.0075694716,-0.0075694716,-0.0075694716
1791,-0.0077739537,-0.0077739537,-0.0077739537,-0.0077739537
1792,-0.0079719442,-0.0079719442,-0.0079719442,-0.0079719442
1793,-0.0081635622,-0.0081635622,-0.0081635622,-0.0081635622
1794,-0.0083489263,-0.0083489263,-0.0083489263,-0.0083489263
1795,-0.0085281555,-0.0085281555,-0.0085281555,-0.0085281555
1796,-0.0087013687,-0.0087013687,-0.0087013687,-0.0087013687
1797,-0.0088686847,-0.0088686847,-0.0088686847,-0.0088686847
1798,-0.0090302223,-0.0090302223,-0.0090302223,-0.0090302223
1799,-0.0091861005,-0.0091861005,-0.0091861005,-0.0091861005
1800,-0.0093364381,-0.0093364381,-0.0093364381,-0.0093364381
1801,-0.009481354,-0.009481354,-0.009481354,-0.009481354
1802,-0.009620967,-0.009620967,-0.009620967,-0.009620967
1803,-0.009755396,-0.009755396,-0.009755396,-0.009755396
1804,-0.0098847598,-0.0098847598,-0.0098847598,-0.0098847598
