"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,0,0,0,0
1767,0,0,0,0
1768,0,0,0,0
1769,0,0,0,0
1770,0,0,0,0
1771,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05
1772,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05
1773,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05
1774,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05
1775,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05
1776,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05
1777,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05
1778,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05
1779,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05
1780,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05,-3.3715314e-05
1781,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05
1782,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05
1783,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05
1784,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05
1785,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05
1786,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05
1787,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05
1788,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05
1789,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05
1790,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05,-6.7430628e-05
1791,-0.00010114594,-0.00010114594,-0.00010114594,-0.00010114594
1792,-0.00010114594,-0.00010114594,-0.00010114594,-0.00010114594
1793,-0.00010114594,-0.00010114594,-0.00010114594,-0.00010114594
1794,-0.00010114594,-0.00010114594,-0.00010114594,-0.00010114594
1795,-0.00010114594,-0.00010114594,-0.00010114594,-0.00010114594
1796,-0.00010114594,-0.00010114594,-0.00010114594,-0.00010114594
1797,-0.00013486126,-0.00013486126,-0.00013486126,-0.00013486126
1798,-0.00013486126,-0.00013486126,-0.00013486126,-0.00013486126
