"year","rcp26","rcp45","rcp60","rcp85"
1765,884.8584,884.8584,884.8584,884.8584
1766,884.8584,884.8584,884.8584,884.8584
1767,884.85461,884.85461,884.85461,884.85461
1768,884.84702,884.84702,884.84702,884.84702
1769,884.83565,884.83565,884.83565,884.83565
1770,884.82048,884.82048,884.82048,884.82048
1771,884.80152,884.80152,884.80152,884.80152
1772,884.77877,884.77877,884.77877,884.77877
1773,884.75223,884.75223,884.75223,884.75223
1774,884.72189,884.72189,884.72189,884.72189
1775,884.68776,884.68776,884.68776,884.68776
1776,884.64985,884.64985,884.64985,884.64985
1777,884.60813,884.60813,884.60813,884.60813
1778,884.56263,884.56263,884.56263,884.56263
1779,884.51334,884.51334,884.51334,884.51334
1780,884.46025,884.46025,884.46025,884.46025
1781,884.40337,884.40337,884.40337,884.40337
1782,884.3427,884.3427,884.3427,884.3427
1783,884.27824,884.27824,884.27824,884.27824
1784,884.20998,884.20998,884.20998,884.20998
1785,884.13794,884.13794,884.13794,884.13794
1786,884.0621,884.0621,884.0621,884.0621
1787,883.98247,883.98247,883.98247,883.98247
1788,883.89905,883.89905,883.89905,883.89905
1789,883.81183,883.81183,883.81183,883.81183
1790,883.72082,883.72082,883.72082,883.72082
1791,883.62603,883.62603,883.62603,883.62603
1792,883.52744,883.52744,883.52744,883.52744
1793,883.42505,883.42505,883.42505,883.42505
1794,883.31888,883.31888,883.31888,883.31888
1795,883.20891,883.20891,883.20891,883.20891
1796,883.09516,883.09516,883.09516,883.09516
1797,882.97761,882.97761,882.97761,882.97761
1798,882.85626,882.85626,882.85626,882.85626
1799,882.73113,882.73113,882.73113,882.73113
1800,882.6022,882.6022,882.6022,882.6022
1801,882.46949,882.46949,882.46949,882.46949
1802,882.33298,882.33298,882.33298,882.33298
1803,882.19267,882.19267,882.19267,882.19267
1804,882.04858,882.04858,882.04858,882.04858
1805,881.90069,881.90069,881.90069,881.90069
1806,881.74901,881.74901,881.74901,881.74901
