"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-1.05309948333333e-05,-1.05309948333333e-05,-1.05309948333333e-05,-1.05309948333333e-05
1767,-2.07551416666667e-05,-2.07551416666667e-05,-2.07551416666667e-05,-2.07551416666667e-05
1768,-3.079405e-05,-3.079405e-05,-3.079405e-05,-3.079405e-05
1769,-4.06478583333333e-05,-4.06478583333333e-05,-4.06478583333333e-05,-4.06478583333333e-05
1770,-5.03167433333333e-05,-5.03167433333333e-05,-5.03167433333333e-05,-5.03167433333333e-05
1771,-5.98009183333333e-05,-5.98009183333333e-05,-5.98009183333333e-05,-5.98009183333333e-05
1772,-6.91006383333333e-05,-6.91006383333333e-05,-6.91006383333333e-05,-6.91006383333333e-05
1773,-7.82161933333333e-05,-7.82161933333333e-05,-7.82161933333333e-05,-7.82161933333333e-05
1774,-8.7147915e-05,-8.7147915e-05,-8.7147915e-05,-8.7147915e-05
1775,-9.58961733333333e-05,-9.58961733333333e-05,-9.58961733333333e-05,-9.58961733333333e-05
1776,-0.000104461373333333,-0.000104461373333333,-0.000104461373333333,-0.000104461373333333
1777,-0.000112843963333333,-0.000112843963333333,-0.000112843963333333,-0.000112843963333333
1778,-0.000121044428333333,-0.000121044428333333,-0.000121044428333333,-0.000121044428333333
1779,-0.000129063291666667,-0.000129063291666667,-0.000129063291666667,-0.000129063291666667
1780,-0.000136901116666667,-0.000136901116666667,-0.000136901116666667,-0.000136901116666667
1781,-0.000144558501666667,-0.000144558501666667,-0.000144558501666667,-0.000144558501666667
1782,-0.000152036091666667,-0.000152036091666667,-0.000152036091666667,-0.000152036091666667
1783,-0.000159334561666667,-0.000159334561666667,-0.000159334561666667,-0.000159334561666667
1784,-0.00016645463,-0.00016645463,-0.00016645463,-0.00016645463
1785,-0.00017339705,-0.00017339705,-0.00017339705,-0.00017339705
1786,-0.000180162633333333,-0.000180162633333333,-0.000180162633333333,-0.000180162633333333
1787,-0.000186752183333333,-0.000186752183333333,-0.000186752183333333,-0.000186752183333333
1788,-0.000193166616666667,-0.000193166616666667,-0.000193166616666667,-0.000193166616666667
1789,-0.0001994068,-0.0001994068,-0.0001994068,-0.0001994068
1790,-0.000205473716666667,-0.000205473716666667,-0.000205473716666667,-0.000205473716666667
1791,-0.00021136835,-0.00021136835,-0.00021136835,-0.00021136835
1792,-0.000217091716666667,-0.000217091716666667,-0.000217091716666667,-0.000217091716666667
1793,-0.0002226449,-0.0002226449,-0.0002226449,-0.0002226449
1794,-0.000228029,-0.000228029,-0.000228029,-0.000228029
