"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-6.70090133333333e-07,-6.70090133333333e-07,-6.70090133333333e-07,-6.70090133333333e-07
1767,-6.85380933333333e-07,-6.85380933333333e-07,-6.85380933333333e-07,-6.85380933333333e-07
1768,-4.81183316666667e-08,-4.81183316666667e-08,-4.81183316666667e-08,-4.81183316666667e-08
1769,1.24172406666667e-06,1.24172406666667e-06,1.24172406666667e-06,1.24172406666667e-06
1770,3.18415033333333e-06,3.18415033333333e-06,3.18415033333333e-06,3.18415033333333e-06
1771,5.77916633333333e-06,5.77916633333333e-06,5.77916633333333e-06,5.77916633333333e-06
1772,9.02677916666667e-06,9.02677916666667e-06,9.02677916666667e-06,9.02677916666667e-06
1773,1.29269975e-05,1.29269975e-05,1.29269975e-05,1.29269975e-05
1774,1.74798316666667e-05,1.74798316666667e-05,1.74798316666667e-05,1.74798316666667e-05
1775,2.26852933333333e-05,2.26852933333333e-05,2.26852933333333e-05,2.26852933333333e-05
1776,2.85433933333333e-05,2.85433933333333e-05,2.85433933333333e-05,2.85433933333333e-05
1777,3.505415e-05,3.505415e-05,3.505415e-05,3.505415e-05
1778,4.22175766666667e-05,4.22175766666667e-05,4.22175766666667e-05,4.22175766666667e-05
1779,5.003369e-05,5.003369e-05,5.003369e-05,5.003369e-05
1780,5.85025116666667e-05,5.85025116666667e-05,5.85025116666667e-05,5.85025116666667e-05
1781,6.762406e-05,6.762406e-05,6.762406e-05,6.762406e-05
1782,7.7398355e-05,7.7398355e-05,7.7398355e-05,7.7398355e-05
1783,8.78254233333333e-05,8.78254233333333e-05,8.78254233333333e-05,8.78254233333333e-05
1784,9.89052883333333e-05,9.89052883333333e-05,9.89052883333333e-05,9.89052883333333e-05
1785,0.000110637973333333,0.000110637973333333,0.000110637973333333,0.000110637973333333
1786,0.00012302351,0.00012302351,0.00012302351,0.00012302351
1787,0.000136061925,0.000136061925,0.000136061925,0.000136061925
1788,0.00014975325,0.00014975325,0.00014975325,0.00014975325
1789,0.000164097515,0.000164097515,0.000164097515,0.000164097515
1790,0.00017909475,0.00017909475,0.00017909475,0.00017909475
1791,0.000194745,0.000194745,0.000194745,0.000194745
1792,0.0002110483,0.0002110483,0.0002110483,0.0002110483
1793,0.000228004666666667,0.000228004666666667,0.000228004666666667,0.000228004666666667
1794,0.000245614166666667,0.000245614166666667,0.000245614166666667,0.000245614166666667
1795,0.000263876833333333,0.000263876833333333,0.000263876833333333,0.000263876833333333
1796,0.0002827927,0.0002827927,0.0002827927,0.0002827927
1797,0.000302361816666667,0.000302361816666667,0.000302361816666667,0.000302361816666667
1798,0.000322584216666667,0.000322584216666667,0.000322584216666667,0.000322584216666667
1799,0.000343459966666667,0.000343459966666667,0.000343459966666667,0.000343459966666667
1800,0.0003649891,0.0003649891,0.0003649891,0.0003649891
1801,0.000387171666666667,0.000387171666666667,0.000387171666666667,0.000387171666666667
1802,0.000410007733333333,0.000410007733333333,0.000410007733333333,0.000410007733333333
1803,0.000433497333333333,0.000433497333333333,0.000433497333333333,0.000433497333333333
1804,0.000457640516666667,0.000457640516666667,0.000457640516666667,0.000457640516666667
1805,0.000482437366666667,0.000482437366666667,0.000482437366666667,0.000482437366666667
1806,0.0005078879,0.0005078879,0.0005078879,0.0005078879
1807,0.0005339922,0.0005339922,0.0005339922,0.0005339922
1808,0.000560750333333333,0.000560750333333333,0.000560750333333333,0.000560750333333333
1809,0.00058816235,0.00058816235,0.00058816235,0.00058816235
1810,0.0006162283,0.0006162283,0.0006162283,0.0006162283
1811,0.000644948266666667,0.000644948266666667,0.000644948266666667,0.000644948266666667
1812,0.000674322316666667,0.000674322316666667,0.000674322316666667,0.000674322316666667
1813,0.0007043505,0.0007043505,0.0007043505,0.0007043505
1814,0.000735032883333333,0.000735032883333333,0.000735032883333333,0.000735032883333333
1815,0.00076636955,0.00076636955,0.00076636955,0.00076636955
1816,0.000798360583333333,0.000798360583333333,0.000798360583333333,0.000798360583333333
1817,0.000831006016666667,0.000831006016666667,0.000831006016666667,0.000831006016666667
1818,0.000864305966666667,0.000864305966666667,0.000864305966666667,0.000864305966666667
1819,0.000898260483333333,0.000898260483333333,0.000898260483333333,0.000898260483333333
1820,0.000932869633333333,0.000932869633333333,0.000932869633333333,0.000932869633333333
1821,0.000968133533333333,0.000968133533333333,0.000968133533333333,0.000968133533333333
1822,0.00100405223333333,0.00100405223333333,0.00100405223333333,0.00100405223333333
1823,0.00104062581666667,0.00104062581666667,0.00104062581666667,0.00104062581666667
1824,0.00107785436666667,0.00107785436666667,0.00107785436666667,0.00107785436666667
1825,0.00111573798333333,0.00111573798333333,0.00111573798333333,0.00111573798333333
1826,0.00115427675,0.00115427675,0.00115427675,0.00115427675
1827,0.00119347073333333,0.00119347073333333,0.00119347073333333,0.00119347073333333
1828,0.00123332003333333,0.00123332003333333,0.00123332003333333,0.00123332003333333
1829,0.00127382473333333,0.00127382473333333,0.00127382473333333,0.00127382473333333
1830,0.00131498495,0.00131498495,0.00131498495,0.00131498495
1831,0.00135680075,0.00135680075,0.00135680075,0.00135680075
1832,0.00139927223333333,0.00139927223333333,0.00139927223333333,0.00139927223333333
1833,0.0014423995,0.0014423995,0.0014423995,0.0014423995
1834,0.00148618265,0.00148618265,0.00148618265,0.00148618265
1835,0.00153062178333333,0.00153062178333333,0.00153062178333333,0.00153062178333333
1836,0.00157571698333333,0.00157571698333333,0.00157571698333333,0.00157571698333333
1837,0.00162146838333333,0.00162146838333333,0.00162146838333333,0.00162146838333333
1838,0.001667876,0.001667876,0.001667876,0.001667876
1839,0.00171494016666667,0.00171494016666667,0.00171494016666667,0.00171494016666667
1840,0.00176266066666667,0.00176266066666667,0.00176266066666667,0.00176266066666667
1841,0.00181103783333333,0.00181103783333333,0.00181103783333333,0.00181103783333333
1842,0.00186007166666667,0.00186007166666667,0.00186007166666667,0.00186007166666667
1843,0.00190976233333333,0.00190976233333333,0.00190976233333333,0.00190976233333333
1844,0.00196011,0.00196011,0.00196011,0.00196011
1845,0.00201111466666667,0.00201111466666667,0.00201111466666667,0.00201111466666667
1846,0.0020627765,0.0020627765,0.0020627765,0.0020627765
1847,0.00211509566666667,0.00211509566666667,0.00211509566666667,0.00211509566666667
1848,0.00216807216666667,0.00216807216666667,0.00216807216666667,0.00216807216666667
1849,0.00222170616666667,0.00222170616666667,0.00222170616666667,0.00222170616666667
1850,0.00227599783333333,0.00227599783333333,0.00227599783333333,0.00227599783333333
1851,0.0023324925,0.0023324925,0.0023324925,0.0023324925
1852,0.002380748,0.002380748,0.002380748,0.002380748
1853,0.00244205366666667,0.00244205366666667,0.00244205366666667,0.00244205366666667
1854,0.0025032195,0.0025032195,0.0025032195,0.0025032195
1855,0.00256427633333333,0.00256427633333333,0.00256427633333333,0.00256427633333333
1856,0.00262414683333333,0.00262414683333333,0.00262414683333333,0.00262414683333333
1857,0.00268466383333333,0.00268466383333333,0.00268466383333333,0.00268466383333333
1858,0.00274587183333333,0.00274587183333333,0.00274587183333333,0.00274587183333333
1859,0.002807695,0.002807695,0.002807695,0.002807695
1860,0.00287017683333333,0.00287017683333333,0.00287017683333333,0.00287017683333333
1861,0.00293267083333333,0.00293267083333333,0.00293267083333333,0.00293267083333333
1862,0.00300431266666667,0.00300431266666667,0.00300431266666667,0.00300431266666667
1863,0.00306239783333333,0.00306239783333333,0.00306239783333333,0.00306239783333333
1864,0.00312046933333333,0.00312046933333333,0.00312046933333333,0.00312046933333333
1865,0.00317855866666667,0.00317855866666667,0.00317855866666667,0.00317855866666667
1866,0.00323680033333333,0.00323680033333333,0.00323680033333333,0.00323680033333333
1867,0.00329526666666667,0.00329526666666667,0.00329526666666667,0.00329526666666667
1868,0.00335353233333333,0.00335353233333333,0.00335353233333333,0.00335353233333333
1869,0.00341164233333333,0.00341164233333333,0.00341164233333333,0.00341164233333333
1870,0.00346952866666667,0.00346952866666667,0.00346952866666667,0.00346952866666667
1871,0.003524874,0.003524874,0.003524874,0.003524874
1872,0.003574699,0.003574699,0.003574699,0.003574699
1873,0.00364308233333333,0.00364308233333333,0.00364308233333333,0.00364308233333333
1874,0.0037131075,0.0037131075,0.0037131075,0.0037131075
1875,0.003783883,0.003783883,0.003783883,0.003783883
1876,0.00385551833333333,0.00385551833333333,0.00385551833333333,0.00385551833333333
1877,0.003927972,0.003927972,0.003927972,0.003927972
1878,0.00400117233333333,0.00400117233333333,0.00400117233333333,0.00400117233333333
1879,0.00407518483333333,0.00407518483333333,0.00407518483333333,0.00407518483333333
1880,0.0041500275,0.0041500275,0.0041500275,0.0041500275
1881,0.00422287133333333,0.00422287133333333,0.00422287133333333,0.00422287133333333
1882,0.00430814616666667,0.00430814616666667,0.00430814616666667,0.00430814616666667
1883,0.00438193083333333,0.00438193083333333,0.00438193083333333,0.00438193083333333
1884,0.0044562465,0.0044562465,0.0044562465,0.0044562465
1885,0.00453107483333333,0.00453107483333333,0.00453107483333333,0.00453107483333333
1886,0.004606442,0.004606442,0.004606442,0.004606442
1887,0.0046824125,0.0046824125,0.0046824125,0.0046824125
1888,0.00475832383333333,0.00475832383333333,0.00475832383333333,0.00475832383333333
1889,0.004834079,0.004834079,0.004834079,0.004834079
1890,0.004909641,0.004909641,0.004909641,0.004909641
1891,0.00498503916666667,0.00498503916666667,0.00498503916666667,0.00498503916666667
1892,0.00505844416666667,0.00505844416666667,0.00505844416666667,0.00505844416666667
1893,0.00513492633333333,0.00513492633333333,0.00513492633333333,0.00513492633333333
1894,0.0052097065,0.0052097065,0.0052097065,0.0052097065
1895,0.005287959,0.005287959,0.005287959,0.005287959
1896,0.005366987,0.005366987,0.005366987,0.005366987
1897,0.00544607083333333,0.00544607083333333,0.00544607083333333,0.00544607083333333
1898,0.005525799,0.005525799,0.005525799,0.005525799
1899,0.0056057395,0.0056057395,0.0056057395,0.0056057395
1900,0.0056858605,0.0056858605,0.0056858605,0.0056858605
1901,0.00575999183333333,0.00575999183333333,0.00575999183333333,0.00575999183333333
1902,0.00584651433333333,0.00584651433333333,0.00584651433333333,0.00584651433333333
1903,0.00593005533333333,0.00593005533333333,0.00593005533333333,0.00593005533333333
1904,0.00601679283333333,0.00601679283333333,0.00601679283333333,0.00601679283333333
1905,0.0061062125,0.0061062125,0.0061062125,0.0061062125
1906,0.00619763883333333,0.00619763883333333,0.00619763883333333,0.00619763883333333
1907,0.00629481516666667,0.00629481516666667,0.00629481516666667,0.00629481516666667
1908,0.00639283116666667,0.00639283116666667,0.00639283116666667,0.00639283116666667
1909,0.00649201233333333,0.00649201233333333,0.00649201233333333,0.00649201233333333
1910,0.00659210966666667,0.00659210966666667,0.00659210966666667,0.00659210966666667
1911,0.00669877466666667,0.00669877466666667,0.00669877466666667,0.00669877466666667
1912,0.00679861016666667,0.00679861016666667,0.00679861016666667,0.00679861016666667
1913,0.0068938605,0.0068938605,0.0068938605,0.0068938605
1914,0.0069839635,0.0069839635,0.0069839635,0.0069839635
1915,0.00707318066666667,0.00707318066666667,0.00707318066666667,0.00707318066666667
1916,0.00715985883333333,0.00715985883333333,0.00715985883333333,0.00715985883333333
1917,0.0072467525,0.0072467525,0.0072467525,0.0072467525
1918,0.00733403133333333,0.00733403133333333,0.00733403133333333,0.00733403133333333
1919,0.00742142016666667,0.00742142016666667,0.00742142016666667,0.00742142016666667
1920,0.00750994583333333,0.00750994583333333,0.00750994583333333,0.00750994583333333
1921,0.007594346,0.007594346,0.007594346,0.007594346
1922,0.00768895433333333,0.00768895433333333,0.00768895433333333,0.00768895433333333
