"year","rcp26","rcp45","rcp60","rcp85"
1765,1681.525,1681.525,1681.525,1681.525
1766,1681.525,1681.525,1681.525,1681.525
1767,1681.5237,1681.5237,1681.5237,1681.5237
1768,1681.521,1681.521,1681.521,1681.521
1769,1681.517,1681.517,1681.517,1681.517
1770,1681.5117,1681.5117,1681.5117,1681.5117
1771,1681.505,1681.505,1681.505,1681.505
1772,1681.4971,1681.4971,1681.4971,1681.4971
1773,1681.4877,1681.4877,1681.4877,1681.4877
1774,1681.4771,1681.4771,1681.4771,1681.4771
1775,1681.4651,1681.4651,1681.4651,1681.4651
1776,1681.4518,1681.4518,1681.4518,1681.4518
1777,1681.4372,1681.4372,1681.4372,1681.4372
1778,1681.4212,1681.4212,1681.4212,1681.4212
1779,1681.4039,1681.4039,1681.4039,1681.4039
1780,1681.3853,1681.3853,1681.3853,1681.3853
1781,1681.3653,1681.3653,1681.3653,1681.3653
1782,1681.344,1681.344,1681.344,1681.344
1783,1681.3214,1681.3214,1681.3214,1681.3214
1784,1681.2975,1681.2975,1681.2975,1681.2975
1785,1681.2722,1681.2722,1681.2722,1681.2722
1786,1681.2456,1681.2456,1681.2456,1681.2456
1787,1681.2176,1681.2176,1681.2176,1681.2176
1788,1681.1884,1681.1884,1681.1884,1681.1884
1789,1681.1578,1681.1578,1681.1578,1681.1578
1790,1681.1258,1681.1258,1681.1258,1681.1258
1791,1681.0926,1681.0926,1681.0926,1681.0926
1792,1681.058,1681.058,1681.058,1681.058
1793,1681.022,1681.022,1681.022,1681.022
1794,1680.9848,1680.9848,1680.9848,1680.9848
1795,1680.9462,1680.9462,1680.9462,1680.9462
1796,1680.9063,1680.9063,1680.9063,1680.9063
1797,1680.865,1680.865,1680.865,1680.865
1798,1680.8225,1680.8225,1680.8225,1680.8225
1799,1680.7786,1680.7786,1680.7786,1680.7786
1800,1680.7333,1680.7333,1680.7333,1680.7333
1801,1680.6867,1680.6867,1680.6867,1680.6867
1802,1680.6388,1680.6388,1680.6388,1680.6388
1803,1680.5896,1680.5896,1680.5896,1680.5896
1804,1680.5391,1680.5391,1680.5391,1680.5391
1805,1680.4872,1680.4872,1680.4872,1680.4872
1806,1680.4339,1680.4339,1680.4339,1680.4339
1807,1680.3794,1680.3794,1680.3794,1680.3794
1808,1680.3235,1680.3235,1680.3235,1680.3235
1809,1680.2663,1680.2663,1680.2663,1680.2663
1810,1680.2077,1680.2077,1680.2077,1680.2077
1811,1680.1479,1680.1479,1680.1479,1680.1479
1812,1680.0867,1680.0867,1680.0867,1680.0867
1813,1680.0241,1680.0241,1680.0241,1680.0241
1814,1679.9603,1679.9603,1679.9603,1679.9603
1815,1679.8951,1679.8951,1679.8951,1679.8951
1816,1679.8285,1679.8285,1679.8285,1679.8285
1817,1679.7607,1679.7607,1679.7607,1679.7607
1818,1679.6915,1679.6915,1679.6915,1679.6915
1819,1679.621,1679.621,1679.621,1679.621
1820,1679.5491,1679.5491,1679.5491,1679.5491
1821,1679.4759,1679.4759,1679.4759,1679.4759
1822,1679.4014,1679.4014,1679.4014,1679.4014
1823,1679.3256,1679.3256,1679.3256,1679.3256
1824,1679.2484,1679.2484,1679.2484,1679.2484
1825,1679.1699,1679.1699,1679.1699,1679.1699
1826,1679.0901,1679.0901,1679.0901,1679.0901
1827,1679.0089,1679.0089,1679.0089,1679.0089
1828,1678.9264,1678.9264,1678.9264,1678.9264
