"year","rcp26","rcp45","rcp60","rcp85"
1765,-0.02835875,-0.02835875,-0.02835875,-0.02835875
1766,-0.01302875,-0.01302875,-0.01302875,-0.01302875
1767,0.0271075,0.0271075,0.0271075,0.0271075
1768,0.06540625,0.06540625,0.06540625,0.06540625
1769,0.08180375,0.08180375,0.08180375,0.08180375
1770,0.0727125,0.0727125,0.0727125,0.0727125
1771,0.05707625,0.05707625,0.05707625,0.05707625
1772,0.03159625,0.03159625,0.03159625,0.03159625
1773,0.0091,0.0091,0.0091,0.0091
1774,-0.0062125,-0.0062125,-0.0062125,-0.0062125
1775,-0.01341375,-0.01341375,-0.01341375,-0.01341375
1776,0.0055125,0.0055125,0.0055125,0.0055125
1777,0.0397775,0.0397775,0.0397775,0.0397775
1778,0.06496,0.06496,0.06496,0.06496
1779,0.0544425,0.0544425,0.0544425,0.0544425
1780,0.048615,0.048615,0.048615,0.048615
1781,0.035175,0.035175,0.035175,0.035175
1782,0.003815,0.003815,0.003815,0.003815
1783,-0.01588125,-0.01588125,-0.01588125,-0.01588125
1784,-0.02223375,-0.02223375,-0.02223375,-0.02223375
1785,0.01028125,0.01028125,0.01028125,0.01028125
1786,0.0520975,0.0520975,0.0520975,0.0520975
1787,0.06188875,0.06188875,0.06188875,0.06188875
1788,0.05539625,0.05539625,0.05539625,0.05539625
1789,0.0449225,0.0449225,0.0449225,0.0449225
1790,0.0231,0.0231,0.0231,0.0231
1791,0.00872375,0.00872375,0.00872375,0.00872375
1792,0.005705,0.005705,0.005705,0.005705
1793,-0.00431375,-0.00431375,-0.00431375,-0.00431375
1794,-0.022785,-0.022785,-0.022785,-0.022785
1795,-0.03563,-0.03563,-0.03563,-0.03563
1796,-0.042875,-0.042875,-0.042875,-0.042875
1797,-0.04970875,-0.04970875,-0.04970875,-0.04970875
1798,-0.05135375,-0.05135375,-0.05135375,-0.05135375
1799,-0.04725875,-0.04725875,-0.04725875,-0.04725875
1800,-0.01988875,-0.01988875,-0.01988875,-0.01988875
1801,-0.00671125,-0.00671125,-0.00671125,-0.00671125
1802,-0.0289275,-0.0289275,-0.0289275,-0.0289275
1803,-0.0401625,-0.0401625,-0.0401625,-0.0401625
1804,-0.03891125,-0.03891125,-0.03891125,-0.03891125
1805,-0.04654125,-0.04654125,-0.04654125,-0.04654125
1806,-0.0609875,-0.0609875,-0.0609875,-0.0609875
1807,-0.06909875,-0.06909875,-0.06909875,-0.06909875
1808,-0.07373625,-0.07373625,-0.07373625,-0.07373625
1809,-0.07692125,-0.07692125,-0.07692125,-0.07692125
1810,-0.07655375,-0.07655375,-0.07655375,-0.07655375
1811,-0.071855,-0.071855,-0.071855,-0.071855
1812,-0.06402375,-0.06402375,-0.06402375,-0.06402375
1813,-0.05768875,-0.05768875,-0.05768875,-0.05768875
1814,-0.050785,-0.050785,-0.050785,-0.050785
1815,-0.03756375,-0.03756375,-0.03756375,-0.03756375
1816,-0.03149125,-0.03149125,-0.03149125,-0.03149125
1817,-0.0380275,-0.0380275,-0.0380275,-0.0380275
1818,-0.0435575,-0.0435575,-0.0435575,-0.0435575
1819,-0.04976125,-0.04976125,-0.04976125,-0.04976125
1820,-0.05653375,-0.05653375,-0.05653375,-0.05653375
1821,-0.05634125,-0.05634125,-0.05634125,-0.05634125
1822,-0.0538125,-0.0538125,-0.0538125,-0.0538125
1823,-0.04977875,-0.04977875,-0.04977875,-0.04977875
1824,-0.03976875,-0.03976875,-0.03976875,-0.03976875
1825,-0.02431625,-0.02431625,-0.02431625,-0.02431625
1826,-0.00555625,-0.00555625,-0.00555625,-0.00555625
1827,0.01183,0.01183,0.01183,0.01183
1828,0.0210525,0.0210525,0.0210525,0.0210525
1829,0.02620625,0.02620625,0.02620625,0.02620625
1830,0.01535625,0.01535625,0.01535625,0.01535625
1831,-0.00800625,-0.00800625,-0.00800625,-0.00800625
1832,-0.02527,-0.02527,-0.02527,-0.02527
1833,-0.03051125,-0.03051125,-0.03051125,-0.03051125
1834,-0.0045675,-0.0045675,-0.0045675,-0.0045675
1835,0.05166875,0.05166875,0.05166875,0.05166875
1836,0.09148125,0.09148125,0.09148125,0.09148125
1837,0.07926625,0.07926625,0.07926625,0.07926625
1838,0.0534275,0.0534275,0.0534275,0.0534275
1839,0.036015,0.036015,0.036015,0.036015
1840,0.01253,0.01253,0.01253,0.01253
1841,-0.00555625,-0.00555625,-0.00555625,-0.00555625
1842,-0.01652,-0.01652,-0.01652,-0.01652
1843,-0.01999375,-0.01999375,-0.01999375,-0.01999375
1844,-0.0061425,-0.0061425,-0.0061425,-0.0061425
1845,0.0136325,0.0136325,0.0136325,0.0136325
1846,0.0310975,0.0310975,0.0310975,0.0310975
1847,0.057155,0.057155,0.057155,0.057155
1848,0.07356125,0.07356125,0.07356125,0.07356125
1849,0.055335,0.055335,0.055335,0.055335
1850,0.03829875,0.03829875,0.03829875,0.03829875
1851,0.0317275,0.0317275,0.0317275,0.0317275
1852,0.0151375,0.0151375,0.0151375,0.0151375
1853,-0.00527625,-0.00527625,-0.00527625,-0.00527625
1854,-0.02295125,-0.02295125,-0.02295125,-0.02295125
1855,-0.02961,-0.02961,-0.02961,-0.02961
1856,-0.0198275,-0.0198275,-0.0198275,-0.0198275
1857,0.006615,0.006615,0.006615,0.006615
1858,0.04256,0.04256,0.04256,0.04256
1859,0.06743625,0.06743625,0.06743625,0.06743625
1860,0.063665,0.063665,0.063665,0.063665
1861,0.0409325,0.0409325,0.0409325,0.0409325
1862,0.0204575,0.0204575,0.0204575,0.0204575
1863,0.0076825,0.0076825,0.0076825,0.0076825
1864,-0.0056875,-0.0056875,-0.0056875,-0.0056875
1865,-0.01917125,-0.01917125,-0.01917125,-0.01917125
1866,-0.02930375,-0.02930375,-0.02930375,-0.02930375
1867,-0.0198975,-0.0198975,-0.0198975,-0.0198975
1868,0.0147525,0.0147525,0.0147525,0.0147525
1869,0.056315,0.056315,0.056315,0.056315
1870,0.0719425,0.0719425,0.0719425,0.0719425
1871,0.0625975,0.0625975,0.0625975,0.0625975
1872,0.04092375,0.04092375,0.04092375,0.04092375
1873,0.01210125,0.01210125,0.01210125,0.01210125
1874,-0.012145,-0.012145,-0.012145,-0.012145
1875,-0.02954875,-0.02954875,-0.02954875,-0.02954875
1876,-0.033915,-0.033915,-0.033915,-0.033915
1877,-0.0364,-0.0364,-0.0364,-0.0364
1878,-0.03695125,-0.03695125,-0.03695125,-0.03695125
1879,-0.022155,-0.022155,-0.022155,-0.022155
1880,0.0033075,0.0033075,0.0033075,0.0033075
1881,0.0179725,0.0179725,0.0179725,0.0179725
1882,0.0241325,0.0241325,0.0241325,0.0241325
1883,0.01967,0.01967,0.01967,0.01967
1884,0.00149625,0.00149625,0.00149625,0.00149625
1885,-0.0225575,-0.0225575,-0.0225575,-0.0225575
1886,-0.0408275,-0.0408275,-0.0408275,-0.0408275
1887,-0.04773125,-0.04773125,-0.04773125,-0.04773125
1888,-0.05331375,-0.05331375,-0.05331375,-0.05331375
1889,-0.05277125,-0.05277125,-0.05277125,-0.05277125
1890,-0.02774625,-0.02774625,-0.02774625,-0.02774625
1891,0.00287875,0.00287875,0.00287875,0.00287875
1892,0.02384375,0.02384375,0.02384375,0.02384375
1893,0.04452,0.04452,0.04452,0.04452
1894,0.0426825,0.0426825,0.0426825,0.0426825
1895,0.0166775,0.0166775,0.0166775,0.0166775
1896,-0.0118825,-0.0118825,-0.0118825,-0.0118825
1897,-0.0266,-0.0266,-0.0266,-0.0266
1898,-0.03311875,-0.03311875,-0.03311875,-0.03311875
1899,-0.0403375,-0.0403375,-0.0403375,-0.0403375
1900,-0.04986625,-0.04986625,-0.04986625,-0.04986625
1901,-0.05595625,-0.05595625,-0.05595625,-0.05595625
1902,-0.03682,-0.03682,-0.03682,-0.03682
1903,0.0051975,0.0051975,0.0051975,0.0051975
1904,0.0123025,0.0123025,0.0123025,0.0123025
1905,0.01295875,0.01295875,0.01295875,0.01295875
1906,0.02001125,0.02001125,0.02001125,0.02001125
1907,0.015575,0.015575,0.015575,0.015575
1908,0.01159375,0.01159375,0.01159375,0.01159375
1909,-0.0097475,-0.0097475,-0.0097475,-0.0097475
1910,-0.02872625,-0.02872625,-0.02872625,-0.02872625
1911,-0.0400925,-0.0400925,-0.0400925,-0.0400925
1912,-0.0427,-0.0427,-0.0427,-0.0427
1913,-0.0354025,-0.0354025,-0.0354025,-0.0354025
1914,-0.00289625,-0.00289625,-0.00289625,-0.00289625
1915,0.04213125,0.04213125,0.04213125,0.04213125
1916,0.07354375,0.07354375,0.07354375,0.07354375
1917,0.08322125,0.08322125,0.08322125,0.08322125
1918,0.05978875,0.05978875,0.05978875,0.05978875
1919,0.02550625,0.02550625,0.02550625,0.02550625
1920,0.0021,0.0021,0.0021,0.0021
1921,-0.0174125,-0.0174125,-0.0174125,-0.0174125
1922,-0.024955,-0.024955,-0.024955,-0.024955
1923,-0.01941625,-0.01941625,-0.01941625,-0.01941625
1924,0.0012075,0.0012075,0.0012075,0.0012075
1925,0.0279125,0.0279125,0.0279125,0.0279125
1926,0.052815,0.052815,0.052815,0.052815
1927,0.05817,0.05817,0.05817,0.05817
1928,0.04386375,0.04386375,0.04386375,0.04386375
1929,0.03870125,0.03870125,0.03870125,0.03870125
1930,0.0264775,0.0264775,0.0264775,0.0264775
1931,0.00643125,0.00643125,0.00643125,0.00643125
1932,-0.01351875,-0.01351875,-0.01351875,-0.01351875
1933,-0.0142975,-0.0142975,-0.0142975,-0.0142975
1934,0.01442875,0.01442875,0.01442875,0.01442875
1935,0.06743625,0.06743625,0.06743625,0.06743625
1936,0.09576,0.09576,0.09576,0.09576
1937,0.0843675,0.0843675,0.0843675,0.0843675
1938,0.0772975,0.0772975,0.0772975,0.0772975
1939,0.07039375,0.07039375,0.07039375,0.07039375
1940,0.057995,0.057995,0.057995,0.057995
1941,0.04204375,0.04204375,0.04204375,0.04204375
1942,0.01920625,0.01920625,0.01920625,0.01920625
1943,0.008015,0.008015,0.008015,0.008015
1944,0.03399375,0.03399375,0.03399375,0.03399375
1945,0.06594,0.06594,0.06594,0.06594
1946,0.09547125,0.09547125,0.09547125,0.09547125
1947,0.1278375,0.1278375,0.1278375,0.1278375
1948,0.131075,0.131075,0.131075,0.131075
1949,0.10168375,0.10168375,0.10168375,0.10168375
1950,0.05977125,0.05977125,0.05977125,0.05977125
1951,0.03829,0.03829,0.03829,0.03829
1952,0.02533125,0.02533125,0.02533125,0.02533125
1953,0.01560125,0.01560125,0.01560125,0.01560125
1954,0.02863,0.02863,0.02863,0.02863
1955,0.08589875,0.08589875,0.08589875,0.08589875
1956,0.16384375,0.16384375,0.16384375,0.16384375
1957,0.19201,0.19201,0.19201,0.19201
1958,0.16704625,0.16704625,0.16704625,0.16704625
1959,0.1358875,0.1358875,0.1358875,0.1358875
1960,0.09538375,0.09538375,0.09538375,0.09538375
1961,0.0491575,0.0491575,0.0491575,0.0491575
1962,0.0295925,0.0295925,0.0295925,0.0295925
1963,0.0251475,0.0251475,0.0251475,0.0251475
1964,0.028455,0.028455,0.028455,0.028455
1965,0.0477225,0.0477225,0.0477225,0.0477225
1966,0.08099,0.08099,0.08099,0.08099
1967,0.1025675,0.1025675,0.1025675,0.1025675
1968,0.11423125,0.11423125,0.11423125,0.11423125
1969,0.12107375,0.12107375,0.12107375,0.12107375
1970,0.09573375,0.09573375,0.09573375,0.09573375
1971,0.0791,0.0791,0.0791,0.0791
1972,0.06519625,0.06519625,0.06519625,0.06519625
1973,0.03672375,0.03672375,0.03672375,0.03672375
1974,0.01357125,0.01357125,0.01357125,0.01357125
1975,0.00641375,0.00641375,0.00641375,0.00641375
1976,0.03254125,0.03254125,0.03254125,0.03254125
1977,0.08761375,0.08761375,0.08761375,0.08761375
1978,0.1577625,0.1577625,0.1577625,0.1577625
1979,0.19044375,0.19044375,0.19044375,0.19044375
1980,0.19572,0.19572,0.19572,0.19572
1981,0.16401875,0.16401875,0.16401875,0.16401875
1982,0.1206275,0.1206275,0.1206275,0.1206275
1983,0.0790125,0.0790125,0.0790125,0.0790125
1984,0.0302225,0.0302225,0.0302225,0.0302225
1985,0.0151375,0.0151375,0.0151375,0.0151375
1986,0.02811375,0.02811375,0.02811375,0.02811375
1987,0.067025,0.067025,0.067025,0.067025
1988,0.1421,0.1421,0.1421,0.1421
1989,0.18328625,0.18328625,0.18328625,0.18328625
1990,0.16559375,0.16559375,0.16559375,0.16559375
1991,0.14361375,0.14361375,0.14361375,0.14361375
1992,0.1071175,0.1071175,0.1071175,0.1071175
1993,0.06293,0.06293,0.06293,0.06293
1994,0.0341425,0.0341425,0.0341425,0.0341425
1995,0.017955,0.017955,0.017955,0.017955
1996,0.02148125,0.02148125,0.02148125,0.02148125
1997,0.06435625,0.06435625,0.06435625,0.06435625
1998,0.12081125,0.12081125,0.12081125,0.12081125
1999,0.1716925,0.1716925,0.1716925,0.1716925
2000,0.19068875,0.19068875,0.19068875,0.19068875
2001,0.190435,0.190435,0.190435,0.190435
2002,0.1578675,0.1578675,0.1578675,0.1578675
2003,0.10250625,0.10250625,0.10250625,0.10250625
2004,0.06965,0.06965,0.06965,0.06965
2005,0.04888625,0.04888625,0.04888625,0.04888625
2006,0.0374675,0.0374675,0.0374675,0.0374675
2007,0.02706375,0.02706375,0.02706375,0.02706375
2008,0.02424625,0.02424625,0.02424625,0.02424625
2009,0.12081125,0.12081125,0.12081125,0.12081125
2010,0.10375591,0.10375591,0.10375591,0.10375591
2011,0.10375591,0.10375591,0.10375591,0.10375591
2012,0.10375591,0.10375591,0.10375591,0.10375591
2013,0.10375591,0.10375591,0.10375591,0.10375591
2014,0.10375591,0.10375591,0.10375591,0.10375591
2015,0.10375591,0.10375591,0.10375591,0.10375591
2016,0.10375591,0.10375591,0.10375591,0.10375591
2017,0.10375591,0.10375591,0.10375591,0.10375591
2018,0.10375591,0.10375591,0.10375591,0.10375591
2019,0.10375591,0.10375591,0.10375591,0.10375591
2020,0.10375591,0.10375591,0.10375591,0.10375591
2021,0.10375591,0.10375591,0.10375591,0.10375591
2022,0.10375591,0.10375591,0.10375591,0.10375591
2023,0.10375591,0.10375591,0.10375591,0.10375591
2024,0.10375591,0.10375591,0.10375591,0.10375591
2025,0.10375591,0.10375591,0.10375591,0.10375591
2026,0.10375591,0.10375591,0.10375591,0.10375591
2027,0.10375591,0.10375591,0.10375591,0.10375591
2028,0.10375591,0.10375591,0.10375591,0.10375591
2029,0.10375591,0.10375591,0.10375591,0.10375591
2030,0.10375591,0.10375591,0.10375591,0.10375591
2031,0.10375591,0.10375591,0.10375591,0.10375591
2032,0.10375591,0.10375591,0.10375591,0.10375591
2033,0.10375591,0.10375591,0.10375591,0.10375591
2034,0.10375591,0.10375591,0.10375591,0.10375591
2035,0.10375591,0.10375591,0.10375591,0.10375591
2036,0.10375591,0.10375591,0.10375591,0.10375591
