,rcp26,rcp45,rcp60,rcp85
1765,-0.02835875,-0.02835875,-0.02835875,-0.02835875
1766,-0.02069375,-0.02069375,-0.02069375,-0.02069375
1767,0.007039375,0.007039375,0.007039375,0.007039375
1768,0.046256875,0.046256875,0.046256875,0.046256875
1769,0.073605,0.073605,0.073605,0.073605
1770,0.077258125,0.077258125,0.077258125,0.077258125
1771,0.064894375,0.064894375,0.064894375,0.064894375
1772,0.04433625,0.04433625,0.04433625,0.04433625
1773,0.020348125,0.020348125,0.020348125,0.020348125
1774,0.00144375,0.00144375,0.00144375,0.00144375
1775,-0.009813125,-0.009813125,-0.009813125,-0.009813125
1776,-0.003950625,-0.003950625,-0.003950625,-0.003950625
1777,0.022645,0.022645,0.022645,0.022645
1778,0.05236875,0.05236875,0.05236875,0.05236875
1779,0.05970125,0.05970125,0.05970125,0.05970125
1780,0.05152875,0.05152875,0.05152875,0.05152875
1781,0.041895,0.041895,0.041895,0.041895
1782,0.019495,0.019495,0.019495,0.019495
1783,-0.006033125,-0.006033125,-0.006033125,-0.006033125
1784,-0.0190575,-0.0190575,-0.0190575,-0.0190575
1785,-0.00597625,-0.00597625,-0.00597625,-0.00597625
1786,0.031189375,0.031189375,0.031189375,0.031189375
1787,0.056993125,0.056993125,0.056993125,0.056993125
1788,0.0586425,0.0586425,0.0586425,0.0586425
1789,0.050159375,0.050159375,0.050159375,0.050159375
1790,0.03401125,0.03401125,0.03401125,0.03401125
1791,0.015911875,0.015911875,0.015911875,0.015911875
1792,0.007214375,0.007214375,0.007214375,0.007214375
1793,0.000695625,0.000695625,0.000695625,0.000695625
1794,-0.013549375,-0.013549375,-0.013549375,-0.013549375
1795,-0.0292075,-0.0292075,-0.0292075,-0.0292075
1796,-0.0392525,-0.0392525,-0.0392525,-0.0392525
1797,-0.046291875,-0.046291875,-0.046291875,-0.046291875
1798,-0.05053125,-0.05053125,-0.05053125,-0.05053125
1799,-0.04930625,-0.04930625,-0.04930625,-0.04930625
1800,-0.03357375,-0.03357375,-0.03357375,-0.03357375
1801,-0.0133,-0.0133,-0.0133,-0.0133
1802,-0.017819375,-0.017819375,-0.017819375,-0.017819375
1803,-0.034545,-0.034545,-0.034545,-0.034545
1804,-0.039536875,-0.039536875,-0.039536875,-0.039536875
1805,-0.04272625,-0.04272625,-0.04272625,-0.04272625
1806,-0.053764375,-0.053764375,-0.053764375,-0.053764375
1807,-0.065043125,-0.065043125,-0.065043125,-0.065043125
1808,-0.0714175,-0.0714175,-0.0714175,-0.0714175
1809,-0.07532875,-0.07532875,-0.07532875,-0.07532875
1810,-0.0767375,-0.0767375,-0.0767375,-0.0767375
1811,-0.074204375,-0.074204375,-0.074204375,-0.074204375
1812,-0.067939375,-0.067939375,-0.067939375,-0.067939375
1813,-0.06085625,-0.06085625,-0.06085625,-0.06085625
1814,-0.054236875,-0.054236875,-0.054236875,-0.054236875
1815,-0.044174375,-0.044174375,-0.044174375,-0.044174375
1816,-0.0345275,-0.0345275,-0.0345275,-0.0345275
1817,-0.034759375,-0.034759375,-0.034759375,-0.034759375
1818,-0.0407925,-0.0407925,-0.0407925,-0.0407925
1819,-0.046659375,-0.046659375,-0.046659375,-0.046659375
1820,-0.0531475,-0.0531475,-0.0531475,-0.0531475
1821,-0.0564375,-0.0564375,-0.0564375,-0.0564375
1822,-0.055076875,-0.055076875,-0.055076875,-0.055076875
1823,-0.051795625,-0.051795625,-0.051795625,-0.051795625
1824,-0.04477375,-0.04477375,-0.04477375,-0.04477375
1825,-0.0320425,-0.0320425,-0.0320425,-0.0320425
1826,-0.01493625,-0.01493625,-0.01493625,-0.01493625
1827,0.003136875,0.003136875,0.003136875,0.003136875
1828,0.01644125,0.01644125,0.01644125,0.01644125
1829,0.023629375,0.023629375,0.023629375,0.023629375
1830,0.02078125,0.02078125,0.02078125,0.02078125
1831,0.003675,0.003675,0.003675,0.003675
1832,-0.016638125,-0.016638125,-0.016638125,-0.016638125
1833,-0.027890625,-0.027890625,-0.027890625,-0.027890625
1834,-0.017539375,-0.017539375,-0.017539375,-0.017539375
1835,0.023550625,0.023550625,0.023550625,0.023550625
1836,0.071575,0.071575,0.071575,0.071575
1837,0.08537375,0.08537375,0.08537375,0.08537375
1838,0.066346875,0.066346875,0.066346875,0.066346875
1839,0.04472125,0.04472125,0.04472125,0.04472125
1840,0.0242725,0.0242725,0.0242725,0.0242725
1841,0.003486875,0.003486875,0.003486875,0.003486875
1842,-0.011038125,-0.011038125,-0.011038125,-0.011038125
1843,-0.018256875,-0.018256875,-0.018256875,-0.018256875
1844,-0.013068125,-0.013068125,-0.013068125,-0.013068125
1845,0.003745,0.003745,0.003745,0.003745
1846,0.022365,0.022365,0.022365,0.022365
1847,0.04412625,0.04412625,0.04412625,0.04412625
1848,0.065358125,0.065358125,0.065358125,0.065358125
1849,0.064448125,0.064448125,0.064448125,0.064448125
1850,0.046816875,0.046816875,0.046816875,0.046816875
1851,0.035013125,0.035013125,0.035013125,0.035013125
1852,0.0234325,0.0234325,0.0234325,0.0234325
1853,0.004930625,0.004930625,0.004930625,0.004930625
1854,-0.01411375,-0.01411375,-0.01411375,-0.01411375
1855,-0.026280625,-0.026280625,-0.026280625,-0.026280625
1856,-0.02471875,-0.02471875,-0.02471875,-0.02471875
1857,-0.00660625,-0.00660625,-0.00660625,-0.00660625
1858,0.0245875,0.0245875,0.0245875,0.0245875
1859,0.054998125,0.054998125,0.054998125,0.054998125
1860,0.065550625,0.065550625,0.065550625,0.065550625
1861,0.05229875,0.05229875,0.05229875,0.05229875
1862,0.030695,0.030695,0.030695,0.030695
1863,0.01407,0.01407,0.01407,0.01407
1864,0.0009975,0.0009975,0.0009975,0.0009975
1865,-0.012429375,-0.012429375,-0.012429375,-0.012429375
1866,-0.0242375,-0.0242375,-0.0242375,-0.0242375
1867,-0.024600625,-0.024600625,-0.024600625,-0.024600625
1868,-0.0025725,-0.0025725,-0.0025725,-0.0025725
1869,0.03553375,0.03553375,0.03553375,0.03553375
1870,0.06412875,0.06412875,0.06412875,0.06412875
1871,0.06727,0.06727,0.06727,0.06727
1872,0.051760625,0.051760625,0.051760625,0.051760625
1873,0.0265125,0.0265125,0.0265125,0.0265125
1874,-2.1875E-05,-2.1875E-05,-2.1875E-05,-2.1875E-05
1875,-0.020846875,-0.020846875,-0.020846875,-0.020846875
1876,-0.031731875,-0.031731875,-0.031731875,-0.031731875
1877,-0.0351575,-0.0351575,-0.0351575,-0.0351575
