"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-8.7122736e-05,-8.7122736e-05,-8.7122736e-05,-8.7122736e-05
1767,-0.00025099784,-0.00025099784,-0.00025099784,-0.00025099784
1768,-0.00046255062,-0.00046255062,-0.00046255062,-0.00046255062
1769,-0.00070426491,-0.00070426491,-0.00070426491,-0.00070426491
1770,-0.00096498269,-0.00096498269,-0.00096498269,-0.00096498269
1771,-0.0016375751,-0.0016375751,-0.0016375751,-0.0016375751
1772,-0.0019415001,-0.0019415001,-0.0019415001,-0.0019415001
1773,-0.0022443856,-0.0022443856,-0.0022443856,-0.0022443856
1774,-0.0025443706,-0.0025443706,-0.0025443706,-0.0025443706
1775,-0.0028400928,-0.0028400928,-0.0028400928,-0.0028400928
1776,-0.003130543,-0.003130543,-0.003130543,-0.003130543
1777,-0.0034149674,-0.0034149674,-0.0034149674,-0.0034149674
1778,-0.0036928012,-0.0036928012,-0.0036928012,-0.0036928012
1779,-0.0039636217,-0.0039636217,-0.0039636217,-0.0039636217
1780,-0.0042271144,-0.0042271144,-0.0042271144,-0.0042271144
1781,-0.0050229712,-0.0050229712,-0.0050229712,-0.0050229712
1782,-0.0052772951,-0.0052772951,-0.0052772951,-0.0052772951
1783,-0.0055230485,-0.0055230485,-0.0055230485,-0.0055230485
1784,-0.0057602443,-0.0057602443,-0.0057602443,-0.0057602443
1785,-0.0059889163,-0.0059889163,-0.0059889163,-0.0059889163
1786,-0.0062091156,-0.0062091156,-0.0062091156,-0.0062091156
1787,-0.0064209076,-0.0064209076,-0.0064209076,-0.0064209076
1788,-0.0066243694,-0.0066243694,-0.0066243694,-0.0066243694
1789,-0.0068195881,-0.0068195881,-0.0068195881,-0.0068195881
1790,-0.0070066591,-0.0070066591,-0.0070066591,-0.0070066591
1791,-0.0077614598,-0.0077614598,-0.0077614598,-0.0077614598
1792,-0.0079339125,-0.0079339125,-0.0079339125,-0.0079339125
1793,-0.0080982659,-0.0080982659,-0.0080982659,-0.0080982659
1794,-0.0082546579,-0.0082546579,-0.0082546579,-0.0082546579
1795,-0.0084032283,-0.0084032283,-0.0084032283,-0.0084032283
1796,-0.008544118,-0.008544118,-0.008544118,-0.008544118
1797,-0.0092576567,-0.0092576567,-0.0092576567,-0.0092576567
1798,-0.0093835808,-0.0093835808,-0.0093835808,-0.0093835808
1799,-0.0095020699,-0.0095020699,-0.0095020699,-0.0095020699
1800,-0.01019283,-0.01019283,-0.01019283,-0.01019283
1801,-0.010296361,-0.010296361,-0.010296361,-0.010296361
1802,-0.011549346,-0.011549346,-0.011549346,-0.011549346
1803,-0.011059641,-0.011059641,-0.011059641,-0.011059641
1804,-0.011141281,-0.011141281,-0.011141281,-0.011141281
1805,-0.011216145,-0.011216145,-0.011216145,-0.011216145
