"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-5.7346282e-05,-5.7346282e-05,-5.7346282e-05,-5.7346282e-05
1767,-0.00010218512,-0.00010218512,-0.00010218512,-0.00010218512
1768,-0.00013865745,-0.00013865745,-0.00013865745,-0.00013865745
1769,-0.00016926604,-0.00016926604,-0.00016926604,-0.00016926604
1770,-0.00019561253,-0.00019561253,-0.00019561253,-0.00019561253
1771,-0.00028958271,-0.00028958271,-0.00028958271,-0.00028958271
1772,-0.00030672873,-0.00030672873,-0.00030672873,-0.00030672873
1773,-0.00032251403,-0.00032251403,-0.00032251403,-0.00032251403
1774,-0.00033722261,-0.00033722261,-0.00033722261,-0.00033722261
1775,-0.0003510678,-0.0003510678,-0.0003510678,-0.0003510678
1776,-0.00036421288,-0.00036421288,-0.00036421288,-0.00036421288
1777,-0.00037678492,-0.00037678492,-0.00037678492,-0.00037678492
1778,-0.0003888842,-0.0003888842,-0.0003888842,-0.0003888842
1779,-0.00040059091,-0.00040059091,-0.00040059091,-0.00040059091
1780,-0.00041196984,-0.00041196984,-0.00041196984,-0.00041196984
1781,-0.00047409825,-0.00047409825,-0.00047409825,-0.00047409825
1782,-0.00048410474,-0.00048410474,-0.00048410474,-0.00048410474
1783,-0.00049402032,-0.00049402032,-0.00049402032,-0.00049402032
1784,-0.00050386342,-0.00050386342,-0.00050386342,-0.00050386342
1785,-0.00051364948,-0.00051364948,-0.00051364948,-0.00051364948
1786,-0.0005233915,-0.0005233915,-0.0005233915,-0.0005233915
1787,-0.00053310047,-0.00053310047,-0.00053310047,-0.00053310047
1788,-0.00054278569,-0.00054278569,-0.00054278569,-0.00054278569
1789,-0.00055245508,-0.00055245508,-0.00055245508,-0.00055245508
1790,-0.00056211536,-0.00056211536,-0.00056211536,-0.00056211536
1791,-0.00061771528,-0.00061771528,-0.00061771528,-0.00061771528
1792,-0.00062718039,-0.00062718039,-0.00062718039,-0.00062718039
1793,-0.00063669026,-0.00063669026,-0.00063669026,-0.00063669026
1794,-0.00064624559,-0.00064624559,-0.00064624559,-0.00064624559
1795,-0.00065584682,-0.00065584682,-0.00065584682,-0.00065584682
1796,-0.00066549423,-0.00066549423,-0.00066549423,-0.00066549423
1797,-0.00072050555,-0.00072050555,-0.00072050555,-0.00072050555
1798,-0.00073024995,-0.00073024995,-0.00073024995,-0.00073024995
1799,-0.00074006644,-0.00074006644,-0.00074006644,-0.00074006644
1800,-0.0007953611,-0.0007953611,-0.0007953611,-0.0007953611
1801,-0.00080539497,-0.00080539497,-0.00080539497,-0.00080539497
1802,-0.00090669117,-0.00090669117,-0.00090669117,-0.00090669117
1803,-0.00087143515,-0.00087143515,-0.00087143515,-0.00087143515
1804,-0.00088186947,-0.00088186947,-0.00088186947,-0.00088186947
1805,-0.00089240413,-0.00089240413,-0.00089240413,-0.00089240413
1806,-0.00094922438,-0.00094922438,-0.00094922438,-0.00094922438
1807,-0.00096014643,-0.00096014643,-0.00096014643,-0.00096014643
1808,-0.00097117655,-0.00097117655,-0.00097117655,-0.00097117655
1809,-0.00098231143,-0.00098231143,-0.00098231143,-0.00098231143
1810,-0.00099354795,-0.00099354795,-0.00099354795,-0.00099354795
1811,-0.0010522129,-0.0010522129,-0.0010522129,-0.0010522129
1812,-0.0010639177,-0.0010639177,-0.0010639177,-0.0010639177
1813,-0.0010757297,-0.0010757297,-0.0010757297,-0.0010757297
1814,-0.0010876461,-0.0010876461,-0.0010876461,-0.0010876461
1815,-0.00114817,-0.00114817,-0.00114817,-0.00114817
1816,-0.0012094462,-0.0012094462,-0.0012094462,-0.0012094462
1817,-0.0012715091,-0.0012715091,-0.0012715091,-0.0012715091
1818,-0.0012848699,-0.0012848699,-0.0012848699,-0.0012848699
1819,-0.0012983579,-0.0012983579,-0.0012983579,-0.0012983579
1820,-0.0013119704,-0.0013119704,-0.0013119704,-0.0013119704
1821,-0.0013257048,-0.0013257048,-0.0013257048,-0.0013257048
1822,-0.0013905955,-0.0013905955,-0.0013905955,-0.0013905955
1823,-0.001456414,-0.001456414,-0.001456414,-0.001456414
1824,-0.0014713314,-0.0014713314,-0.0014713314,-0.0014713314
1825,-0.0015386643,-0.0015386643,-0.0015386643,-0.0015386643
1826,-0.0015542809,-0.0015542809,-0.0015542809,-0.0015542809
1827,-0.0016231967,-0.0016231967,-0.0016231967,-0.0016231967
1828,-0.0016395422,-0.0016395422,-0.0016395422,-0.0016395422
