"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-0.00067250008,-0.00067250008,-0.00067250008,-0.00067250008
1767,0.0079979091,0.0079979091,0.0079979091,0.0079979091
1768,0.017261339,0.017261339,0.017261339,0.017261339
1769,0.013609489,0.013609489,0.013609489,0.013609489
1770,-0.0040799504,-0.0040799504,-0.0040799504,-0.0040799504
1771,-0.002611824,-0.002611824,-0.002611824,-0.002611824
1772,0.006339992,0.006339992,0.006339992,0.006339992
1773,0.009330213,0.009330213,0.009330213,0.009330213
1774,0.010767229,0.010767229,0.010767229,0.010767229
1775,0.010535382,0.010535382,0.010535382,0.010535382
1776,0.013122915,0.013122915,0.013122915,0.013122915
1777,0.019322224,0.019322224,0.019322224,0.019322224
1778,0.026473613,0.026473613,0.026473613,0.026473613
1779,0.029800085,0.029800085,0.029800085,0.029800085
1780,0.031500164,0.031500164,0.031500164,0.031500164
1781,0.031377213,0.031377213,0.031377213,0.031377213
1782,0.02807308,0.02807308,0.02807308,0.02807308
1783,0.017162605,0.017162605,0.017162605,0.017162605
1784,-0.015119303,-0.015119303,-0.015119303,-0.015119303
1785,-0.035147062,-0.035147062,-0.035147062,-0.035147062
1786,-0.0099339737,-0.0099339737,-0.0099339737,-0.0099339737
1787,0.010633612,0.010633612,0.010633612,0.010633612
1788,0.022968209,0.022968209,0.022968209,0.022968209
1789,0.027520221,0.027520221,0.027520221,0.027520221
1790,0.0080785908,0.0080785908,0.0080785908,0.0080785908
1791,-0.029414801,-0.029414801,-0.029414801,-0.029414801
1792,-0.021311408,-0.021311408,-0.021311408,-0.021311408
1793,-0.0062602637,-0.0062602637,-0.0062602637,-0.0062602637
1794,0.0027067136,0.0027067136,0.0027067136,0.0027067136
1795,0.004931003,0.004931003,0.004931003,0.004931003
1796,0.0015718796,0.0015718796,0.0015718796,0.0015718796
1797,0.0010645456,0.0010645456,0.0010645456,0.0010645456
1798,0.0045143121,0.0045143121,0.0045143121,0.0045143121
1799,0.0084732215,0.0084732215,0.0084732215,0.0084732215
1800,0.014235556,0.014235556,0.014235556,0.014235556
1801,0.019897019,0.019897019,0.019897019,0.019897019
1802,0.02068831,0.02068831,0.02068831,0.02068831
1803,0.020589237,0.020589237,0.020589237,0.020589237
1804,0.021486,0.021486,0.021486,0.021486
1805,0.02175604,0.02175604,0.02175604,0.02175604
1806,0.02047038,0.02047038,0.02047038,0.02047038
1807,0.019239295,0.019239295,0.019239295,0.019239295
1808,0.018442567,0.018442567,0.018442567,0.018442567
1809,-0.096702984,-0.096702984,-0.096702984,-0.096702984
1810,-0.39140458,-0.39140458,-0.39140458,-0.39140458
1811,-0.49065933,-0.49065933,-0.49065933,-0.49065933
1812,-0.35434912,-0.35434912,-0.35434912,-0.35434912
1813,-0.26571061,-0.26571061,-0.26571061,-0.26571061
1814,-0.21719782,-0.21719782,-0.21719782,-0.21719782
1815,-0.31837759,-0.31837759,-0.31837759,-0.31837759
1816,-0.68287315,-0.68287315,-0.68287315,-0.68287315
1817,-0.79242821,-0.79242821,-0.79242821,-0.79242821
1818,-0.58313919,-0.58313919,-0.58313919,-0.58313919
1819,-0.41417109,-0.41417109,-0.41417109,-0.41417109
1820,-0.29546458,-0.29546458,-0.29546458,-0.29546458
1821,-0.23003294,-0.23003294,-0.23003294,-0.23003294
1822,-0.18677963,-0.18677963,-0.18677963,-0.18677963
1823,-0.15462983,-0.15462983,-0.15462983,-0.15462983
1824,-0.12859592,-0.12859592,-0.12859592,-0.12859592
1825,-0.10637184,-0.10637184,-0.10637184,-0.10637184
1826,-0.086418085,-0.086418085,-0.086418085,-0.086418085
1827,-0.06866204,-0.06866204,-0.06866204,-0.06866204
1828,-0.0534113,-0.0534113,-0.0534113,-0.0534113
1829,-0.041875903,-0.041875903,-0.041875903,-0.041875903
1830,-0.044845125,-0.044845125,-0.044845125,-0.044845125
1831,-0.099761301,-0.099761301,-0.099761301,-0.099761301
1832,-0.20449631,-0.20449631,-0.20449631,-0.20449631
1833,-0.22712158,-0.22712158,-0.22712158,-0.22712158
1834,-0.16050323,-0.16050323,-0.16050323,-0.16050323
1835,-0.20634092,-0.20634092,-0.20634092,-0.20634092
1836,-0.36695743,-0.36695743,-0.36695743,-0.36695743
1837,-0.33278242,-0.33278242,-0.33278242,-0.33278242
1838,-0.23605059,-0.23605059,-0.23605059,-0.23605059
1839,-0.16209687,-0.16209687,-0.16209687,-0.16209687
1840,-0.1218793,-0.1218793,-0.1218793,-0.1218793
1841,-0.10915531,-0.10915531,-0.10915531,-0.10915531
1842,-0.093075527,-0.093075527,-0.093075527,-0.093075527
1843,-0.078658139,-0.078658139,-0.078658139,-0.078658139
1844,-0.076125517,-0.076125517,-0.076125517,-0.076125517
1845,-0.066496722,-0.066496722,-0.066496722,-0.066496722
1846,-0.045379764,-0.045379764,-0.045379764,-0.045379764
1847,-0.026755508,-0.026755508,-0.026755508,-0.026755508
1848,-0.0099576032,-0.0099576032,-0.0099576032,-0.0099576032
1849,-0.00080516118,-0.00080516118,-0.00080516118,-0.00080516118
1850,-5.261509e-05,-5.261509e-05,-5.261509e-05,-5.261509e-05
1851,-0.00039018721,-0.00039018721,-0.00039018721,-0.00039018721
1852,-0.00057371712,-0.00057371712,-0.00057371712,-0.00057371712
1853,0.0014245869,0.0014245869,0.0014245869,0.0014245869
1854,0.0028196279,0.0028196279,0.0028196279,0.0028196279
1855,0.0044593801,0.0044593801,0.0044593801,0.0044593801
1856,-0.017738892,-0.017738892,-0.017738892,-0.017738892
1857,-0.13975396,-0.13975396,-0.13975396,-0.13975396
1858,-0.18694958,-0.18694958,-0.18694958,-0.18694958
1859,-0.12183385,-0.12183385,-0.12183385,-0.12183385
1860,-0.076026454,-0.076026454,-0.076026454,-0.076026454
1861,-0.048366514,-0.048366514,-0.048366514,-0.048366514
1862,-0.040906591,-0.040906591,-0.040906591,-0.040906591
1863,-0.057530994,-0.057530994,-0.057530994,-0.057530994
