"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,-0.00023510743,-0.00023510743,-0.00023510743,-0.00023510743
1767,0.0044466073,0.0044466073,0.0044466073,0.0044466073
1768,0.010254532,0.010254532,0.010254532,0.010254532
1769,0.012280725,0.012280725,0.012280725,0.012280725
1770,0.0048492041,0.0048492041,0.0048492041,0.0048492041
1771,0.0037692597,0.0037692597,0.0037692597,0.0037692597
1772,0.0075920037,0.0075920037,0.0075920037,0.0075920037
1773,0.0090777158,0.0090777158,0.0090777158,0.0090777158
1774,0.0098430616,0.0098430616,0.0098430616,0.0098430616
1775,0.0098061538,0.0098061538,0.0098061538,0.0098061538
1776,0.011104674,0.011104674,0.011104674,0.011104674
1777,0.01464259,0.01464259,0.01464259,0.01464259
1778,0.019222441,0.019222441,0.019222441,0.019222441
1779,0.022138955,0.022138955,0.022138955,0.022138955
1780,0.023698953,0.023698953,0.023698953,0.023698953
1781,0.024234184,0.024234184,0.024234184,0.024234184
1782,0.022907514,0.022907514,0.022907514,0.022907514
1783,0.018689498,0.018689498,0.018689498,0.018689498
1784,0.0055797431,0.0055797431,0.0055797431,0.0055797431
1785,-0.0080217671,-0.0080217671,-0.0080217671,-0.0080217671
1786,0.0012396769,0.0012396769,0.0012396769,0.0012396769
1787,0.011925837,0.011925837,0.011925837,0.011925837
1788,0.019470799,0.019470799,0.019470799,0.019470799
1789,0.022860696,0.022860696,0.022860696,0.022860696
1790,0.013388515,0.013388515,0.013388515,0.013388515
1791,-0.014778907,-0.014778907,-0.014778907,-0.014778907
1792,-0.012744447,-0.012744447,-0.012744447,-0.012744447
1793,-0.0027521617,-0.0027521617,-0.0027521617,-0.0027521617
1794,0.0043323868,0.0043323868,0.0043323868,0.0043323868
1795,0.0069812731,0.0069812731,0.0069812731,0.0069812731
1796,0.0045013386,0.0045013386,0.0045013386,0.0045013386
1797,0.0040846047,0.0040846047,0.0040846047,0.0040846047
1798,0.0068561951,0.0068561951,0.0068561951,0.0068561951
1799,0.010013247,0.010013247,0.010013247,0.010013247
1800,0.013727802,0.013727802,0.013727802,0.013727802
1801,0.017682058,0.017682058,0.017682058,0.017682058
1802,0.019274753,0.019274753,0.019274753,0.019274753
1803,0.019587436,0.019587436,0.019587436,0.019587436
1804,0.020269734,0.020269734,0.020269734,0.020269734
1805,0.020761249,0.020761249,0.020761249,0.020761249
1806,0.020379575,0.020379575,0.020379575,0.020379575
1807,0.019748371,0.019748371,0.019748371,0.019748371
1808,0.019315314,0.019315314,0.019315314,0.019315314
1809,-0.028351112,-0.028351112,-0.028351112,-0.028351112
