"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,0.032637625,0.032637625,0.032637625,0.032637625
1767,0.034458118,0.034458118,0.034458118,0.034458118
1768,0.035880982,0.035880982,0.035880982,0.035880982
1769,0.03736107,0.03736107,0.03736107,0.03736107
1770,0.038883016,0.038883016,0.038883016,0.038883016
1771,0.03972434,0.03972434,0.03972434,0.03972434
1772,0.041428904,0.041428904,0.041428904,0.041428904
1773,0.043248106,0.043248106,0.043248106,0.043248106
1774,0.045175045,0.045175045,0.045175045,0.045175045
1775,0.047240863,0.047240863,0.047240863,0.047240863
1776,0.049484078,0.049484078,0.049484078,0.049484078
1777,0.051858809,0.051858809,0.051858809,0.051858809
1778,0.054265635,0.054265635,0.054265635,0.054265635
1779,0.056605251,0.056605251,0.056605251,0.056605251
1780,0.058796735,0.058796735,0.058796735,0.058796735
1781,0.059968462,0.059968462,0.059968462,0.059968462
1782,0.061942983,0.061942983,0.061942983,0.061942983
1783,0.063945465,0.063945465,0.063945465,0.063945465
1784,0.066069485,0.066069485,0.066069485,0.066069485
1785,0.0684007,0.0684007,0.0684007,0.0684007
1786,0.070955754,0.070955754,0.070955754,0.070955754
1787,0.073667577,0.073667577,0.073667577,0.073667577
1788,0.076446682,0.076446682,0.076446682,0.076446682
1789,0.079203807,0.079203807,0.079203807,0.079203807
1790,0.081899741,0.081899741,0.081899741,0.081899741
1791,0.083678134,0.083678134,0.083678134,0.083678134
1792,0.086351982,0.086351982,0.086351982,0.086351982
1793,0.089018696,0.089018696,0.089018696,0.089018696
1794,0.091668524,0.091668524,0.091668524,0.091668524
1795,0.094300385,0.094300385,0.094300385,0.094300385
1796,0.096921323,0.096921323,0.096921323,0.096921323
1797,0.098637136,0.098637136,0.098637136,0.098637136
1798,0.10122174,0.10122174,0.10122174,0.10122174
1799,0.10377173,0.10377173,0.10377173,0.10377173
1800,0.10540699,0.10540699,0.10540699,0.10540699
1801,0.10793338,0.10793338,0.10793338,0.10793338
1802,0.10869217,0.10869217,0.10869217,0.10869217
1803,0.1120986,0.1120986,0.1120986,0.1120986
1804,0.11459019,0.11459019,0.11459019,0.11459019
1805,0.11707175,0.11707175,0.11707175,0.11707175
1806,0.11869349,0.11869349,0.11869349,0.11869349
1807,0.12117686,0.12117686,0.12117686,0.12117686
1808,0.12355185,0.12355185,0.12355185,0.12355185
1809,0.12573042,0.12573042,0.12573042,0.12573042
1810,0.12767694,0.12767694,0.12767694,0.12767694
1811,0.12858625,0.12858625,0.12858625,0.12858625
1812,0.13028889,0.13028889,0.13028889,0.13028889
1813,0.13197089,0.13197089,0.13197089,0.13197089
1814,0.13369114,0.13369114,0.13369114,0.13369114
1815,0.13463647,0.13463647,0.13463647,0.13463647
1816,0.13567242,0.13567242,0.13567242,0.13567242
1817,0.13674743,0.13674743,0.13674743,0.13674743
1818,0.13865369,0.13865369,0.13865369,0.13865369
1819,0.14047056,0.14047056,0.14047056,0.14047056
1820,0.14216955,0.14216955,0.14216955,0.14216955
1821,0.14378599,0.14378599,0.14378599,0.14378599
1822,0.14452408,0.14452408,0.14452408,0.14452408
1823,0.14526298,0.14526298,0.14526298,0.14526298
1824,0.14686999,0.14686999,0.14686999,0.14686999
1825,0.14768195,0.14768195,0.14768195,0.14768195
1826,0.14936078,0.14936078,0.14936078,0.14936078
1827,0.15023017,0.15023017,0.15023017,0.15023017
1828,0.15194988,0.15194988,0.15194988,0.15194988
1829,0.15368807,0.15368807,0.15368807,0.15368807
1830,0.15053025,0.15053025,0.15053025,0.15053025
