"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,0.020699481,0.020699481,0.020699481,0.020699481
1767,0.055925238,0.055925238,0.055925238,0.055925238
1768,0.02302613,0.02302613,0.02302613,0.02302613
1769,-0.020089434,-0.020089434,-0.020089434,-0.020089434
1770,0.022954673,0.022954673,0.022954673,0.022954673
1771,0.059722809,0.059722809,0.059722809,0.059722809
1772,0.055934008,0.055934008,0.055934008,0.055934008
1773,0.046517247,0.046517247,0.046517247,0.046517247
1774,0.035028239,0.035028239,0.035028239,0.035028239
1775,0.030570974,0.030570974,0.030570974,0.030570974
1776,0.048468496,0.048468496,0.048468496,0.048468496
1777,0.079521328,0.079521328,0.079521328,0.079521328
1778,0.10291068,0.10291068,0.10291068,0.10291068
1779,0.09595461,0.09595461,0.09595461,0.09595461
1780,0.092838968,0.092838968,0.092838968,0.092838968
1781,0.082225779,0.082225779,0.082225779,0.082225779
1782,0.015818952,0.015818952,0.015818952,0.015818952
1783,-0.13180762,-0.13180762,-0.13180762,-0.13180762
1784,-0.1436864,-0.1436864,-0.1436864,-0.1436864
1785,0.0019220645,0.0019220645,0.0019220645,0.0019220645
1786,0.089360142,0.089360142,0.089360142,0.089360142
1787,0.11664503,0.11664503,0.11664503,0.11664503
1788,0.10532811,0.10532811,0.10532811,0.10532811
1789,-0.091686643,-0.091686643,-0.091686643,-0.091686643
1790,-0.19894811,-0.19894811,-0.19894811,-0.19894811
1791,-0.052228388,-0.052228388,-0.052228388,-0.052228388
1792,0.038753977,0.038753977,0.038753977,0.038753977
1793,0.065789217,0.065789217,0.065789217,0.065789217
1794,0.03592172,0.03592172,0.03592172,0.03592172
1795,0.0025273053,0.0025273053,0.0025273053,0.0025273053
1796,0.015309739,0.015309739,0.015309739,0.015309739
1797,0.035810909,0.035810909,0.035810909,0.035810909
1798,0.045030012,0.045030012,0.045030012,0.045030012
1799,0.050801793,0.050801793,0.050801793,0.050801793
1800,0.075394132,0.075394132,0.075394132,0.075394132
1801,0.088854552,0.088854552,0.088854552,0.088854552
1802,0.07049327,0.07049327,0.07049327,0.07049327
1803,0.064141821,0.064141821,0.064141821,0.064141821
1804,0.067457491,0.067457491,0.067457491,0.067457491
1805,0.063231262,0.063231262,0.063231262,0.063231262
1806,0.052351303,0.052351303,0.052351303,0.052351303
1807,0.04772492,0.04772492,0.04772492,0.04772492
1808,-0.8821483,-0.8821483,-0.8821483,-0.8821483
1809,-2.117583,-2.117583,-2.117583,-2.117583
1810,-1.6432116,-1.6432116,-1.6432116,-1.6432116
1811,-0.61101817,-0.61101817,-0.61101817,-0.61101817
1812,-0.36257526,-0.36257526,-0.36257526,-0.36257526
1813,-0.23143099,-0.23143099,-0.23143099,-0.23143099
1814,-1.3510263,-1.3510263,-1.3510263,-1.3510263
1815,-3.0046727,-3.0046727,-3.0046727,-3.0046727
1816,-2.3026365,-2.3026365,-2.3026365,-2.3026365
1817,-0.79089246,-0.79089246,-0.79089246,-0.79089246
1818,-0.16410273,-0.16410273,-0.16410273,-0.16410273
1819,0.064275571,0.064275571,0.064275571,0.064275571
1820,0.076606119,0.076606119,0.076606119,0.076606119
1821,0.078191975,0.078191975,0.078191975,0.078191975
1822,0.080866234,0.080866234,0.080866234,0.080866234
1823,0.084819018,0.084819018,0.084819018,0.084819018
1824,0.09472831,0.09472831,0.09472831,0.09472831
1825,0.10844335,0.10844335,0.10844335,0.10844335
1826,0.1258499,0.1258499,0.1258499,0.1258499
1827,0.14126391,0.14126391,0.14126391,0.14126391
1828,0.14233463,0.14233463,0.14233463,0.14233463
1829,0.090253614,0.090253614,0.090253614,0.090253614
