"year","rcp26","rcp45","rcp60","rcp85"
1765,0,0,0,0
1766,0,0,0,0
1767,0,0,0,0
1768,-0.07,-0.07,-0.07,-0.07
1769,-0.13125,-0.13125,-0.13125,-0.13125
1770,-0.07875,-0.07875,-0.07875,-0.07875
1771,-0.02625,-0.02625,-0.02625,-0.02625
1772,-0.00875,-0.00875,-0.00875,-0.00875
1773,0,0,0,0
1774,0,0,0,0
1775,0,0,0,0
1776,0,0,0,0
1777,0,0,0,0
1778,0,0,0,0
1779,0,0,0,0
1780,0,0,0,0
1781,0,0,0,0
1782,-0.04375,-0.04375,-0.04375,-0.04375
1783,-0.18375,-0.18375,-0.18375,-0.18375
1784,-0.1925,-0.1925,-0.1925,-0.1925
1785,-0.07,-0.07,-0.07,-0.07
1786,-0.0175,-0.0175,-0.0175,-0.0175
1787,0,0,0,0
1788,-0.00875,-0.00875,-0.00875,-0.00875
1789,-0.21,-0.21,-0.21,-0.21
1790,-0.30625,-0.30625,-0.30625,-0.30625
1791,-0.14,-0.14,-0.14,-0.14
1792,-0.04375,-0.04375,-0.04375,-0.04375
1793,-0.00875,-0.00875,-0.00875,-0.00875
1794,-0.02625,-0.02625,-0.02625,-0.02625
1795,-0.0525,-0.0525,-0.0525,-0.0525
1796,-0.035,-0.035,-0.035,-0.035
1797,-0.00875,-0.00875,-0.00875,-0.00875
1798,0,0,0,0
1799,0,0,0,0
1800,0,0,0,0
1801,0,0,0,0
1802,0,0,0,0
1803,0,0,0,0
1804,0,0,0,0
1805,0,0,0,0
1806,0,0,0,0
1807,0,0,0,0
1808,-0.98,-0.98,-0.98,-0.98
1809,-2.28375,-2.28375,-2.28375,-2.28375
1810,-1.785,-1.785,-1.785,-1.785
1811,-0.7,-0.7,-0.7,-0.7
1812,-0.44625,-0.44625,-0.44625,-0.44625
1813,-0.315,-0.315,-0.315,-0.315
1814,-1.505,-1.505,-1.505,-1.505
1815,-3.26375,-3.26375,-3.26375,-3.26375
1816,-2.52875,-2.52875,-2.52875,-2.52875
1817,-0.9275,-0.9275,-0.9275,-0.9275
1818,-0.2625,-0.2625,-0.2625,-0.2625
1819,-0.0175,-0.0175,-0.0175,-0.0175
1820,0,0,0,0
1821,0,0,0,0
1822,0,0,0,0
1823,0,0,0,0
1824,0,0,0,0
1825,0,0,0,0
1826,0,0,0,0
1827,0,0,0,0
1828,-0.00875,-0.00875,-0.00875,-0.00875
1829,-0.07,-0.07,-0.07,-0.07
