year,ssp1,ssp2,ssp3,ssp4,ssp5
1850,1.03615,0.950821,1.01177,0.902061,0.926441
1851,1.0433,0.956445,1.01846,0.90691,0.931669
1852,1.0456,0.958584,1.02072,0.908943,0.933757
1853,1.04703,0.96004,1.02216,0.910401,0.935213
1854,1.04841,0.961454,1.02356,0.911809,0.936627
1855,1.04996,0.962975,1.02511,0.913311,0.93814
1856,1.05169,0.96464,1.02681,0.914938,0.939786
1857,1.05353,0.966444,1.02864,0.916684,0.941562
1858,1.05557,0.968367,1.03064,0.918539,0.943451
1859,1.05773,0.970396,1.03278,0.920487,0.945441
1860,1.06001,0.972515,1.03501,0.922519,0.947516
1861,1.06239,0.974713,1.03733,0.92462,0.949666
1862,1.06484,0.97698,1.03973,0.926789,0.951881
1863,1.06736,0.979312,1.0422,0.929013,0.954159
1864,1.06994,0.981696,1.04472,0.93128,0.956487
1865,1.07256,0.984121,1.04729,0.933585,0.958853
1866,1.07525,0.986584,1.04991,0.93593,0.961256
1867,1.07797,0.989084,1.05257,0.938309,0.963696
1868,1.08067,0.991639,1.05522,0.940717,0.966167
1869,1.08346,0.994156,1.05795,0.943154,0.968663
1870,1.08628,0.996755,1.06071,0.945612,0.971191
1871,1.10199,1.01118,1.07605,0.959287,0.985234
1872,1.11749,1.0254,1.09119,0.972789,0.999089
1873,1.13278,1.03948,1.10611,0.986132,1.01281
1874,1.14797,1.05337,1.12095,0.99937,1.02639
1875,1.16304,1.0672,1.13566,1.01245,1.03982
1876,1.17801,1.08095,1.15029,1.02549,1.05322
1877,1.19292,1.09464,1.16484,1.03847,1.06655
1878,1.20773,1.10828,1.17935,1.05141,1.07984
1879,1.22255,1.12188,1.19378,1.06433,1.0931
1880,1.23738,1.13544,1.20826,1.07724,1.10637
1881,1.25222,1.14904,1.22274,1.09011,1.11958
1882,1.26707,1.16269,1.23725,1.10304,1.13285
1883,1.28197,1.17635,1.25179,1.11601,1.14618
1884,1.29692,1.19008,1.2664,1.12902,1.15955
1885,1.31195,1.20388,1.28107,1.14212,1.173
1886,1.32706,1.21773,1.29582,1.15532,1.1865
1887,1.34224,1.23167,1.31065,1.16853,1.20008
1888,1.35752,1.24569,1.32556,1.18184,1.21374
1889,1.37289,1.2598,1.34059,1.19518,1.22749
