year,ssp1,ssp2,ssp3,ssp4,ssp5
2005,6490.9879,6490.9879,6490.9879,6490.9879,6490.9879
2006,6568.70824,6568.70824,6568.70824,6568.70824,6568.70824
2007,6646.42858,6646.42858,6646.42858,6646.42858,6646.42858
2008,6724.14892,6724.14892,6724.14892,6724.14892,6724.14892
2009,6801.86926,6801.86926,6801.86926,6801.86926,6801.86926
2010,6879.5896,6879.5896,6879.5896,6879.5896,6879.5896
2011,6944.55337,6953.99636,6961.41603,6952.73546,6945.43879
2012,7009.51714,7028.40312,7043.24246,7025.88132,7011.28798
2013,7074.48091,7102.80988,7125.06889,7099.02718,7077.13717
2014,7139.44468,7177.21664,7206.89532,7172.17304,7142.98636
2015,7204.40845,7251.6234,7288.72175,7245.3189,7208.83555
2016,7269.37222,7326.03016,7370.54818,7318.46476,7274.68474
2017,7334.33599,7400.43692,7452.37461,7391.61062,7340.53393
2018,7399.29976,7474.84368,7534.20104,7464.75648,7406.38312
2019,7464.26353,7549.25044,7616.02747,7537.90234,7472.23231
2020,7529.2273,7623.6572,7697.8539,7611.0482,7538.0815
2021,7577.36681,7688.63159,7779.49924,7674.31026,7588.36786
2022,7625.50632,7753.60598,7861.14458,7737.57232,7638.65422
2023,7673.64583,7818.58037,7942.78992,7800.83438,7688.94058
2024,7721.78534,7883.55476,8024.43526,7864.09644,7739.22694
2025,7769.92485,7948.52915,8106.0806,7927.3585,7789.5133
2026,7818.06436,8013.50354,8187.72594,7990.62056,7839.79966
2027,7866.20387,8078.47793,8269.37128,8053.88262,7890.08602
2028,7914.34338,8143.45232,8351.01662,8117.14468,7940.37238
2029,7962.48289,8208.42671,8432.66196,8180.40674,7990.65874
2030,8010.6224,8273.4011,8514.3073,8243.6688,8040.9451
2031,8042.79671,8325.613,8588.59859,8294.35183,8076.01674
2032,8074.97102,8377.8249,8662.88988,8345.03486,8111.08838
2033,8107.14533,8430.0368,8737.18117,8395.71789,8146.16002
2034,8139.31964,8482.2487,8811.47246,8446.40092,8181.23166
2035,8171.49395,8534.4606,8885.76375,8497.08395,8216.3033
2036,8203.66826,8586.6725,8960.05504,8547.76698,8251.37494
2037,8235.84257,8638.8844,9034.34633,8598.45001,8286.44658
2038,8268.01688,8691.0963,9108.63762,8649.13304,8321.51822
2039,8300.19119,8743.3082,9182.92891,8699.81607,8356.58986
2040,8332.3655,8795.5201,9257.2202,8750.4991,8391.6615
2041,8346.04778,8833.19913,9327.21126,8788.51619,8409.48366
2042,8359.73006,8870.87816,9397.20232,8826.53328,8427.30582
2043,8373.41234,8908.55719,9467.19338,8864.55037,8445.12798
2044,8387.09462,8946.23622,9537.18444,8902.56746,8462.95014
2045,8400.7769,8983.91525,9607.1755,8940.58455,8480.7723
