"year","ssp1","ssp2","ssp3","ssp4","ssp5"
2005,3.5390857623,3.5390857623,3.5390857623,3.5390857623,3.5390857623
2006,3.7350379405,3.7364344891,3.7348223494,3.7306704778,3.7306428093
2007,3.9352449895,3.938086646,3.934806311,3.9263582034,3.9263019044
2008,4.1394537346,4.1437884074,4.1387845729,4.1258977995,4.1258119209
2009,4.3473716903,4.3532463258,4.3464647981,4.32899979,4.3288834016
2010,4.5586673549,4.5661276101,4.5575156839,4.5353367046,4.5351889019
2011,4.8756056047,4.8791055122,4.8585757265,4.8347557322,4.8514813817
2012,5.1986814536,5.1977235516,5.1646583065,5.1394759234,5.1738764674
2013,5.5273365719,5.5214224763,5.4752168638,5.4489564924,5.5018168844
2014,5.8609600338,5.8495925627,5.7896578019,5.7626089244,5.8346929233
2015,6.1988941321,6.1815795434,6.1073464065,6.0798027567,6.1718482466
2016,6.5404416765,6.5166919728,6.427614124,6.3998727314,6.5125871718
2017,6.884874632,6.854209888,6.7497670519,6.7221271744,6.8561832936
2018,7.2314438818,7.1933945406,7.073095419,7.0458573835,7.2018892249
2019,7.5793898204,7.5334989069,7.3968837667,7.3703477415,7.5489471663
2020,7.9279534285,7.8737786275,7.7204214917,7.6948862169,7.8965999555
2021,8.4352326101,8.2853068771,8.0456865528,8.0887430447,8.4758122781
2022,8.9455329139,8.6971570641,8.3693807342,8.4828435051,9.0593700539
2023,9.457827666,9.1085022621,8.6908635183,8.8763971559,9.646092309
2024,9.9711225683,9.5185550585,9.0095375102,9.2686521078,10.234827937
2025,10.4844684751,9.9265772705,9.3248554652,9.6589042763,10.8244707092
2026,10.9969724799,10.331888023,9.6363257782,10.0465050481,11.4139725026
2027,11.5078070252,10.7338699985,9.9435163285,10.4308671866,12.0023543927
2028,12.0162168607,11.131973774,10.2460566619,10.8114688957,12.5887153794
2029,12.5215237931,11.5257202509,10.543638569,11.1878560542,13.1722386469
2030,13.0231292751,11.9147012761,10.8360151901,11.5596427163,13.7521953806
2031,13.6571810525,12.3207158611,11.0565842025,11.9422200348,14.5833956886
2032,14.2888305582,12.7220441007,11.2716671983,12.3202456876,15.4131672426
2033,14.9174854727,13.1184346619,11.4812826947,12.6934935091,16.240620188
2034,15.5426376099,13.509696773,11.685487458,13.0617945737,17.0649723124
2035,16.163859066,13.8956953855,11.8843712974,13.4250324735,17.8855457673
2036,16.7807972933,14.2763458696,12.0780518764,13.7831381783,18.7017621792
2037,17.3931694089,14.6516084687,12.2666696903,14.1360846884,19.5131365376
2038,18.0007560192,15.0214827069,12.4503833234,14.4838816644,20.3192702265
2039,18.6033948072,15.3860019084,12.6293650719,14.8265701837,21.1198435286
2040,19.2009740936,15.7452279555,12.8037969836,15.1642177403,21.9146078882
2041,19.8405742795,16.1401878598,12.9359111456,15.4866897771,22.8604010011
2042,20.4767757334,16.5306780119,13.0640886179,15.8048362135,23.8025264932
2043,21.1095350456,16.916775129,13.1885453969,16.1187763005,24.7407622617
2044,21.738838121,17.2985704227,13.3094922497,16.4286379853,25.6749391364
2045,22.3646954905,17.6761662684,13.4271332423,16.7345550997,26.6049340893
2046,22.9871380598,18.0496732834,13.5416646225,17.036664946,27.5306639214
2047,23.606213303,18.419207796,13.653274013,17.3351062561,28.4520794688
2048,24.2219818914,18.7848896825,13.7621398727,17.6300174925,29.3691603464
2049,24.8345147403,19.1468405425,13.8684311828,17.9215354582,30.2819102271
2050,25.4438904492,19.5051821808,13.9723073221,18.2097941824,31.1903526428
2051,26.0716196129,19.9170913886,14.0608071564,18.4991338228,32.2720004368
2052,26.6981188579,20.3263691538,14.1473301445,18.7860238554,33.352088471
2053,27.3234715356,20.7331033462,14.2320083062,19.0705765426,34.4306167974
2054,27.947761611,21.1373804503,14.3149642823,19.3528990053,35.507598844
